round,overall_pick,team_id,player_id
1,1,WAS,D20250064
1,2,ALB,D20250021
1,3,MIL,D20250052
1,4,HOU,D20250029
1,5,LOU,D20250070
1,6,SAN1,D20250020
1,7,SAN,D20250051
1,8,BOS,D20250061
1,9,MEM,D20250056
1,10,NAS,D20250040
1,11,PHO,D20250015
1,12,SAN2,D20250050
1,13,OKL,D20250072
1,14,CHI,D20250046
1,15,JAC,D20250012
2,16,WAS,D20250023
2,17,ALB,D20250031
2,18,MIL,D20250006
2,19,HOU,D20250022
2,20,LOU,D20250014
2,21,SAN1,D20250062
2,22,SAN,D20250032
2,23,BOS,D20250038
2,24,MEM,D20250037
2,25,NAS,D20250058
2,26,PHO,D20250074
2,27,SAN2,D20250071
2,28,OKL,D20250036
2,29,CHI,D20250013
2,30,JAC,D20250066
3,31,WAS,D20250048
3,32,ALB,D20250057
3,33,MIL,D20250033
3,34,HOU,D20250045
3,35,LOU,D20250054
3,36,SAN1,D20250075
3,37,SAN,D20250035
3,38,BOS,D20250034
3,39,MEM,D20250008
3,40,NAS,D20250004
3,41,PHO,D20250009
3,42,SAN2,D20250018
3,43,OKL,D20250003
3,44,CHI,D20250025
3,45,JAC,D20250059
