date,home,away,result,played,boxscore
2025-04-01,MIN,NEW,2-1,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-01_NEW_at_MIN.html
2025-04-01,HOU,BUF,3-1,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-01_BUF_at_HOU.html
2025-04-01,PIT,ATL,3-7,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-01_ATL_at_PIT.html
2025-04-01,LOS,GRE,2-1,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-01_GRE_at_LOS.html
2025-04-01,WAS,LAS,6-4,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-01_LAS_at_WAS.html
2025-04-01,CIN,BAL,1-5,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-01_BAL_at_CIN.html
2025-04-02,HOU,MIN,7-6,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-02_MIN_at_HOU.html
2025-04-02,NEW,ATL,1-3,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-02_ATL_at_NEW.html
2025-04-02,LOS,BUF,0-5,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-02_BUF_at_LOS.html
2025-04-02,PIT,LAS,1-2,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-02_LAS_at_PIT.html
2025-04-02,CIN,GRE,0-6,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-02_GRE_at_CIN.html
2025-04-02,WAS,BAL,3-1,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-02_BAL_at_WAS.html
2025-04-03,MIN,ATL,2-1,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-03_ATL_at_MIN.html
2025-04-03,LOS,HOU,4-0,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-03_HOU_at_LOS.html
2025-04-03,NEW,LAS,3-6,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-03_LAS_at_NEW.html
2025-04-03,CIN,BUF,0-3,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-03_BUF_at_CIN.html
2025-04-03,PIT,BAL,1-2,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-03_BAL_at_PIT.html
2025-04-03,WAS,GRE,2-1,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-03_GRE_at_WAS.html
2025-04-04,LOS,MIN,1-3,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-04_MIN_at_LOS.html
2025-04-04,ATL,LAS,4-1,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-04_LAS_at_ATL.html
2025-04-04,CIN,HOU,0-2,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-04_HOU_at_CIN.html
2025-04-04,NEW,BAL,1-0,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-04_BAL_at_NEW.html
2025-04-04,WAS,BUF,2-1,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-04_BUF_at_WAS.html
2025-04-04,PIT,GRE,0-1,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-04_GRE_at_PIT.html
2025-04-05,MIN,LAS,2-4,1,C:\Users\james\Documents\Baseball-AI\NexGen-BBPro\data\boxscores\season\2025-04-05_LAS_at_MIN.html
