team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
LOU,Giants,Louisville,LOU,North,Giants Stadium,#F26060,#60F2F2,
LAS,Panthers,Las Vegas,LAS,North,Panthers Stadium,#608BF2,#F2C760,
NEW,Hornets,New York,NEW,North,Hornets Stadium,#B5F260,#9D60F2,
IND,Jets,Indianapolis,IND,North,Jets Stadium,#F260E0,#60F273,
ALB,Eagles,Albuquerque,ALB,North,Eagles Stadium,#60F2D9,#F26079,
EL ,Raiders,El Paso,EL ,Central,Raiders Stadium,#F2AF60,#60A3F2,
PHI,Sharks,Philadelphia,PHI,Central,Sharks Stadium,#8560F2,#CEF260,
BOS,Bulls,Boston,BOS,Central,Bulls Stadium,#67F260,#EC60F2,
DEN,Pirates,Denver,DEN,Central,Pirates Stadium,#F26091,#60F2C1,
SAN,Bears,San Antonio,SAN,Central,Bears Stadium,#60BBF2,#F29760,
BAL,Knights,Baltimore,BAL,South,Knights Stadium,#E6F260,#6C60F2,
SAN1,Rockets,San Jose,SAN1,South,Rockets Stadium,#D360F2,#7FF260,
SAN2,Tigers,San Diego,SAN2,South,Tigers Stadium,#60F2A9,#F260A9,
WAS,Dragons,Washington,WAS,South,Dragons Stadium,#F27E60,#60D4F2,
SAN3,Lions,San Francisco,SAN3,South,Lions Stadium,#606DF2,#F2E560,
