balls,strikes,samples,avg_base_lookup,avg_base_raw,avg_scale,avg_count_adjust,avg_close_ball_bonus,avg_discipline_adjust,avg_discipline_bias,avg_discipline_logit_offset,avg_close_strike_mix,avg_penalty_source,avg_penalty_factor,avg_penalty_floor,avg_penalty_delta,avg_penalty_multiplier,avg_location_adjust,avg_take_bonus,avg_pre_two_strike,avg_two_strike_bonus,avg_final,avg_discipline,avg_discipline_raw,avg_discipline_raw_scaled,avg_discipline_norm,avg_discipline_clamped,avg_discipline_logit,avg_discipline_pct,avg_discipline_penalty,pitch_kind_sure_strike_pct,pitch_kind_close_strike_pct,pitch_kind_close_ball_pct,pitch_kind_sure_ball_pct
0,0,604,0.4732409801324479,0.45963576158940483,1.0295999999999972,-0.0027999999999999753,0.0,0.04190587128297783,0.4204762431419703,0.0,0.0009933774834437086,0.9204762431419705,0.9993422012163194,0.37999999999999706,-0.00023464971882040334,0.9990728476821193,0.0,0.0,0.5121122016966074,0.0,0.5121122016966074,1.0,181.80380794701986,159.98735099337736,1.5998735099337706,1.0,0.9204762431419705,1.0,1.0,0.9966887417218543,0.0033112582781456954,0.0,0.0
0,1,260,0.47361600000000326,0.4599999999999975,1.0295999999999954,0.0,0.0,0.029190242770923695,0.2919024277092371,0.0,0.0,0.7919024277092371,1.0,0.0,0.0,1.0,0.0,0.0,0.5028062427709238,0.0,0.5028062427709238,1.0,156.175,137.4340000000002,1.3743399999999995,1.0,0.7919024277092371,1.0,1.0,1.0,0.0,0.0,0.0
0,2,110,0.47361599999999987,0.46000000000000074,1.0296000000000014,0.0007999999999999992,0.0,0.011983857990805835,0.11983857990805831,0.0,0.0,0.6198385799080584,1.0,0.0,0.0,1.0,0.0,0.0,0.4863998579908059,0.05999999999999987,0.5463998579908054,1.0,136.4409090909091,120.06799999999993,1.2006800000000002,1.0,0.6198385799080584,1.0,1.0,1.0,0.0,0.0,0.0
1,0,150,0.4736160000000006,0.4600000000000003,1.029599999999999,-0.0024000000000000085,0.0,0.04576430114944094,0.4576430114944094,0.0,0.0,0.957643011494409,1.0,0.3400000000000012,0.0,1.0,0.0,0.0,0.5169803011494405,0.0,0.5169803011494405,1.0,197.18,173.51839999999984,1.7351839999999985,1.0,0.957643011494409,1.0,1.0,1.0,0.0,0.0,0.0
1,1,134,0.47277080597014914,0.4591791044776126,1.0296000000000003,0.0,0.0,0.02068444270114675,0.2086537140033603,0.0,0.002238805970149254,0.7086537140033599,0.9989099794961304,0.049999999999999885,-0.0003922816134233077,0.9974626865671642,0.0,0.0,0.4930629670578726,0.0,0.4930629670578726,1.0,145.8134328358209,128.31582089552242,1.2831582089552238,1.0,0.7086537140033599,1.0,1.0,0.9925373134328358,0.007462686567164179,0.0,0.0
1,2,85,0.4736159999999999,0.4600000000000007,1.029600000000001,0.0006000000000000011,0.0,0.010401179193722026,0.10401179193722015,0.0,0.0,0.6040117919372204,1.0,0.04999999999999992,0.0,1.0,0.0,0.0,0.48461717919372177,0.059999999999999956,0.544617179193722,1.0,134.88235294117646,118.69647058823533,1.186964705882353,1.0,0.6040117919372204,1.0,1.0,1.0,0.0,0.0,0.0
2,0,35,0.4736159999999999,0.46000000000000046,1.0295999999999996,-0.0035000000000000022,0.0,0.04266460139491312,0.42664601394913104,0.0,0.0,0.926646013949131,1.0,0.2000000000000001,0.0,1.0,0.0,0.0,0.512780601394913,0.0,0.512780601394913,1.0,183.8,161.744,1.6174400000000002,1.0,0.926646013949131,1.0,1.0,1.0,0.0,0.0,0.0
2,1,51,0.47361599999999987,0.4600000000000006,1.0296000000000003,-0.0020000000000000013,0.0,0.02572540504184164,0.25725405041841637,0.0,0.0,0.7572540504184164,1.0,0.3800000000000001,0.0,1.0,0.0,0.0,0.4973414050418413,0.0,0.4973414050418413,1.0,151.52941176470588,133.34588235294117,1.3334588235294114,1.0,0.7572540504184164,1.0,1.0,1.0,0.0,0.0,0.0
2,2,39,0.4736159999999999,0.46000000000000046,1.0295999999999998,0.0003999999999999997,0.0,0.021822486094134716,0.2182248609413471,0.0,0.0,0.7182248609413471,1.0,0.20000000000000012,0.0,1.0,0.0,0.0,0.49583848609413467,0.06000000000000004,0.5558384860941348,1.0,146.84615384615384,129.2246153846154,1.2922461538461543,1.0,0.7182248609413471,1.0,1.0,1.0,0.0,0.0,0.0
3,0,9,0.4736159999999999,0.4600000000000001,1.0296,-0.004,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.35000000000000003,0.0,1.0,0.0,0.0,0.46961599999999987,0.0,0.46961599999999987,0.5,175.33333333333334,154.29333333333335,1.542933333333333,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0
3,1,20,0.4736159999999999,0.46000000000000013,1.0295999999999998,0.003500000000000002,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.34999999999999987,0.0,1.0,0.0,0.0,0.47711599999999993,0.0,0.47711599999999993,0.5,89.9,79.112,0.7911199999999999,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0
3,2,13,0.47361599999999987,0.46,1.0296,0.004000000000000002,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.4500000000000001,0.0,1.0,0.0,0.0,0.477616,0.06000000000000002,0.5376159999999999,0.5,80.3076923076923,70.67076923076924,0.7067076923076924,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0
