balls,strikes,samples,avg_base_lookup,avg_base_raw,avg_scale,avg_count_adjust,avg_close_ball_bonus,avg_discipline_adjust,avg_discipline_bias,avg_discipline_logit_offset,avg_close_strike_mix,avg_penalty_source,avg_penalty_factor,avg_penalty_floor,avg_penalty_delta,avg_penalty_multiplier,avg_location_adjust,avg_take_bonus,avg_pre_two_strike,avg_two_strike_bonus,avg_final,avg_discipline,avg_discipline_raw,avg_discipline_raw_scaled,avg_discipline_norm,avg_discipline_clamped,avg_discipline_logit,avg_discipline_pct,avg_discipline_penalty,pitch_kind_sure_strike_pct,pitch_kind_close_strike_pct,pitch_kind_close_ball_pct,pitch_kind_sure_ball_pct
0,0,15951,0.6210510448248894,0.3414206005893099,1.8400554197226928,-0.19999999999995546,0.0,0.0005758586122325824,0.012259537798012976,-0.0950000000000225,0.01536956930600011,0.5122595377980115,0.8585611466551064,0.0,-0.05856247733201647,0.9566547551876546,0.0,0.0,0.3630692006681449,0.0,0.3630692006681449,1.0,182.9267444047395,135.36579085950936,1.3536579085950877,1.0,0.5122595377980115,1.1800000000002122,1.3499999999998473,0.5665475518776252,0.2561594884333271,0.1343489436398972,0.042944016049150525
0,1,7747,0.593358461339884,0.3326035884859012,1.797092345424167,-0.12000000000000415,0.0007344778623983378,0.01857583759477387,0.2875133231356219,0.0,0.022684910287854024,0.7875133231355677,0.8708803487307628,0.0,-0.0545332726945642,0.9518394217115703,0.0,0.0,0.4381355041024845,0.0,0.4381355041024845,1.0,157.82464179682458,145.19867045307808,1.4519867045307822,1.0,0.7875133231355677,1.1800000000001285,1.3500000000001962,0.5183942171163031,0.37808183813088936,0.07344778623983478,0.030076158512972764
0,2,3556,0.6122822474690365,0.3509589426321703,1.7471181102361395,0.0007999999999999486,0.00025871766029246355,0.013750449209373246,0.15368788237424214,0.0,0.01999437570303745,0.6536878823742444,0.9648202379474664,0.0,-0.01865944910602084,0.9649043869516515,0.0,0.0,0.6084319652327094,0.060000000000001844,0.6684319652327091,1.0,137.74578177727784,126.7261192350984,1.2672611923509485,1.0,0.6536878823742444,1.179999999999937,1.3499999999999985,0.6490438695163104,0.3332395950506187,0.012935883014623173,0.004780652418447694
1,0,5515,0.6345819575702296,0.35566092475069805,1.7983664913871082,-0.12000000000000399,0.0,0.01345868657136094,0.2020872689051443,-0.08499999999999214,0.013294650951949457,0.7020872689051086,0.8827515806962483,0.0,-0.054394938287957405,0.9672710788757832,0.0,0.0,0.47364570585366855,0.0,0.47364570585366855,1.0,198.016953762466,154.45322393472412,1.5445322393472949,1.0,0.7020872689051086,1.1800000000000628,1.3500000000001282,0.6727107887579329,0.2215775158658205,0.08105167724388032,0.024660018132366273
1,1,5768,0.6239941040221606,0.34309119278780914,1.8453436893203987,-0.0699999999999943,0.0013124133148404791,0.010147987763567177,0.22909140871134565,0.0,0.013127600554785254,0.72909140871133,0.8022823890751818,0.0,-0.09687407475753101,0.9594833564493573,0.0,0.0,0.46858043034307995,0.0,0.46858043034307995,1.0,147.84466019417476,136.017087378641,1.3601708737863814,1.0,0.72909140871133,1.1800000000000728,1.3500000000001386,0.5948335644937587,0.21879334257975036,0.13124133148404993,0.05513176144244106
1,2,3498,0.6173271126357657,0.3406975414522566,1.8356981132074595,0.0005999999999999745,0.0023899371069182134,0.007350808819641802,0.15375974557881922,0.0,0.01514579759862793,0.6537597455788201,0.8277496117765385,0.0,-0.09921646444563458,0.9577758719268393,0.0,0.0,0.5284513941167088,0.06000000000000184,0.5884513941167108,1.0,137.74442538593482,126.7248713550627,1.2672487135505945,1.0,0.6537597455788201,1.179999999999931,1.3499999999999925,0.5777587192681533,0.2524299599771298,0.11949685534591195,0.050314465408805034
2,0,1399,0.6367451665475219,0.3592923516797632,1.7771808434596,-0.12999999999999745,0.0,0.009637428833008457,0.12684078238892105,-0.08499999999999751,0.014924946390278727,0.6268407823889176,0.9239981527283576,0.0,-0.04061238280293944,0.9681915654038646,0.0,0.0,0.475770212577606,0.0,0.475770212577606,1.0,182.75268048606148,146.20214438884864,1.4620214438884829,1.0,0.6268407823889176,1.1800000000000106,1.349999999999967,0.681915654038599,0.24874910650464618,0.06504646175839886,0.004288777698355968
2,1,2598,0.6427509838336923,0.3647806004618818,1.7654940723633574,-0.030000000000000842,0.000473441108545035,-0.01674614577530754,-0.20289818960613618,0.0,0.01341801385681286,0.2971018103938622,0.9988092410786392,0.020000000000000972,-0.0008120628329845676,0.7380138568129261,0.0,0.0,0.5956662163339667,0.0,0.5956662163339667,0.9448613163972237,115.76674364896074,94.92872979214886,0.9492872979214771,0.9448613163972237,0.2971018103938622,1.1799999999999595,1.3499999999999404,0.7270977675134719,0.22363356428021555,0.04734411085450346,0.001924557351809084
2,2,2749,0.6418907617315122,0.36456529647143177,1.764129792651856,0.0003999999999999797,0.0008948708621316849,-0.020365616304355533,-0.24503921520969074,0.0,0.013554019643506693,0.25496078479030865,1.0,0.0,0.0,0.6998908694070669,0.0,0.0,0.6228200162893143,0.06000000000000172,0.6828200162893066,0.8406098217533721,116.75136413241178,84.06098217533503,0.8406098217533721,0.8406098217533721,0.25496078479030865,1.1799999999999526,1.3499999999999386,0.7271735176427792,0.22590032739177882,0.04474354310658421,0.0021826118588577663
3,0,343,0.5876269854227395,0.3039358600583098,1.9660244897959283,-0.00019999999999999974,0.0,0.00888646009106481,0.15118414062278962,0.0,0.017667638483964986,0.65118414062279,0.9154859662172702,0.20000000000000126,-0.05053488991788238,0.9311953352769674,0.0,0.0,0.5457785555959238,0.0,0.5457785555959238,0.6500000000000038,172.66909620991254,158.85556851311952,1.588555685131196,0.6500000000000038,0.65118414062279,1.1800000000000057,1.350000000000008,0.3119533527696793,0.2944606413994169,0.27988338192419826,0.11370262390670553
