balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,12720.0,5058.0,7662.0,4081.0,1527.0,2094.0,1430.0,3960.0,3702.0,0.0,0.0,0.0,7573.0,0.39764150943396226,0.6023584905660377,0.12004716981132076,0.32083333333333336,0.8068406484776591,0.3113207547169811,0.2910377358490566
0,1,5389.0,2079.0,3310.0,1706.0,662.0,862.0,548.0,1661.0,1649.0,0.0,0.0,0.0,3278.0,0.3857858600853591,0.6142141399146409,0.12284282798292818,0.3165707923547968,0.8205868205868206,0.3082204490629059,0.305993690851735
0,2,2324.0,1066.0,1258.0,719.0,0.0,210.0,134.0,632.0,626.0,0.0,1482.0,0.0,1416.0,0.45869191049913943,0.5413080895008606,0.0,0.3093803786574871,0.6744840525328331,0.2719449225473322,0.2693631669535284
1,0,3177.0,1286.0,1891.0,1067.0,385.0,582.0,411.0,1025.0,866.0,0.0,0.0,0.0,1841.0,0.40478438778722065,0.5952156122127793,0.12118350645262826,0.3358514321687126,0.8297045101088647,0.32263141328297135,0.272584198929808
1,1,2631.0,1007.0,1624.0,829.0,328.0,406.0,282.0,864.0,760.0,0.0,0.0,0.0,1505.0,0.3827442037248195,0.6172557962751806,0.12466742683390346,0.31508931965032305,0.8232373386295928,0.32839224629418473,0.28886354998099584
1,2,1620.0,733.0,887.0,487.0,0.0,127.0,96.0,467.0,420.0,0.0,1026.0,0.0,951.0,0.4524691358024691,0.5475308641975308,0.0,0.30061728395061726,0.6643929058663028,0.2882716049382716,0.25925925925925924
2,0,830.0,320.0,510.0,264.0,99.0,136.0,97.0,293.0,216.0,0.0,0.0,0.0,464.0,0.3855421686746988,0.6144578313253012,0.11927710843373494,0.3180722891566265,0.825,0.3530120481927711,0.26024096385542167
2,1,1007.0,374.0,633.0,309.0,121.0,158.0,116.0,326.0,305.0,0.0,0.0,0.0,590.0,0.3714001986097319,0.6285998013902682,0.12015888778550149,0.30685203574975173,0.8262032085561497,0.323733862959285,0.3028798411122145
2,2,809.0,366.0,443.0,247.0,0.0,63.0,51.0,223.0,216.0,0.0,523.0,0.0,481.0,0.45241038318912236,0.5475896168108776,0.0,0.3053152039555006,0.674863387978142,0.27564894932014833,0.2669962917181706
3,0,242.0,82.0,160.0,71.0,30.0,39.0,26.0,92.0,68.0,92.0,0.0,0.0,135.0,0.33884297520661155,0.6611570247933884,0.12396694214876033,0.29338842975206614,0.8658536585365854,0.38016528925619836,0.2809917355371901
3,1,346.0,123.0,223.0,103.0,37.0,54.0,42.0,123.0,99.0,123.0,0.0,0.0,187.0,0.3554913294797688,0.6445086705202312,0.1069364161849711,0.2976878612716763,0.8373983739837398,0.3554913294797688,0.2861271676300578
3,2,321.0,150.0,171.0,96.0,0.0,34.0,27.0,92.0,79.0,92.0,195.0,0.0,193.0,0.4672897196261682,0.5327102803738317,0.0,0.29906542056074764,0.64,0.2866043613707165,0.24610591900311526
