balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,balls,called_strikes,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,851.0,600.0,251.0,268.0,9.0,259.0,113.0,196.0,55.0,0.0,0.0,0.0,264.0,0.7050528789659224,0.29494712103407755,0.010575793184488837,0.31492361927144535,0.44666666666666666,0.23031727379553465,0.06462984723854288
0,1,408.0,313.0,95.0,151.0,4.0,147.0,60.0,80.0,15.0,0.0,0.0,0.0,102.0,0.7671568627450981,0.23284313725490197,0.00980392156862745,0.3700980392156863,0.48242811501597443,0.19607843137254902,0.03676470588235294
0,2,185.0,141.0,44.0,49.0,0.0,49.0,20.0,37.0,7.0,0.0,104.0,0.0,54.0,0.7621621621621621,0.23783783783783785,0.0,0.2648648648648649,0.3475177304964539,0.2,0.03783783783783784
1,0,196.0,131.0,65.0,59.0,2.0,57.0,25.0,55.0,10.0,0.0,0.0,0.0,50.0,0.6683673469387755,0.33163265306122447,0.01020408163265306,0.3010204081632653,0.45038167938931295,0.28061224489795916,0.05102040816326531
1,1,169.0,123.0,46.0,53.0,1.0,52.0,19.0,35.0,11.0,0.0,0.0,0.0,42.0,0.727810650887574,0.27218934911242604,0.005917159763313609,0.3136094674556213,0.43089430894308944,0.20710059171597633,0.0650887573964497
1,2,123.0,96.0,27.0,34.0,0.0,34.0,14.0,25.0,2.0,0.0,70.0,0.0,36.0,0.7804878048780488,0.21951219512195122,0.0,0.2764227642276423,0.3541666666666667,0.2032520325203252,0.016260162601626018
2,0,55.0,24.0,31.0,16.0,0.0,16.0,10.0,29.0,2.0,0.0,0.0,0.0,11.0,0.43636363636363634,0.5636363636363636,0.0,0.2909090909090909,0.6666666666666666,0.5272727272727272,0.03636363636363636
2,1,61.0,38.0,23.0,16.0,1.0,15.0,7.0,21.0,2.0,0.0,0.0,0.0,16.0,0.6229508196721312,0.3770491803278688,0.01639344262295082,0.26229508196721313,0.42105263157894735,0.3442622950819672,0.03278688524590164
2,2,60.0,30.0,30.0,9.0,0.0,9.0,1.0,28.0,2.0,0.0,45.0,0.0,12.0,0.5,0.5,0.0,0.15,0.3,0.4666666666666667,0.03333333333333333
3,0,17.0,3.0,14.0,2.0,1.0,1.0,1.0,13.0,1.0,4.0,0.0,0.0,4.0,0.17647058823529413,0.8235294117647058,0.058823529411764705,0.11764705882352941,0.6666666666666666,0.7647058823529411,0.058823529411764705
3,1,25.0,6.0,19.0,5.0,1.0,4.0,2.0,18.0,1.0,4.0,0.0,0.0,7.0,0.24,0.76,0.04,0.2,0.8333333333333334,0.72,0.04
3,2,29.0,0.0,29.0,8.0,0.0,8.0,0.0,28.0,1.0,8.0,21.0,0.0,1.0,0.0,1.0,0.0,0.27586206896551724,0.0,0.9655172413793104,0.034482758620689655
