balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,763.0,222.0,541.0,158.0,51.0,99.0,61.0,285.0,90.0,0.0,0.0,29.0,242.0,0.290956749672346,0.709043250327654,0.06684141546526867,0.20707732634338138,0.7117117117117117,0.3735255570117955,0.11795543905635648
0,1,328.0,52.0,276.0,37.0,17.0,17.0,11.0,118.0,23.0,0.0,0.0,24.0,67.0,0.15853658536585366,0.8414634146341463,0.051829268292682924,0.11280487804878049,0.7115384615384616,0.3597560975609756,0.0701219512195122
0,2,161.0,34.0,127.0,28.0,0.0,7.0,6.0,28.0,14.0,0.0,111.0,15.0,39.0,0.2111801242236025,0.7888198757763976,0.0,0.17391304347826086,0.8235294117647058,0.17391304347826086,0.08695652173913043
1,0,248.0,72.0,176.0,56.0,21.0,30.0,24.0,89.0,30.0,0.0,0.0,11.0,86.0,0.2903225806451613,0.7096774193548387,0.0846774193548387,0.22580645161290322,0.7777777777777778,0.3588709677419355,0.12096774193548387
1,1,205.0,57.0,148.0,42.0,14.0,26.0,18.0,75.0,22.0,0.0,0.0,12.0,64.0,0.2780487804878049,0.7219512195121951,0.06829268292682927,0.2048780487804878,0.7368421052631579,0.36585365853658536,0.1073170731707317
1,2,110.0,32.0,78.0,19.0,0.0,3.0,3.0,35.0,7.0,0.0,70.0,2.0,29.0,0.2909090909090909,0.7090909090909091,0.0,0.17272727272727273,0.59375,0.3181818181818182,0.06363636363636363
2,0,83.0,26.0,57.0,17.0,9.0,8.0,5.0,22.0,9.0,0.0,0.0,1.0,29.0,0.3132530120481928,0.6867469879518072,0.10843373493975904,0.20481927710843373,0.6538461538461539,0.26506024096385544,0.10843373493975904
2,1,111.0,35.0,76.0,25.0,8.0,15.0,8.0,38.0,20.0,0.0,0.0,4.0,43.0,0.3153153153153153,0.6846846846846847,0.07207207207207207,0.22522522522522523,0.7142857142857143,0.34234234234234234,0.18018018018018017
2,2,79.0,31.0,48.0,16.0,0.0,3.0,2.0,17.0,14.0,0.0,55.0,4.0,38.0,0.3924050632911392,0.6075949367088608,0.0,0.20253164556962025,0.5161290322580645,0.21518987341772153,0.17721518987341772
3,0,20.0,9.0,11.0,6.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,6.0,0.45,0.55,0.15,0.3,0.6666666666666666,0.1,0.05
3,1,45.0,24.0,21.0,15.0,4.0,10.0,6.0,9.0,4.0,9.0,0.0,3.0,14.0,0.5333333333333333,0.4666666666666667,0.08888888888888889,0.3333333333333333,0.625,0.2,0.08888888888888889
3,2,40.0,25.0,15.0,13.0,0.0,3.0,1.0,6.0,8.0,6.0,31.0,0.0,21.0,0.625,0.375,0.0,0.325,0.52,0.15,0.2
