balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,13381.0,3994.0,9387.0,2670.0,917.0,1538.0,1000.0,4954.0,1673.0,0.0,0.0,156.0,4354.0,0.2984829235483148,0.7015170764516853,0.06853000523129811,0.1995366564531799,0.6685027541311968,0.3702264404753008,0.1250280248112996
0,1,6278.0,1108.0,5170.0,756.0,251.0,435.0,263.0,2506.0,487.0,0.0,0.0,97.0,1247.0,0.17648932781140492,0.8235106721885951,0.03998088563236699,0.12042051608792609,0.6823104693140795,0.39917171073590313,0.07757247531060847
0,2,3063.0,512.0,2551.0,281.0,0.0,65.0,40.0,903.0,162.0,0.0,2045.0,50.0,506.0,0.1671563826314071,0.8328436173685929,0.0,0.09174012406137773,0.548828125,0.2948090107737512,0.05288932419196866
1,0,4439.0,1306.0,3133.0,897.0,306.0,525.0,357.0,1721.0,530.0,0.0,0.0,57.0,1386.0,0.29421040774949314,0.7057895922505069,0.06893444469475107,0.20207253886010362,0.6868300153139357,0.38769993241721107,0.11939626041901329
1,1,4138.0,1217.0,2921.0,811.0,286.0,460.0,294.0,1421.0,489.0,0.0,0.0,47.0,1314.0,0.29410343160947316,0.7058965683905268,0.06911551474142098,0.1959884001933301,0.666392769104355,0.34340260995650074,0.11817303044949251
1,2,2853.0,679.0,2174.0,381.0,0.0,111.0,80.0,800.0,238.0,0.0,1891.0,51.0,708.0,0.2379950928846828,0.7620049071153172,0.0,0.13354363827549948,0.561119293078056,0.28040658955485454,0.08342096039256923
2,0,1539.0,477.0,1062.0,325.0,110.0,189.0,130.0,578.0,184.0,0.0,0.0,17.0,506.0,0.30994152046783624,0.6900584795321637,0.0714749837556855,0.2111760883690708,0.6813417190775681,0.3755685510071475,0.11955815464587394
2,1,1922.0,564.0,1358.0,403.0,146.0,224.0,162.0,662.0,272.0,0.0,0.0,21.0,665.0,0.2934443288241415,0.7065556711758585,0.07596253902185224,0.20967741935483872,0.7145390070921985,0.34443288241415193,0.14151925078043703
2,2,1589.0,660.0,929.0,342.0,0.0,99.0,64.0,407.0,222.0,0.0,1065.0,18.0,654.0,0.41535556954059155,0.5846444304594084,0.0,0.21522970421648835,0.5181818181818182,0.2561359345500315,0.13971050975456262
3,0,508.0,180.0,328.0,128.0,29.0,89.0,65.0,142.0,70.0,142.0,0.0,8.0,160.0,0.3543307086614173,0.6456692913385826,0.05708661417322835,0.25196850393700787,0.7111111111111111,0.2795275590551181,0.1377952755905512
3,1,819.0,390.0,429.0,219.0,48.0,163.0,106.0,185.0,97.0,185.0,0.0,7.0,260.0,0.47619047619047616,0.5238095238095238,0.05860805860805861,0.2673992673992674,0.5615384615384615,0.2258852258852259,0.11843711843711843
3,2,765.0,413.0,352.0,159.0,0.0,62.0,43.0,135.0,103.0,135.0,560.0,8.0,293.0,0.5398692810457516,0.46013071895424834,0.0,0.20784313725490197,0.38498789346246975,0.17647058823529413,0.134640522875817
