balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,15845.0,6746.0,9099.0,3705.0,364.0,3341.0,1493.0,3444.0,5655.0,0.0,0.0,0.0,11300.0,0.4257494477753234,0.5742505522246766,0.02297254654465131,0.23382770590091512,0.5492143492439965,0.21735563269170086,0.3568949195329757
0,1,9534.0,5325.0,4209.0,2675.0,283.0,2392.0,1181.0,975.0,3234.0,0.0,0.0,0.0,8144.0,0.5585273757079925,0.44147262429200756,0.029683238934340255,0.2805747849800713,0.5023474178403756,0.10226557583385777,0.3392070484581498
0,2,6519.0,4863.0,1656.0,1650.0,0.0,1650.0,445.0,287.0,1369.0,0.0,5454.0,0.0,6013.0,0.7459733087896917,0.25402669121030835,0.0,0.25310630464795214,0.3392967304133251,0.0440251572327044,0.21000153397760393
1,0,3444.0,1377.0,2067.0,779.0,34.0,745.0,304.0,1662.0,405.0,0.0,0.0,0.0,1025.0,0.3998257839721254,0.6001742160278746,0.009872241579558653,0.2261904761904762,0.5657225853304285,0.48257839721254353,0.11759581881533102
1,1,2070.0,919.0,1151.0,513.0,21.0,492.0,191.0,916.0,235.0,0.0,0.0,0.0,622.0,0.4439613526570048,0.5560386473429951,0.010144927536231883,0.24782608695652175,0.558215451577802,0.442512077294686,0.11352657004830918
1,2,979.0,570.0,409.0,225.0,0.0,225.0,38.0,337.0,72.0,0.0,476.0,0.0,306.0,0.5822267620020429,0.4177732379979571,0.0,0.22982635342185903,0.39473684210526316,0.3442288049029622,0.0735444330949949
2,0,1661.0,643.0,1018.0,370.0,22.0,348.0,127.0,799.0,219.0,0.0,0.0,0.0,513.0,0.38711619506321493,0.6128838049367851,0.013245033112582781,0.22275737507525586,0.5754276827371695,0.4810355207706201,0.13184828416616495
2,1,1458.0,255.0,1203.0,263.0,11.0,252.0,65.0,1062.0,141.0,0.0,0.0,0.0,396.0,0.1748971193415638,0.8251028806584362,0.0075445816186556925,0.1803840877914952,1.031372549019608,0.7283950617283951,0.09670781893004116
2,2,989.0,234.0,755.0,191.0,0.0,191.0,25.0,681.0,74.0,0.0,597.0,0.0,308.0,0.23660262891809908,0.7633973710819009,0.0,0.19312436804853386,0.8162393162393162,0.6885743174924166,0.07482305358948432
3,0,795.0,251.0,544.0,181.0,6.0,175.0,69.0,487.0,57.0,314.0,0.0,0.0,216.0,0.31572327044025156,0.6842767295597484,0.007547169811320755,0.22767295597484277,0.7211155378486056,0.6125786163522012,0.07169811320754717
3,1,1055.0,508.0,547.0,267.0,7.0,260.0,109.0,459.0,88.0,403.0,0.0,0.0,327.0,0.4815165876777251,0.5184834123222749,0.006635071090047393,0.25308056872037915,0.5255905511811023,0.43507109004739336,0.08341232227488152
3,2,781.0,500.0,281.0,212.0,0.0,212.0,56.0,242.0,39.0,209.0,414.0,0.0,236.0,0.6402048655569782,0.35979513444302175,0.0,0.2714468629961588,0.424,0.30985915492957744,0.0499359795134443
