balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,832.0,286.0,546.0,165.0,9.0,156.0,62.0,302.0,244.0,0.0,0.0,8.0,452.0,0.34375,0.65625,0.010817307692307692,0.19831730769230768,0.5769230769230769,0.3629807692307692,0.2932692307692308
0,1,397.0,190.0,207.0,96.0,6.0,90.0,42.0,114.0,93.0,0.0,0.0,0.0,241.0,0.47858942065491183,0.5214105793450882,0.015113350125944584,0.24181360201511334,0.5052631578947369,0.2871536523929471,0.23425692695214106
0,2,205.0,126.0,79.0,53.0,0.0,53.0,12.0,44.0,35.0,0.0,133.0,0.0,124.0,0.6146341463414634,0.3853658536585366,0.0,0.25853658536585367,0.42063492063492064,0.2146341463414634,0.17073170731707318
1,0,293.0,77.0,216.0,42.0,2.0,40.0,25.0,185.0,31.0,0.0,0.0,2.0,82.0,0.2627986348122867,0.7372013651877133,0.006825938566552901,0.14334470989761092,0.5454545454545454,0.6313993174061433,0.10580204778156997
1,1,187.0,84.0,103.0,41.0,4.0,37.0,17.0,64.0,39.0,0.0,0.0,1.0,108.0,0.44919786096256686,0.5508021390374331,0.0213903743315508,0.2192513368983957,0.4880952380952381,0.3422459893048128,0.20855614973262032
1,2,132.0,83.0,49.0,25.0,0.0,25.0,8.0,27.0,22.0,0.0,92.0,0.0,90.0,0.6287878787878788,0.3712121212121212,0.0,0.1893939393939394,0.30120481927710846,0.20454545454545456,0.16666666666666666
2,0,183.0,76.0,107.0,38.0,2.0,36.0,14.0,77.0,30.0,0.0,0.0,0.0,86.0,0.41530054644808745,0.5846994535519126,0.01092896174863388,0.20765027322404372,0.5,0.4207650273224044,0.16393442622950818
2,1,139.0,55.0,84.0,25.0,1.0,24.0,18.0,48.0,36.0,0.0,0.0,0.0,91.0,0.39568345323741005,0.60431654676259,0.007194244604316547,0.17985611510791366,0.45454545454545453,0.34532374100719426,0.2589928057553957
2,2,107.0,52.0,55.0,22.0,0.0,22.0,9.0,39.0,16.0,0.0,63.0,0.0,68.0,0.48598130841121495,0.514018691588785,0.0,0.205607476635514,0.4230769230769231,0.3644859813084112,0.14953271028037382
3,0,75.0,18.0,57.0,19.0,0.0,19.0,6.0,54.0,3.0,31.0,0.0,1.0,14.0,0.24,0.76,0.0,0.25333333333333335,1.0555555555555556,0.72,0.04
3,1,68.0,39.0,29.0,29.0,4.0,25.0,8.0,24.0,5.0,22.0,0.0,0.0,27.0,0.5735294117647058,0.4264705882352941,0.058823529411764705,0.4264705882352941,0.7435897435897436,0.35294117647058826,0.07352941176470588
3,2,56.0,45.0,11.0,17.0,0.0,17.0,7.0,7.0,4.0,6.0,40.0,0.0,33.0,0.8035714285714286,0.19642857142857142,0.0,0.30357142857142855,0.37777777777777777,0.125,0.07142857142857142
