balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,653.0,269.0,384.0,198.0,78.0,104.0,59.0,202.0,182.0,0.0,0.0,0.0,369.0,0.4119448698315467,0.5880551301684533,0.11944869831546708,0.30321592649310875,0.7360594795539034,0.3093415007656968,0.2787136294027565
0,1,299.0,110.0,189.0,78.0,32.0,39.0,27.0,84.0,105.0,0.0,0.0,0.0,178.0,0.36789297658862874,0.6321070234113713,0.10702341137123746,0.2608695652173913,0.7090909090909091,0.2809364548494983,0.3511705685618729
0,2,150.0,63.0,87.0,43.0,0.0,7.0,5.0,49.0,38.0,0.0,94.0,0.0,84.0,0.42,0.58,0.0,0.2866666666666667,0.6825396825396826,0.32666666666666666,0.25333333333333335
1,0,170.0,65.0,105.0,47.0,19.0,24.0,18.0,53.0,52.0,0.0,0.0,0.0,96.0,0.38235294117647056,0.6176470588235294,0.11176470588235295,0.27647058823529413,0.7230769230769231,0.31176470588235294,0.3058823529411765
1,1,153.0,56.0,97.0,36.0,15.0,21.0,14.0,47.0,50.0,0.0,0.0,0.0,83.0,0.3660130718954248,0.6339869281045751,0.09803921568627451,0.23529411764705882,0.6428571428571429,0.30718954248366015,0.32679738562091504
1,2,111.0,36.0,75.0,26.0,0.0,8.0,5.0,45.0,30.0,0.0,58.0,0.0,58.0,0.32432432432432434,0.6756756756756757,0.0,0.23423423423423423,0.7222222222222222,0.40540540540540543,0.2702702702702703
2,0,42.0,21.0,21.0,13.0,7.0,5.0,3.0,11.0,10.0,0.0,0.0,0.0,25.0,0.5,0.5,0.16666666666666666,0.30952380952380953,0.6190476190476191,0.2619047619047619,0.23809523809523808
2,1,59.0,19.0,40.0,15.0,6.0,6.0,5.0,12.0,28.0,0.0,0.0,0.0,44.0,0.3220338983050847,0.6779661016949152,0.1016949152542373,0.2542372881355932,0.7894736842105263,0.2033898305084746,0.4745762711864407
2,2,65.0,25.0,40.0,14.0,0.0,7.0,6.0,21.0,19.0,0.0,37.0,0.0,35.0,0.38461538461538464,0.6153846153846154,0.0,0.2153846153846154,0.56,0.3230769230769231,0.2923076923076923
3,0,10.0,3.0,7.0,2.0,0.0,2.0,2.0,4.0,3.0,4.0,0.0,0.0,4.0,0.3,0.7,0.0,0.2,0.6666666666666666,0.4,0.3
3,1,15.0,3.0,12.0,3.0,2.0,1.0,1.0,8.0,4.0,8.0,0.0,0.0,6.0,0.2,0.8,0.13333333333333333,0.2,1.0,0.5333333333333333,0.26666666666666666
3,2,21.0,8.0,13.0,5.0,0.0,0.0,0.0,8.0,5.0,8.0,13.0,0.0,12.0,0.38095238095238093,0.6190476190476191,0.0,0.23809523809523808,0.625,0.38095238095238093,0.23809523809523808
