balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,842.0,339.0,503.0,234.0,80.0,141.0,91.0,335.0,153.0,0.0,0.0,15.0,381.0,0.4026128266033254,0.5973871733966746,0.09501187648456057,0.27790973871733965,0.6902654867256637,0.3978622327790974,0.18171021377672208
0,1,326.0,74.0,252.0,44.0,17.0,24.0,15.0,193.0,45.0,0.0,0.0,14.0,95.0,0.22699386503067484,0.7730061349693251,0.05214723926380368,0.13496932515337423,0.5945945945945946,0.5920245398773006,0.13803680981595093
0,2,92.0,22.0,70.0,10.0,0.0,4.0,3.0,54.0,5.0,0.0,24.0,10.0,19.0,0.2391304347826087,0.7608695652173914,0.0,0.10869565217391304,0.45454545454545453,0.5869565217391305,0.05434782608695652
1,0,300.0,126.0,174.0,80.0,24.0,51.0,33.0,107.0,63.0,0.0,0.0,4.0,152.0,0.42,0.58,0.08,0.26666666666666666,0.6349206349206349,0.3566666666666667,0.21
1,1,292.0,111.0,181.0,75.0,25.0,47.0,35.0,126.0,49.0,0.0,0.0,6.0,128.0,0.3801369863013699,0.6198630136986302,0.08561643835616438,0.2568493150684932,0.6756756756756757,0.4315068493150685,0.1678082191780822
1,2,153.0,53.0,100.0,30.0,0.0,10.0,7.0,71.0,12.0,0.0,63.0,9.0,41.0,0.3464052287581699,0.6535947712418301,0.0,0.19607843137254902,0.5660377358490566,0.46405228758169936,0.0784313725490196
2,0,96.0,34.0,62.0,25.0,9.0,16.0,10.0,46.0,16.0,0.0,0.0,0.0,38.0,0.3541666666666667,0.6458333333333334,0.09375,0.2604166666666667,0.7352941176470589,0.4791666666666667,0.16666666666666666
2,1,136.0,54.0,82.0,34.0,9.0,23.0,15.0,56.0,24.0,0.0,0.0,2.0,58.0,0.39705882352941174,0.6029411764705882,0.0661764705882353,0.25,0.6296296296296297,0.4117647058823529,0.17647058823529413
2,2,108.0,50.0,58.0,24.0,0.0,9.0,7.0,30.0,19.0,0.0,64.0,5.0,44.0,0.46296296296296297,0.5370370370370371,0.0,0.2222222222222222,0.48,0.2777777777777778,0.17592592592592593
3,0,40.0,18.0,22.0,11.0,2.0,6.0,3.0,10.0,7.0,10.0,0.0,3.0,17.0,0.45,0.55,0.05,0.275,0.6111111111111112,0.25,0.175
3,1,68.0,31.0,37.0,16.0,4.0,9.0,8.0,19.0,17.0,19.0,0.0,1.0,35.0,0.45588235294117646,0.5441176470588235,0.058823529411764705,0.23529411764705882,0.5161290322580645,0.27941176470588236,0.25
3,2,62.0,31.0,31.0,20.0,0.0,12.0,6.0,24.0,4.0,24.0,25.0,1.0,25.0,0.5,0.5,0.0,0.3225806451612903,0.6451612903225806,0.3870967741935484,0.06451612903225806
