balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,17325.0,6814.0,10511.0,4468.0,1475.0,2708.0,1781.0,6888.0,3244.0,0.0,0.0,379.0,7860.0,0.3933044733044733,0.6066955266955267,0.08513708513708514,0.2578932178932179,0.6557088347519812,0.3975757575757576,0.18724386724386724
0,1,6801.0,1526.0,5275.0,1011.0,365.0,566.0,349.0,4189.0,711.0,0.0,0.0,375.0,1781.0,0.22437876782826055,0.7756212321717395,0.05366857815027202,0.14865460961623292,0.6625163826998689,0.6159388325246288,0.10454344949272165
0,2,1572.0,363.0,1209.0,201.0,0.0,95.0,60.0,912.0,108.0,0.0,455.0,110.0,341.0,0.23091603053435114,0.7690839694656488,0.0,0.12786259541984732,0.5537190082644629,0.5801526717557252,0.06870229007633588
1,0,5949.0,2412.0,3537.0,1615.0,538.0,978.0,643.0,2308.0,1117.0,0.0,0.0,112.0,2729.0,0.405446293494705,0.594553706505295,0.09043536728861994,0.27147419734409145,0.6695688225538972,0.38796436375861487,0.18776264918473692
1,1,5917.0,2168.0,3749.0,1451.0,517.0,846.0,555.0,2601.0,1006.0,0.0,0.0,142.0,2508.0,0.36640189285110697,0.633598107148893,0.08737535913469664,0.24522562109176949,0.669280442804428,0.4395808686834545,0.17001859050194354
1,2,2994.0,913.0,2081.0,460.0,0.0,207.0,140.0,1516.0,249.0,0.0,1121.0,150.0,853.0,0.3049432197728791,0.6950567802271209,0.0,0.15364061456245826,0.5038335158817087,0.5063460253841016,0.08316633266533066
2,0,2019.0,772.0,1247.0,527.0,184.0,313.0,224.0,834.0,370.0,0.0,0.0,39.0,892.0,0.38236750866765723,0.6176324913323428,0.09113422486379395,0.26102030708271423,0.6826424870466321,0.413075780089153,0.18325903912828131
2,1,3020.0,1193.0,1827.0,817.0,291.0,474.0,325.0,1171.0,588.0,0.0,0.0,62.0,1395.0,0.39503311258278145,0.6049668874172185,0.09635761589403974,0.2705298013245033,0.6848281642917016,0.3877483443708609,0.1947019867549669
2,2,2485.0,1217.0,1268.0,644.0,0.0,289.0,189.0,773.0,369.0,0.0,1368.0,55.0,1150.0,0.489738430583501,0.510261569416499,0.0,0.2591549295774648,0.5291700903861956,0.31106639839034206,0.14849094567404428
3,0,728.0,204.0,524.0,148.0,49.0,87.0,55.0,357.0,135.0,357.0,0.0,25.0,276.0,0.2802197802197802,0.7197802197802198,0.0673076923076923,0.2032967032967033,0.7254901960784313,0.49038461538461536,0.18543956043956045
3,1,1248.0,394.0,854.0,298.0,96.0,177.0,116.0,568.0,255.0,568.0,0.0,19.0,527.0,0.3157051282051282,0.6842948717948718,0.07692307692307693,0.2387820512820513,0.7563451776649747,0.4551282051282051,0.20432692307692307
3,2,1110.0,520.0,590.0,272.0,0.0,127.0,88.0,364.0,164.0,364.0,594.0,25.0,478.0,0.46846846846846846,0.5315315315315315,0.0,0.24504504504504504,0.5230769230769231,0.3279279279279279,0.14774774774774774
