balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,14541.0,1976.0,12565.0,1095.0,246.0,757.0,413.0,7251.0,1043.0,0.0,0.0,68.0,2218.0,0.13589161680764733,0.8641083831923526,0.016917681039818444,0.07530431194553332,0.5541497975708503,0.49865896430781925,0.0717282167663847
0,1,6239.0,1130.0,5109.0,636.0,133.0,467.0,282.0,2630.0,513.0,0.0,0.0,30.0,1144.0,0.18111876903349897,0.818881230966501,0.021317518833146337,0.10193941336752685,0.5628318584070796,0.4215419137682321,0.08222471549927873
0,2,2983.0,553.0,2430.0,198.0,0.0,75.0,46.0,853.0,161.0,0.0,2038.0,17.0,474.0,0.18538384177003017,0.8146161582299698,0.0,0.06637613141133088,0.35804701627486435,0.2859537378478042,0.05397251089507207
1,0,6960.0,1603.0,5357.0,891.0,202.0,642.0,381.0,3103.0,691.0,0.0,0.0,32.0,1629.0,0.230316091954023,0.769683908045977,0.029022988505747128,0.12801724137931034,0.5558328134747349,0.44583333333333336,0.0992816091954023
1,1,5460.0,1637.0,3823.0,909.0,197.0,671.0,404.0,1878.0,740.0,0.0,0.0,22.0,1695.0,0.2998168498168498,0.7001831501831501,0.03608058608058608,0.16648351648351647,0.5552840562003665,0.34395604395604396,0.13553113553113552
1,2,3537.0,945.0,2592.0,394.0,0.0,159.0,111.0,977.0,303.0,0.0,2383.0,18.0,854.0,0.26717557251908397,0.732824427480916,0.0,0.11139383658467628,0.41693121693121693,0.2762227876731694,0.08566581849024597
2,0,2931.0,735.0,2196.0,396.0,89.0,279.0,172.0,1275.0,296.0,0.0,0.0,9.0,737.0,0.2507676560900716,0.7492323439099283,0.03036506311838963,0.13510747185261002,0.5387755102040817,0.43500511770726713,0.10098942340498124
2,1,3065.0,1014.0,2051.0,568.0,127.0,409.0,261.0,1013.0,446.0,0.0,0.0,6.0,1027.0,0.3308319738988581,0.6691680261011419,0.04143556280587276,0.18531810766721044,0.5601577909270217,0.3305057096247961,0.14551386623164764
2,2,2368.0,1082.0,1286.0,425.0,0.0,168.0,117.0,599.0,333.0,0.0,1597.0,4.0,1005.0,0.45692567567567566,0.5430743243243243,0.0,0.17947635135135134,0.3927911275415896,0.2529560810810811,0.140625
3,0,1190.0,509.0,681.0,275.0,41.0,218.0,150.0,258.0,166.0,258.0,0.0,1.0,377.0,0.42773109243697477,0.5722689075630252,0.034453781512605045,0.23109243697478993,0.5402750491159135,0.21680672268907564,0.13949579831932774
3,1,1625.0,779.0,846.0,411.0,55.0,343.0,234.0,353.0,215.0,353.0,0.0,4.0,502.0,0.4793846153846154,0.5206153846153846,0.033846153846153845,0.2529230769230769,0.527599486521181,0.21723076923076923,0.13230769230769232
3,2,1375.0,777.0,598.0,247.0,0.0,117.0,83.0,264.0,173.0,264.0,993.0,1.0,503.0,0.5650909090909091,0.4349090909090909,0.0,0.17963636363636365,0.3178893178893179,0.192,0.12581818181818183
