balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,767.0,268.0,499.0,130.0,25.0,99.0,61.0,258.0,76.0,0.0,0.0,1.0,228.0,0.3494132985658409,0.6505867014341591,0.03259452411994785,0.1694915254237288,0.48507462686567165,0.3363754889178618,0.09908735332464146
0,1,382.0,70.0,312.0,37.0,9.0,25.0,15.0,133.0,33.0,0.0,0.0,1.0,79.0,0.18324607329842932,0.8167539267015707,0.02356020942408377,0.0968586387434555,0.5285714285714286,0.3481675392670157,0.08638743455497382
0,2,213.0,33.0,180.0,15.0,0.0,6.0,5.0,80.0,6.0,0.0,127.0,0.0,23.0,0.15492957746478872,0.8450704225352113,0.0,0.07042253521126761,0.45454545454545453,0.3755868544600939,0.028169014084507043
1,0,247.0,86.0,161.0,50.0,17.0,29.0,17.0,85.0,31.0,0.0,0.0,2.0,86.0,0.3481781376518219,0.6518218623481782,0.06882591093117409,0.20242914979757085,0.5813953488372093,0.3441295546558704,0.12550607287449392
1,1,246.0,79.0,167.0,42.0,12.0,29.0,22.0,73.0,34.0,0.0,0.0,0.0,77.0,0.32113821138211385,0.6788617886178862,0.04878048780487805,0.17073170731707318,0.5316455696202531,0.2967479674796748,0.13821138211382114
1,2,214.0,46.0,168.0,21.0,0.0,7.0,4.0,56.0,22.0,0.0,151.0,0.0,41.0,0.21495327102803738,0.7850467289719626,0.0,0.09813084112149532,0.45652173913043476,0.2616822429906542,0.102803738317757
2,0,77.0,30.0,47.0,14.0,3.0,11.0,8.0,28.0,6.0,0.0,0.0,0.0,24.0,0.38961038961038963,0.6103896103896104,0.03896103896103896,0.18181818181818182,0.4666666666666667,0.36363636363636365,0.07792207792207792
2,1,102.0,39.0,63.0,26.0,3.0,22.0,10.0,25.0,13.0,0.0,0.0,0.0,37.0,0.38235294117647056,0.6176470588235294,0.029411764705882353,0.2549019607843137,0.6666666666666666,0.24509803921568626,0.12745098039215685
2,2,101.0,43.0,58.0,21.0,0.0,7.0,4.0,25.0,17.0,0.0,69.0,0.0,41.0,0.42574257425742573,0.5742574257425742,0.0,0.2079207920792079,0.4883720930232558,0.24752475247524752,0.16831683168316833
3,0,26.0,14.0,12.0,6.0,0.0,6.0,3.0,4.0,3.0,4.0,0.0,0.0,6.0,0.5384615384615384,0.46153846153846156,0.0,0.23076923076923078,0.42857142857142855,0.15384615384615385,0.11538461538461539
3,1,38.0,16.0,22.0,7.0,2.0,5.0,3.0,6.0,7.0,6.0,0.0,1.0,15.0,0.42105263157894735,0.5789473684210527,0.05263157894736842,0.18421052631578946,0.4375,0.15789473684210525,0.18421052631578946
3,2,46.0,25.0,21.0,2.0,0.0,1.0,1.0,7.0,9.0,7.0,38.0,0.0,18.0,0.5434782608695652,0.45652173913043476,0.0,0.043478260869565216,0.08,0.15217391304347827,0.1956521739130435
