balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,13950.0,4602.0,9348.0,2481.0,582.0,1768.0,1104.0,4996.0,1650.0,0.0,0.0,46.0,4333.0,0.32989247311827957,0.6701075268817205,0.04172043010752688,0.1778494623655914,0.5391134289439374,0.3581362007168459,0.11827956989247312
0,1,6851.0,1339.0,5512.0,760.0,159.0,537.0,342.0,2731.0,492.0,0.0,0.0,37.0,1293.0,0.1954459203036053,0.8045540796963947,0.023208290760472924,0.11093271055320392,0.5675877520537714,0.39862793752736825,0.07181433367391622
0,2,3404.0,602.0,2802.0,245.0,0.0,90.0,56.0,998.0,170.0,0.0,2297.0,19.0,539.0,0.17685076380728554,0.8231492361927144,0.0,0.07197414806110458,0.4069767441860465,0.29318448883666276,0.0499412455934195
1,0,4695.0,1536.0,3159.0,830.0,187.0,607.0,373.0,1724.0,538.0,0.0,0.0,19.0,1451.0,0.3271565495207668,0.6728434504792332,0.039829605963791266,0.17678381256656017,0.5403645833333334,0.36719914802981896,0.11458998935037273
1,1,4763.0,1490.0,3273.0,800.0,187.0,578.0,353.0,1562.0,594.0,0.0,0.0,18.0,1475.0,0.3128280495486038,0.6871719504513962,0.03926096997690531,0.16796136888515642,0.5369127516778524,0.3279445727482679,0.12471131639722864
1,2,3427.0,856.0,2571.0,309.0,0.0,119.0,92.0,941.0,282.0,0.0,2355.0,12.0,787.0,0.24978114969360957,0.7502188503063905,0.0,0.09016632623285672,0.36098130841121495,0.2745841844178582,0.08228771520280129
2,0,1622.0,550.0,1072.0,313.0,74.0,229.0,149.0,572.0,191.0,0.0,0.0,8.0,522.0,0.33908754623921084,0.6609124537607891,0.04562268803945746,0.19297163995067818,0.5690909090909091,0.3526510480887793,0.11775585696670776
2,1,2244.0,768.0,1476.0,433.0,107.0,308.0,189.0,751.0,314.0,0.0,0.0,8.0,769.0,0.3422459893048128,0.6577540106951871,0.04768270944741533,0.1929590017825312,0.5638020833333334,0.33467023172905525,0.13992869875222816
2,2,1937.0,842.0,1095.0,297.0,0.0,118.0,71.0,496.0,240.0,0.0,1321.0,2.0,733.0,0.43469282395456893,0.5653071760454311,0.0,0.15332989158492513,0.3527315914489311,0.2560660815694373,0.12390294269488901
3,0,530.0,242.0,288.0,122.0,17.0,100.0,62.0,122.0,88.0,122.0,0.0,0.0,202.0,0.45660377358490567,0.5433962264150943,0.03207547169811321,0.23018867924528302,0.5041322314049587,0.23018867924528302,0.1660377358490566
3,1,997.0,480.0,517.0,257.0,34.0,210.0,139.0,210.0,147.0,210.0,0.0,1.0,307.0,0.48144433299899697,0.518555667001003,0.034102306920762285,0.2577733199598796,0.5354166666666667,0.21063189568706117,0.14744232698094284
3,2,987.0,567.0,420.0,173.0,0.0,75.0,59.0,173.0,122.0,173.0,738.0,1.0,360.0,0.574468085106383,0.425531914893617,0.0,0.1752786220871327,0.30511463844797176,0.1752786220871327,0.12360688956433637
