balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,1062.0,265.0,797.0,191.0,118.0,48.0,30.0,242.0,544.0,0.0,0.0,0.0,770.0,0.2495291902071563,0.7504708097928436,0.1111111111111111,0.17984934086629,0.720754716981132,0.2278719397363465,0.512241054613936
0,1,764.0,217.0,547.0,156.0,79.0,56.0,28.0,151.0,386.0,0.0,0.0,0.0,572.0,0.28403141361256545,0.7159685863874345,0.10340314136125654,0.20418848167539266,0.7188940092165899,0.19764397905759162,0.5052356020942408
0,2,701.0,191.0,510.0,155.0,144.0,2.0,2.0,131.0,368.0,0.0,424.0,0.0,518.0,0.2724679029957204,0.7275320970042796,0.20542082738944364,0.2211126961483595,0.8115183246073299,0.18687589158345222,0.5249643366619116
1,0,240.0,53.0,187.0,44.0,26.0,13.0,9.0,40.0,145.0,0.0,0.0,0.0,191.0,0.22083333333333333,0.7791666666666667,0.10833333333333334,0.18333333333333332,0.8301886792452831,0.16666666666666666,0.6041666666666666
1,1,335.0,98.0,237.0,72.0,42.0,22.0,14.0,45.0,189.0,0.0,0.0,0.0,272.0,0.29253731343283584,0.7074626865671642,0.1253731343283582,0.21492537313432836,0.7346938775510204,0.13432835820895522,0.564179104477612
1,2,487.0,128.0,359.0,93.0,88.0,1.0,1.0,106.0,248.0,0.0,292.0,0.0,356.0,0.26283367556468173,0.7371663244353183,0.1806981519507187,0.19096509240246407,0.7265625,0.21765913757700206,0.5092402464065708
2,0,40.0,11.0,29.0,7.0,7.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,35.0,0.275,0.725,0.175,0.175,0.6363636363636364,0.1,0.625
2,1,80.0,30.0,50.0,22.0,14.0,7.0,5.0,4.0,45.0,0.0,0.0,0.0,71.0,0.375,0.625,0.175,0.275,0.7333333333333333,0.05,0.5625
2,2,237.0,84.0,153.0,68.0,62.0,3.0,2.0,25.0,125.0,0.0,147.0,0.0,200.0,0.35443037974683544,0.6455696202531646,0.2616033755274262,0.2869198312236287,0.8095238095238095,0.10548523206751055,0.5274261603375527
3,0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.25,0.75,0.0,0.25,1.0,0.0,0.75
3,1,7.0,3.0,4.0,3.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,7.0,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.42857142857142855,1.0,0.0,0.5714285714285714
3,2,41.0,14.0,27.0,11.0,11.0,0.0,0.0,2.0,25.0,2.0,28.0,0.0,39.0,0.34146341463414637,0.6585365853658537,0.2682926829268293,0.2682926829268293,0.7857142857142857,0.04878048780487805,0.6097560975609756
