balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,725.0,130.0,595.0,79.0,13.0,60.0,40.0,324.0,55.0,0.0,0.0,5.0,140.0,0.1793103448275862,0.8206896551724138,0.01793103448275862,0.10896551724137932,0.6076923076923076,0.44689655172413795,0.07586206896551724
0,1,327.0,61.0,266.0,31.0,10.0,18.0,11.0,138.0,27.0,0.0,0.0,2.0,64.0,0.18654434250764526,0.8134556574923547,0.03058103975535168,0.09480122324159021,0.5081967213114754,0.42201834862385323,0.08256880733944955
0,2,165.0,25.0,140.0,9.0,0.0,5.0,4.0,54.0,10.0,0.0,105.0,1.0,22.0,0.15151515151515152,0.8484848484848485,0.0,0.05454545454545454,0.36,0.32727272727272727,0.06060606060606061
1,0,312.0,64.0,248.0,36.0,9.0,25.0,17.0,152.0,31.0,0.0,0.0,1.0,69.0,0.20512820512820512,0.7948717948717948,0.028846153846153848,0.11538461538461539,0.5625,0.48717948717948717,0.09935897435897435
1,1,257.0,76.0,181.0,44.0,13.0,29.0,18.0,96.0,23.0,0.0,0.0,1.0,68.0,0.29571984435797666,0.7042801556420234,0.05058365758754864,0.17120622568093385,0.5789473684210527,0.3735408560311284,0.08949416342412451
1,2,174.0,39.0,135.0,19.0,0.0,8.0,7.0,66.0,11.0,0.0,99.0,1.0,33.0,0.22413793103448276,0.7758620689655172,0.0,0.10919540229885058,0.48717948717948717,0.3793103448275862,0.06321839080459771
2,0,144.0,50.0,94.0,29.0,6.0,21.0,13.0,46.0,17.0,0.0,0.0,0.0,50.0,0.3472222222222222,0.6527777777777778,0.041666666666666664,0.2013888888888889,0.58,0.3194444444444444,0.11805555555555555
2,1,158.0,49.0,109.0,27.0,4.0,22.0,17.0,51.0,24.0,0.0,0.0,0.0,48.0,0.310126582278481,0.689873417721519,0.02531645569620253,0.17088607594936708,0.5510204081632653,0.3227848101265823,0.1518987341772152
2,2,143.0,61.0,82.0,23.0,0.0,13.0,9.0,34.0,24.0,0.0,96.0,0.0,56.0,0.42657342657342656,0.5734265734265734,0.0,0.16083916083916083,0.3770491803278688,0.23776223776223776,0.16783216783216784
3,0,41.0,16.0,25.0,8.0,1.0,7.0,5.0,11.0,7.0,11.0,0.0,0.0,16.0,0.3902439024390244,0.6097560975609756,0.024390243902439025,0.1951219512195122,0.5,0.2682926829268293,0.17073170731707318
3,1,72.0,40.0,32.0,26.0,3.0,21.0,14.0,13.0,7.0,13.0,0.0,0.0,20.0,0.5555555555555556,0.4444444444444444,0.041666666666666664,0.3611111111111111,0.65,0.18055555555555555,0.09722222222222222
3,2,62.0,37.0,25.0,10.0,0.0,6.0,5.0,10.0,4.0,10.0,46.0,0.0,16.0,0.5967741935483871,0.4032258064516129,0.0,0.16129032258064516,0.2702702702702703,0.16129032258064516,0.06451612903225806
