balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,14413.0,2544.0,11869.0,1374.0,312.0,966.0,556.0,6672.0,1057.0,0.0,0.0,68.0,2603.0,0.17650731978075349,0.8234926802192465,0.021647124124054673,0.09533060431554846,0.5400943396226415,0.4629154235759384,0.0733365711510442
0,1,6455.0,1175.0,5280.0,641.0,144.0,447.0,263.0,2680.0,505.0,0.0,0.0,41.0,1218.0,0.1820294345468629,0.8179705654531371,0.022308288148721923,0.09930286599535244,0.5455319148936171,0.41518202943454685,0.07823392718822618
0,2,3164.0,573.0,2591.0,268.0,0.0,103.0,63.0,952.0,158.0,0.0,2093.0,16.0,502.0,0.18109987357774968,0.8189001264222503,0.0,0.08470290771175727,0.4677137870855148,0.3008849557522124,0.04993678887484197
1,0,6326.0,1679.0,4647.0,964.0,226.0,694.0,441.0,2643.0,671.0,0.0,0.0,33.0,1685.0,0.2654125829908315,0.7345874170091685,0.035725576983876066,0.15238697439140056,0.5741512805241215,0.41779955738223207,0.10607018653177364
1,1,5308.0,1620.0,3688.0,905.0,210.0,648.0,389.0,1821.0,654.0,0.0,0.0,13.0,1611.0,0.30519969856819895,0.694800301431801,0.039562923888470235,0.17049736247174077,0.558641975308642,0.3430670685757347,0.12321024868123587
1,2,3569.0,899.0,2670.0,346.0,0.0,123.0,82.0,981.0,313.0,0.0,2448.0,17.0,838.0,0.2518912860745307,0.7481087139254693,0.0,0.0969459232277949,0.38487208008898777,0.27486690949845893,0.08769963575231157
2,0,2500.0,679.0,1821.0,383.0,88.0,277.0,185.0,1030.0,289.0,0.0,0.0,9.0,693.0,0.2716,0.7284,0.0352,0.1532,0.5640648011782032,0.412,0.1156
2,1,2809.0,888.0,1921.0,477.0,104.0,343.0,218.0,955.0,359.0,0.0,0.0,9.0,884.0,0.31612673549305803,0.683873264506942,0.037023851904592384,0.16981132075471697,0.5371621621621622,0.33997864008543965,0.12780348878604486
2,2,2274.0,869.0,1405.0,331.0,0.0,121.0,82.0,611.0,291.0,0.0,1536.0,6.0,792.0,0.38214599824098505,0.617854001759015,0.0,0.1455584872471416,0.380897583429229,0.26868953386103783,0.1279683377308707
3,0,973.0,425.0,548.0,249.0,36.0,198.0,127.0,201.0,144.0,201.0,0.0,2.0,313.0,0.4367934224049332,0.5632065775950668,0.03699897225077081,0.25590955806783144,0.5858823529411765,0.2065775950668037,0.14799588900308325
3,1,1424.0,731.0,693.0,376.0,43.0,324.0,189.0,308.0,162.0,308.0,0.0,5.0,419.0,0.5133426966292135,0.4866573033707865,0.030196629213483147,0.2640449438202247,0.5143638850889193,0.21629213483146068,0.11376404494382023
3,2,1287.0,740.0,547.0,246.0,0.0,118.0,86.0,222.0,182.0,222.0,947.0,0.0,511.0,0.574980574980575,0.425019425019425,0.0,0.19114219114219114,0.3324324324324324,0.17249417249417248,0.1414141414141414
