balls,strikes,samples,avg_base_lookup,avg_base_raw,avg_scale,avg_count_adjust,avg_close_ball_bonus,avg_discipline_adjust,avg_discipline_bias,avg_discipline_logit_offset,avg_close_strike_mix,avg_penalty_source,avg_penalty_factor,avg_penalty_floor,avg_penalty_delta,avg_penalty_multiplier,avg_location_adjust,avg_take_bonus,avg_pre_two_strike,avg_two_strike_bonus,avg_final,avg_discipline,avg_discipline_raw,avg_discipline_raw_scaled,avg_discipline_norm,avg_discipline_clamped,avg_discipline_logit,avg_discipline_pct,avg_discipline_penalty,pitch_kind_sure_strike_pct,pitch_kind_close_strike_pct,pitch_kind_close_ball_pct,pitch_kind_sure_ball_pct
0,0,797,0.429729967377672,0.41186951066499317,0.9234336260978765,-0.0032000000000000505,0.0,-0.002261178273877142,0.4652778446346979,0.0,0.002986198243412798,0.965277844634697,0.8484313314646534,0.31999999999999496,0.022796872693144645,1.0404265997490556,0.0,-0.03934755332496855,0.4587672043167998,0.0,0.4587672043167998,1.0,181.48431618569637,177.8546298619822,1.7785462986198217,1.0,0.965277844634697,1.0399999999999916,1.3600000000000054,0.7754077791718946,0.00878293601003764,0.04767879548306148,0.16813048933500627
0,1,299,0.22104028093645484,0.21782608695652306,0.6946167224080227,0.0,0.0,-0.0752795477310394,0.389248208735458,0.0,0.002274247491638796,0.889248208735459,0.3917853910866613,0.0,0.08275154083690087,1.012240802675586,0.0,-0.11277591973244128,0.22851227404231608,0.0,0.22851227404231608,1.0,155.93645484949832,152.8177257525084,1.5281772575250834,1.0,0.889248208735459,1.0400000000000014,1.360000000000009,0.3879598662207358,0.006688963210702341,0.10367892976588629,0.5016722408026756
0,2,58,0.2506301379310344,0.24568965517241362,0.7261172413793102,0.0008000000000000003,0.0,-0.04081753517526073,0.25274471417124156,0.0,0.0,0.7527447141712419,0.45422586399958814,0.0,0.04577006512855257,1.0110344827586213,0.0,-0.07931034482758623,0.25666916544600954,0.12000000000000009,0.37666916544600954,1.0,135.73275862068965,133.0181034482758,1.3301810344827583,1.0,0.7527447141712419,1.0399999999999994,1.3599999999999997,0.4482758620689655,0.0,0.15517241379310345,0.39655172413793105
1,0,288,0.4035902777777772,0.38763888888888814,0.895191666666662,-0.002800000000000016,0.0,-0.013868863730004398,0.48332872443466,0.0,0.004722222222222222,0.9833287244346608,0.8081702612905963,0.2999999999999984,0.02939659256638596,1.0222222222222228,0.0,-0.047222222222222165,0.43022214061017683,0.0,0.43022214061017683,1.0,196.84375,192.90687499999981,1.9290687499999986,1.0,0.9833287244346608,1.0400000000000007,1.360000000000009,0.7222222222222222,0.013888888888888888,0.06944444444444445,0.19444444444444445
1,1,287,0.3828103972125429,0.3682926829268287,0.872137979094072,0.0,0.0,-0.015599707686720374,0.3354228521372244,0.0,0.003554006968641115,0.8354228521372237,0.7077118859646304,0.05000000000000024,0.031652041911340585,1.006271777003485,0.0,-0.055052264808362276,0.40062853247164065,0.0,0.40062853247164065,1.0,146.41463414634146,143.48634146341465,1.4348634146341437,1.0,0.8354228521372237,1.0400000000000007,1.360000000000009,0.686411149825784,0.010452961672473868,0.06968641114982578,0.23344947735191637
1,2,129,0.2842811782945737,0.27658914728682177,0.7633302325581401,0.0006000000000000019,0.0,-0.03531394218024511,0.2618900039407065,0.0,0.0,0.7618900039407059,0.5365835383194412,0.049999999999999885,0.041320882315454666,1.0097674418604647,0.0,-0.08217054263565887,0.29308491061356884,0.11999999999999968,0.4130849106135683,1.0,136.77906976744185,134.04348837209304,1.3404348837209292,1.0,0.7618900039407059,1.0400000000000025,1.3600000000000032,0.5116279069767442,0.0,0.07751937984496124,0.4108527131782946
2,0,106,0.4088727169811319,0.39254716981132104,0.9005792452830194,-0.0035000000000000027,0.0,-0.011340296925466845,0.4651631503351017,0.0,0.003207547169811321,0.965163150335102,0.7918080688125979,0.1999999999999996,0.03288242380829996,1.0052830188679245,0.0,-0.045660377358490586,0.43561025014597626,0.0,0.43561025014597626,1.0,181.4056603773585,177.77754716981133,1.7777754716981133,1.0,0.965163150335102,1.0400000000000023,1.360000000000001,0.7358490566037735,0.009433962264150943,0.0660377358490566,0.18867924528301888
2,1,136,0.4863771470588234,0.46448529411764833,0.9854132352941183,-0.002400000000000008,0.0,0.01671650498364137,0.3614640048907524,0.0,0.0025,0.8614640048907515,0.9242936504611938,0.34000000000000097,0.008110765344301173,1.0023529411764707,0.0,-0.020294117647058827,0.513643182512842,0.0,0.513643182512842,1.0,150.61029411764707,147.59808823529414,1.4759808823529401,1.0,0.8614640048907515,1.0400000000000018,1.3600000000000039,0.8823529411764706,0.007352941176470588,0.022058823529411766,0.08823529411764706
2,2,103,0.4047858252427184,0.38864077669902947,0.8962213592233014,0.00039999999999999975,0.0,-0.0088907645054793,0.33317626507214054,0.0,0.003300970873786408,0.83317626507214,0.7860623525787559,0.1999999999999996,0.02228582684899186,1.0054368932038833,0.0,-0.04271844660194176,0.42461537419187373,0.11999999999999979,0.5446153741918738,1.0,146.06796116504853,143.14660194174755,1.4314660194174755,1.0,0.83317626507214,1.040000000000002,1.3600000000000008,0.7281553398058253,0.009708737864077669,0.04854368932038835,0.21359223300970873
3,0,39,0.33997999999999995,0.32846153846153825,0.8242769230769235,-0.004000000000000003,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.34999999999999976,0.0,1.0076923076923079,0.0,-0.07076923076923079,0.33360246153846157,0.0,0.33360246153846157,0.5,173.0,169.54000000000002,1.6953999999999996,0.5,0.5,1.0399999999999994,1.3599999999999997,0.6153846153846154,0.0,0.07692307692307693,0.3076923076923077
