balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,15849.0,6171.0,9678.0,4220.0,1422.0,2509.0,1665.0,6604.0,2990.0,0.0,0.0,84.0,7257.0,0.3893621048646602,0.6106378951353397,0.08972174900624645,0.2662628557006751,0.6838437854480636,0.41668244053252573,0.18865543567417503
0,1,6149.0,1382.0,4767.0,936.0,328.0,550.0,353.0,4027.0,658.0,0.0,0.0,82.0,1621.0,0.22475199219385267,0.7752480078061473,0.05334200683037892,0.1522198731501057,0.6772793053545586,0.6549032362985852,0.10700926979996747
0,2,1402.0,327.0,1075.0,180.0,0.0,83.0,52.0,877.0,85.0,0.0,419.0,23.0,276.0,0.2332382310984308,0.7667617689015692,0.0,0.12838801711840228,0.5504587155963303,0.6255349500713266,0.06062767475035663
1,0,5670.0,2273.0,3397.0,1554.0,516.0,943.0,651.0,2295.0,1082.0,0.0,0.0,20.0,2670.0,0.40088183421516754,0.5991181657848325,0.091005291005291,0.2740740740740741,0.6836779586449626,0.40476190476190477,0.1908289241622575
1,1,5634.0,1998.0,3636.0,1362.0,481.0,794.0,540.0,2581.0,1018.0,0.0,0.0,37.0,2371.0,0.3546325878594249,0.645367412140575,0.08537451189208378,0.2417465388711395,0.6816816816816816,0.4581114660986865,0.18068867589634363
1,2,2852.0,818.0,2034.0,420.0,0.0,162.0,108.0,1552.0,268.0,0.0,1106.0,32.0,820.0,0.2868162692847125,0.7131837307152875,0.0,0.14726507713884993,0.5134474327628362,0.544179523141655,0.09396914446002805
2,0,1993.0,801.0,1192.0,565.0,185.0,343.0,201.0,836.0,336.0,0.0,0.0,10.0,883.0,0.4019066733567486,0.5980933266432514,0.09282488710486704,0.2834922227797291,0.7053682896379525,0.41946813848469644,0.16859006522829906
2,1,2916.0,1175.0,1741.0,817.0,284.0,485.0,323.0,1202.0,518.0,0.0,0.0,13.0,1328.0,0.40294924554183814,0.5970507544581619,0.09739368998628258,0.28017832647462276,0.6953191489361702,0.4122085048010974,0.1776406035665295
2,2,2406.0,1178.0,1228.0,607.0,0.0,270.0,160.0,820.0,331.0,0.0,1307.0,9.0,1131.0,0.48960931005818786,0.5103906899418121,0.0,0.25228595178719865,0.5152801358234296,0.3408146300914381,0.13757273482959267
3,0,720.0,218.0,502.0,169.0,62.0,93.0,72.0,360.0,129.0,360.0,0.0,6.0,282.0,0.30277777777777776,0.6972222222222222,0.08611111111111111,0.23472222222222222,0.7752293577981652,0.5,0.17916666666666667
3,1,1268.0,417.0,851.0,303.0,112.0,168.0,121.0,573.0,263.0,573.0,0.0,8.0,562.0,0.32886435331230285,0.6711356466876972,0.08832807570977919,0.23895899053627762,0.7266187050359713,0.4518927444794953,0.20741324921135645
3,2,1185.0,594.0,591.0,319.0,0.0,137.0,100.0,395.0,172.0,395.0,649.0,4.0,556.0,0.5012658227848101,0.49873417721518987,0.0,0.26919831223628693,0.5370370370370371,0.3333333333333333,0.1451476793248945
