balls,strikes,samples,avg_base_lookup,avg_base_raw,avg_scale,avg_count_adjust,avg_close_ball_bonus,avg_discipline_adjust,avg_discipline_bias,avg_discipline_logit_offset,avg_close_strike_mix,avg_penalty_source,avg_penalty_factor,avg_penalty_floor,avg_penalty_delta,avg_penalty_multiplier,avg_location_adjust,avg_take_bonus,avg_pre_two_strike,avg_two_strike_bonus,avg_final,avg_discipline,avg_discipline_raw,avg_discipline_raw_scaled,avg_discipline_norm,avg_discipline_clamped,avg_discipline_logit,avg_discipline_pct,avg_discipline_penalty,pitch_kind_sure_strike_pct,pitch_kind_close_strike_pct,pitch_kind_close_ball_pct,pitch_kind_sure_ball_pct
0,0,15922,0.42400089662104995,0.40651111669402357,0.916760369300111,-0.0031999999999996805,0.0,-0.004534176306768768,0.4655280611612133,0.0,0.0013880165808315534,0.9655280611612186,0.843290065029176,0.32000000000000034,0.02530699177432373,1.0416254239417622,0.0,-0.042052505966588126,0.453934511544496,0.0,0.453934511544496,1.0,181.6537809320437,178.02070531340237,1.780207053134178,1.0,0.9655280611612186,1.0400000000004246,1.3600000000003076,0.7687476447682452,0.0040824017083280996,0.04226855922622786,0.18490139429719885
0,1,6270,0.24819894162681244,0.24312440191386056,0.7238978947368091,0.0,0.0,-0.06556179245041246,0.3926687877782853,0.0,0.0006507177033492821,0.8926687877782832,0.4436566316191129,0.0,0.07690618169990544,1.0111483253589346,0.0,-0.102870813397131,0.25954333087628756,0.0,0.25954333087628756,1.0,156.64904306220095,153.51606220095886,1.5351606220095588,1.0,0.8926687877782832,1.0399999999999672,1.3599999999998855,0.44258373205741625,0.0019138755980861245,0.10287081339712918,0.45263157894736844
0,2,1467,0.1909273865030672,0.1899182004089999,0.6610024539877408,0.0008000000000000009,0.0,-0.05662277768192871,0.26114010819255296,0.0,0.00023176550783912748,0.7611401081925514,0.34246884874579187,0.0,0.05787957616585714,1.0132651670074888,0.0,-0.10729379686434874,0.19323515601014007,0.12000000000000248,0.313235156010142,1.0,136.6676891615542,133.93433537832442,1.3393433537832335,1.0,0.7611401081925514,1.0399999999999787,1.3599999999999572,0.3367416496250852,0.0006816632583503749,0.12610770279481937,0.5364689843217451
1,0,5769,0.4316653964291996,0.4136280117871237,0.9254704108163987,-0.002800000000000229,0.0,-0.0015242635817401353,0.48306225141906317,0.0,0.0025342347027214416,0.9830622514190458,0.8475484827166487,0.29999999999997035,0.024565847349989352,1.0175836366787883,0.0,-0.039306638932223414,0.463135532892885,0.0,0.463135532892885,1.0,196.58814352574103,192.6563806552195,1.926563806552253,1.0,0.9830622514190458,1.0399999999999676,1.3599999999998653,0.780204541514994,0.007453631478592477,0.039521580863234526,0.17282024614317906
1,1,5836,0.39392302810145025,0.378591501028087,0.8837230294722102,0.0,0.0,-0.012421387957322597,0.3356912941617598,0.0,0.0012234407128169976,0.8356912941617632,0.7293066610215472,0.0500000000000055,0.031056179713521325,1.0057402330363587,0.0,-0.0519945167923224,0.41422607078803697,0.0,0.41422607078803697,1.0,146.45639136394792,143.52726353666446,1.4352726353666847,1.0,0.8356912941617632,1.0399999999999676,1.359999999999863,0.7129883481836875,0.0035983550376970526,0.05860178204249486,0.22481151473612063
1,2,2954,0.26235645362221766,0.2562931618144773,0.73959783344616,0.0005999999999999818,0.0,-0.03984214459395694,0.25828470019065203,0.0,0.0013811780636425184,0.7582847001906485,0.49733715196815204,0.049999999999999774,0.04317818766153412,1.010656736628292,0.0,-0.08564658090724245,0.2686480493492802,0.1200000000000035,0.3886480493492759,1.0,136.3591740013541,133.63199052132717,1.3363199052132801,1.0,0.7582847001906485,1.0399999999999712,1.3600000000000398,0.46716316858496953,0.004062288422477996,0.10054163845633039,0.4282329045362221
2,0,2060,0.43049524660195315,0.41257281553396935,0.9244507766990021,-0.0034999999999998864,0.0,-0.0021309436735506533,0.46553647024650907,0.0,0.0036310679611650473,0.9655364702465065,0.8236719880759713,0.1999999999999928,0.026986143437581777,1.0044951456310645,0.0,-0.039087378640776944,0.45914037197968205,0.0,0.45914037197968205,1.0,181.65631067961166,178.02318446601953,1.7802318446601797,1.0,0.9655364702465065,1.0399999999999745,1.3600000000000019,0.775242718446602,0.010679611650485437,0.04660194174757282,0.16747572815533981
2,1,3115,0.4334878857142998,0.41529695024075686,0.9276285714285681,-0.0023999999999999174,0.0,-0.000665504171521849,0.365977271901502,0.0,0.003056179775280898,0.8659772719014975,0.8584838756339076,0.34000000000000735,0.01648467350744589,1.0043531300160478,0.0,-0.03893418940609992,0.45625313175717297,0.0,0.45625313175717297,1.0,151.423113964687,148.39465168539385,1.4839465168539387,1.0,0.8659772719014975,1.0399999999999707,1.3600000000000294,0.7823434991974317,0.008988764044943821,0.03499197431781702,0.1736757624398074
2,2,2638,0.42985286125854194,0.41195602729339115,0.9232788476118117,0.00039999999999998067,0.0,-0.0016131820996650149,0.33334922781760656,0.0,0.0018043972706595901,0.8333492278176146,0.8249566778052235,0.19999999999999354,0.019160853489060437,1.004427596664136,0.0,-0.03487490523123608,0.45283156436659017,0.12000000000000338,0.5728315643665809,1.0,146.1044351781653,143.1823464746032,1.431823464746043,1.0,0.8333492278176146,1.039999999999972,1.3600000000000294,0.778620166793025,0.00530705079605762,0.04169825625473844,0.17437452615617893
3,0,752,0.4000270691489405,0.3842154255319168,0.8908521276595832,-0.004000000000000003,0.0,0.0,0.0,0.0,0.0027127659574468087,0.5,1.0,0.34999999999999676,0.0,1.0055851063829757,0.0,-0.050319148936170226,0.3943735319148907,0.0,0.3943735319148907,0.5,171.82646276595744,168.38993351063928,1.6838993351063893,0.5,0.5,1.0399999999999932,1.3600000000000119,0.7207446808510638,0.007978723404255319,0.04920212765957447,0.2220744680851064
