balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,16407.0,6649.0,9758.0,4091.0,1248.0,2606.0,1745.0,6719.0,2991.0,0.0,0.0,48.0,7310.0,0.40525385506186384,0.5947461449381362,0.07606509416712379,0.24934479185713415,0.6152804933072642,0.4095203266898275,0.18230023770341927
0,1,6580.0,1581.0,4999.0,972.0,298.0,613.0,403.0,4234.0,720.0,0.0,0.0,45.0,1770.0,0.24027355623100305,0.759726443768997,0.045288753799392095,0.14772036474164132,0.6148007590132827,0.6434650455927051,0.1094224924012158
0,2,1605.0,375.0,1230.0,178.0,0.0,82.0,53.0,1033.0,89.0,0.0,477.0,13.0,309.0,0.2336448598130841,0.7663551401869159,0.0,0.11090342679127727,0.4746666666666667,0.643613707165109,0.05545171339563863
1,0,5965.0,2429.0,3536.0,1498.0,441.0,970.0,657.0,2427.0,1094.0,0.0,0.0,15.0,2675.0,0.40720871751886,0.59279128248114,0.07393126571668064,0.25113160100586757,0.6167146974063401,0.4068734283319363,0.18340318524727578
1,1,6116.0,2243.0,3873.0,1383.0,433.0,866.0,600.0,2790.0,1067.0,0.0,0.0,16.0,2508.0,0.3667429692609549,0.6332570307390452,0.07079790712884237,0.22612818835840418,0.6165849308961213,0.4561805101373447,0.17446043165467626
1,2,3232.0,1012.0,2220.0,498.0,0.0,239.0,163.0,1701.0,293.0,0.0,1270.0,22.0,926.0,0.3131188118811881,0.6868811881188119,0.0,0.15408415841584158,0.49209486166007904,0.526299504950495,0.0906559405940594
2,0,2155.0,866.0,1289.0,519.0,131.0,358.0,245.0,897.0,385.0,0.0,0.0,5.0,917.0,0.40185614849187934,0.5981438515081207,0.06078886310904873,0.2408352668213457,0.5993071593533488,0.4162412993039443,0.17865429234338748
2,1,3275.0,1320.0,1955.0,843.0,263.0,535.0,366.0,1343.0,602.0,0.0,0.0,8.0,1433.0,0.4030534351145038,0.5969465648854961,0.08030534351145038,0.25740458015267176,0.6386363636363637,0.4100763358778626,0.18381679389312977
2,2,2761.0,1425.0,1336.0,657.0,0.0,330.0,216.0,853.0,381.0,0.0,1569.0,9.0,1263.0,0.5161173487866715,0.4838826512133285,0.0,0.23795726186164434,0.4610526315789474,0.30894603404563564,0.13799348062296268
3,0,813.0,262.0,551.0,174.0,37.0,123.0,81.0,418.0,128.0,418.0,0.0,1.0,292.0,0.32226322263222634,0.6777367773677737,0.04551045510455105,0.2140221402214022,0.6641221374045801,0.5141451414514145,0.15744157441574416
3,1,1420.0,529.0,891.0,340.0,100.0,223.0,166.0,620.0,265.0,620.0,0.0,4.0,617.0,0.37253521126760564,0.6274647887323944,0.07042253521126761,0.23943661971830985,0.6427221172022685,0.43661971830985913,0.18661971830985916
3,2,1249.0,618.0,631.0,295.0,0.0,146.0,100.0,435.0,179.0,435.0,665.0,3.0,561.0,0.49479583666933546,0.5052041633306645,0.0,0.23618895116092875,0.4773462783171521,0.3482786228983187,0.1433146517213771
