balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,18204.0,8222.0,9982.0,3219.0,470.0,2673.0,1724.0,6900.0,3053.0,0.0,0.0,29.0,7515.0,0.45165897604921995,0.54834102395078,0.025818501428257527,0.17682926829268292,0.39151058136706396,0.3790375741595254,0.16771039332014942
0,1,8436.0,2265.0,6171.0,863.0,99.0,743.0,488.0,5249.0,856.0,0.0,0.0,66.0,2069.0,0.26849217638691325,0.7315078236130867,0.011735419630156473,0.10229966808914177,0.38101545253863134,0.6222143195827406,0.10146989094357516
0,2,2341.0,640.0,1701.0,183.0,0.0,126.0,88.0,1393.0,147.0,0.0,800.0,22.0,472.0,0.27338744126441694,0.7266125587355831,0.0,0.07817172148654421,0.2859375,0.5950448526270824,0.06279367791542076
1,0,6676.0,3081.0,3595.0,1203.0,160.0,1013.0,714.0,2431.0,1151.0,0.0,0.0,13.0,2724.0,0.4615038945476333,0.5384961054523667,0.02396644697423607,0.18019772318753743,0.3904576436222006,0.36414020371479927,0.17240862792091072
1,1,8185.0,3404.0,4781.0,1321.0,192.0,1090.0,718.0,3462.0,1293.0,0.0,0.0,26.0,3145.0,0.41588271227855833,0.5841172877214417,0.023457544288332317,0.16139279169211973,0.3880728554641598,0.42296884544899205,0.15797189981673793
1,2,4894.0,1668.0,3226.0,431.0,0.0,307.0,214.0,2503.0,405.0,0.0,2059.0,25.0,1308.0,0.3408255006129955,0.6591744993870045,0.0,0.08806702084184716,0.25839328537170264,0.5114425827543931,0.08275439313445035
2,0,2342.0,1079.0,1263.0,420.0,62.0,355.0,241.0,861.0,396.0,0.0,0.0,4.0,946.0,0.46071733561058925,0.5392826643894107,0.026473099914602904,0.17933390264731,0.38924930491195553,0.3676345004269855,0.1690862510674637
2,1,4414.0,1919.0,2495.0,780.0,97.0,663.0,455.0,1681.0,796.0,0.0,0.0,8.0,1809.0,0.43475305845038514,0.5652469415496149,0.021975532396918896,0.1767104666968736,0.4064616988014591,0.3808337109198006,0.1803352967829633
2,2,4431.0,2428.0,2003.0,611.0,0.0,448.0,285.0,1325.0,553.0,0.0,2651.0,7.0,1886.0,0.5479575716542541,0.4520424283457459,0.0,0.1378921236741142,0.25164744645799014,0.299029564432408,0.12480252764612954
3,0,830.0,298.0,532.0,122.0,19.0,100.0,68.0,380.0,144.0,380.0,0.0,2.0,293.0,0.35903614457831323,0.6409638554216868,0.02289156626506024,0.14698795180722893,0.40939597315436244,0.4578313253012048,0.17349397590361446
3,1,1952.0,840.0,1112.0,351.0,41.0,304.0,213.0,786.0,315.0,786.0,0.0,5.0,765.0,0.430327868852459,0.569672131147541,0.021004098360655737,0.17981557377049182,0.41785714285714287,0.4026639344262295,0.16137295081967212
3,2,2115.0,1175.0,940.0,336.0,0.0,245.0,182.0,603.0,311.0,603.0,1262.0,5.0,922.0,0.5555555555555556,0.4444444444444444,0.0,0.15886524822695036,0.28595744680851065,0.2851063829787234,0.1470449172576832
