balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,17543.0,7391.0,10152.0,3673.0,813.0,2691.0,1814.0,7068.0,3045.0,0.0,0.0,39.0,7370.0,0.4213076440745597,0.5786923559254403,0.04634327082027019,0.20937125919170038,0.49695575700175887,0.4028957418913527,0.17357350510175
0,1,7378.0,1857.0,5521.0,886.0,202.0,643.0,418.0,4642.0,824.0,0.0,0.0,55.0,1948.0,0.2516942260775278,0.7483057739224722,0.02737869341284901,0.12008674437516942,0.4771136241249327,0.6291677961507184,0.1116833830306316
0,2,1966.0,502.0,1464.0,176.0,0.0,89.0,67.0,1184.0,134.0,0.0,679.0,14.0,407.0,0.25534079348931843,0.7446592065106816,0.0,0.08952187182095625,0.350597609561753,0.602238046795524,0.0681586978636826
1,0,6519.0,2847.0,3672.0,1445.0,298.0,1091.0,758.0,2541.0,1117.0,0.0,0.0,14.0,2711.0,0.436723423838012,0.563276576161988,0.04571253259702408,0.221659763767449,0.507551808921672,0.38978370915784627,0.17134529835864395
1,1,6998.0,2757.0,4241.0,1383.0,299.0,1034.0,708.0,3088.0,1129.0,0.0,0.0,24.0,2766.0,0.3939697056301801,0.6060302943698199,0.04272649328379537,0.19762789368390968,0.5016322089227421,0.4412689339811375,0.16133180908831093
1,2,3841.0,1307.0,2534.0,477.0,0.0,266.0,170.0,1979.0,320.0,0.0,1578.0,18.0,1065.0,0.3402759697995314,0.6597240302004687,0.0,0.12418640978911742,0.36495791889824025,0.515230408747722,0.08331163759437646
2,0,2335.0,1021.0,1314.0,533.0,110.0,401.0,288.0,920.0,389.0,0.0,0.0,4.0,973.0,0.4372591006423983,0.5627408993576017,0.047109207708779445,0.22826552462526767,0.5220372184133203,0.39400428265524623,0.16659528907922913
2,1,3796.0,1596.0,2200.0,805.0,194.0,577.0,385.0,1488.0,701.0,0.0,0.0,4.0,1635.0,0.4204425711275026,0.5795574288724974,0.051106427818756586,0.21206533192834562,0.5043859649122807,0.39199157007376184,0.18466807165437302
2,2,3449.0,1863.0,1586.0,675.0,0.0,396.0,272.0,1064.0,410.0,0.0,1982.0,7.0,1507.0,0.5401565671209047,0.4598434328790954,0.0,0.19570890113076253,0.36231884057971014,0.30849521600463903,0.1188750362423891
3,0,842.0,298.0,544.0,159.0,34.0,116.0,83.0,380.0,155.0,380.0,0.0,3.0,312.0,0.35391923990498814,0.6460807600950119,0.040380047505938245,0.18883610451306412,0.5335570469798657,0.4513064133016627,0.1840855106888361
3,1,1685.0,636.0,1049.0,348.0,53.0,280.0,187.0,742.0,295.0,742.0,0.0,6.0,657.0,0.3774480712166172,0.6225519287833828,0.0314540059347181,0.20652818991097924,0.5471698113207547,0.4403560830860534,0.17507418397626112
3,2,1570.0,841.0,729.0,292.0,0.0,172.0,118.0,494.0,219.0,494.0,902.0,2.0,670.0,0.5356687898089172,0.4643312101910828,0.0,0.1859872611464968,0.34720570749108204,0.3146496815286624,0.1394904458598726
