balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,917.0,399.0,518.0,172.0,32.0,133.0,98.0,369.0,147.0,0.0,0.0,2.0,366.0,0.4351145038167939,0.5648854961832062,0.03489640130861505,0.1875681570338059,0.43107769423558895,0.40239912758996726,0.16030534351145037
0,1,401.0,92.0,309.0,43.0,8.0,33.0,24.0,264.0,40.0,0.0,0.0,5.0,94.0,0.22942643391521197,0.770573566084788,0.0199501246882793,0.10723192019950124,0.4673913043478261,0.6583541147132169,0.09975062344139651
0,2,96.0,24.0,72.0,11.0,0.0,9.0,7.0,60.0,6.0,0.0,24.0,3.0,18.0,0.25,0.75,0.0,0.11458333333333333,0.4583333333333333,0.625,0.0625
1,0,347.0,154.0,193.0,68.0,9.0,55.0,31.0,129.0,61.0,0.0,0.0,3.0,146.0,0.4438040345821326,0.5561959654178674,0.025936599423631124,0.19596541786743515,0.44155844155844154,0.37175792507204614,0.17579250720461095
1,1,404.0,170.0,234.0,75.0,8.0,65.0,36.0,167.0,66.0,0.0,0.0,1.0,164.0,0.4207920792079208,0.5792079207920792,0.019801980198019802,0.18564356435643564,0.4411764705882353,0.41336633663366334,0.16336633663366337
1,2,220.0,76.0,144.0,30.0,0.0,19.0,12.0,102.0,19.0,0.0,98.0,1.0,62.0,0.34545454545454546,0.6545454545454545,0.0,0.13636363636363635,0.39473684210526316,0.4636363636363636,0.08636363636363636
2,0,122.0,62.0,60.0,33.0,6.0,25.0,17.0,47.0,13.0,0.0,0.0,0.0,45.0,0.5081967213114754,0.4918032786885246,0.04918032786885246,0.27049180327868855,0.532258064516129,0.38524590163934425,0.10655737704918032
2,1,202.0,85.0,117.0,41.0,10.0,30.0,21.0,82.0,35.0,0.0,0.0,0.0,78.0,0.4207920792079208,0.5792079207920792,0.04950495049504951,0.20297029702970298,0.4823529411764706,0.40594059405940597,0.17326732673267325
2,2,183.0,91.0,92.0,34.0,0.0,26.0,14.0,62.0,26.0,0.0,95.0,0.0,81.0,0.4972677595628415,0.5027322404371585,0.0,0.18579234972677597,0.37362637362637363,0.33879781420765026,0.14207650273224043
3,0,46.0,26.0,20.0,13.0,3.0,9.0,8.0,13.0,5.0,13.0,0.0,0.0,17.0,0.5652173913043478,0.43478260869565216,0.06521739130434782,0.2826086956521739,0.5,0.2826086956521739,0.10869565217391304
3,1,98.0,44.0,54.0,19.0,5.0,12.0,6.0,41.0,11.0,41.0,0.0,0.0,33.0,0.4489795918367347,0.5510204081632653,0.05102040816326531,0.19387755102040816,0.4318181818181818,0.41836734693877553,0.11224489795918367
3,2,97.0,56.0,41.0,14.0,0.0,7.0,5.0,23.0,17.0,23.0,67.0,0.0,41.0,0.5773195876288659,0.422680412371134,0.0,0.14432989690721648,0.25,0.23711340206185566,0.17525773195876287
