balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,18454.0,8481.0,9973.0,2990.0,301.0,2623.0,1690.0,6897.0,3035.0,0.0,0.0,41.0,7558.0,0.4595751598569416,0.5404248401430584,0.016310826920992737,0.16202449333477836,0.35255276500412686,0.3737401105451393,0.16446298905386367
0,1,8771.0,2374.0,6397.0,846.0,82.0,743.0,466.0,5473.0,871.0,0.0,0.0,53.0,2119.0,0.27066469045718844,0.7293353095428116,0.009348990993045262,0.09645422414775966,0.35636057287278855,0.6239881427431307,0.09930452627978566
0,2,2472.0,675.0,1797.0,146.0,0.0,109.0,66.0,1470.0,161.0,0.0,878.0,15.0,496.0,0.27305825242718446,0.7269417475728155,0.0,0.05906148867313916,0.2162962962962963,0.5946601941747572,0.0651294498381877
1,0,6713.0,3127.0,3586.0,1160.0,117.0,1023.0,716.0,2439.0,1134.0,0.0,0.0,13.0,2769.0,0.4658126024132281,0.5341873975867719,0.017428869357962163,0.17279904662594964,0.3709625839462744,0.36332489200059587,0.1689259645464025
1,1,8497.0,3497.0,5000.0,1190.0,103.0,1057.0,667.0,3667.0,1305.0,0.0,0.0,28.0,3107.0,0.41155702012474993,0.5884429798752501,0.012121925385430152,0.14004942921030952,0.3402916785816414,0.4315640814405084,0.15358361774744028
1,2,5128.0,1730.0,3398.0,376.0,0.0,274.0,167.0,2615.0,454.0,0.0,2208.0,31.0,1385.0,0.3373634945397816,0.6626365054602185,0.0,0.07332293291731669,0.21734104046242775,0.5099453978159126,0.08853354134165367
2,0,2373.0,1099.0,1274.0,420.0,52.0,359.0,245.0,887.0,373.0,0.0,0.0,9.0,929.0,0.4631268436578171,0.5368731563421829,0.021913190054782976,0.17699115044247787,0.3821656050955414,0.37378845343447115,0.1571849978929625
2,1,4659.0,2059.0,2600.0,772.0,87.0,670.0,432.0,1738.0,841.0,0.0,0.0,9.0,1948.0,0.441940330543035,0.5580596694569651,0.018673535093367676,0.1657007941618373,0.37493929091792133,0.37304142519854044,0.18051083923588754
2,2,4735.0,2584.0,2151.0,601.0,0.0,474.0,306.0,1404.0,593.0,0.0,2844.0,13.0,1972.0,0.5457233368532207,0.4542766631467793,0.0,0.1269271383315734,0.23258513931888544,0.2965153115100317,0.1252375923970433
3,0,866.0,332.0,534.0,148.0,15.0,130.0,97.0,392.0,132.0,392.0,0.0,5.0,307.0,0.3833718244803695,0.6166281755196305,0.017321016166281754,0.17090069284064666,0.4457831325301205,0.45265588914549654,0.15242494226327943
3,1,2010.0,816.0,1194.0,328.0,37.0,282.0,210.0,843.0,342.0,843.0,0.0,5.0,744.0,0.4059701492537313,0.5940298507462687,0.018407960199004977,0.16318407960199005,0.4019607843137255,0.41940298507462687,0.1701492537313433
3,2,2217.0,1205.0,1012.0,276.0,0.0,221.0,137.0,695.0,288.0,695.0,1300.0,1.0,879.0,0.5435272891294542,0.4564727108705458,0.0,0.12449255751014884,0.22904564315352696,0.3134866937302661,0.12990527740189445
