balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,18571.0,9675.0,8896.0,5038.0,249.0,4789.0,2056.0,6778.0,2118.0,0.0,0.0,0.0,5438.0,0.5209735609283291,0.47902643907167086,0.013408001723116687,0.2712831834580798,0.5207235142118863,0.36497765333046145,0.11404878574120941
0,1,7478.0,4266.0,3212.0,2097.0,102.0,1995.0,854.0,2454.0,758.0,0.0,0.0,0.0,2204.0,0.5704733886065793,0.4295266113934207,0.013640010698047607,0.2804225728804493,0.49156118143459915,0.32816261032361593,0.10136400106980475
0,2,3207.0,2180.0,1027.0,884.0,0.0,884.0,244.0,791.0,236.0,0.0,1748.0,0.0,969.0,0.679763018397256,0.320236981602744,0.0,0.2756470221390708,0.4055045871559633,0.24664795759276584,0.07358902400997817
1,0,6639.0,3752.0,2887.0,1934.0,87.0,1847.0,863.0,2226.0,661.0,0.0,0.0,0.0,1913.0,0.5651453532158458,0.43485464678415425,0.013104383190239493,0.29130893206808256,0.5154584221748401,0.3352914595571622,0.09956318722699202
1,1,5125.0,2967.0,2158.0,1501.0,67.0,1434.0,628.0,1685.0,473.0,0.0,0.0,0.0,1470.0,0.5789268292682926,0.4210731707317073,0.013073170731707317,0.2928780487804878,0.5058982136838558,0.32878048780487806,0.09229268292682927
1,2,2896.0,1976.0,920.0,824.0,0.0,824.0,232.0,736.0,184.0,0.0,1550.0,0.0,894.0,0.6823204419889503,0.31767955801104975,0.0,0.2845303867403315,0.41700404858299595,0.2541436464088398,0.06353591160220995
2,0,2166.0,1251.0,915.0,664.0,32.0,632.0,284.0,737.0,178.0,0.0,0.0,0.0,597.0,0.5775623268698061,0.4224376731301939,0.014773776546629732,0.30655586334256696,0.530775379696243,0.34025854108956605,0.08217913204062789
2,1,2482.0,1154.0,1328.0,636.0,21.0,615.0,266.0,1130.0,198.0,0.0,0.0,0.0,687.0,0.4649476228847704,0.5350523771152297,0.008460918614020952,0.25624496373892025,0.5511265164644714,0.45527800161160353,0.07977437550362611
2,2,1907.0,1007.0,900.0,468.0,0.0,468.0,119.0,785.0,115.0,0.0,1152.0,0.0,529.0,0.5280545359202936,0.47194546407970633,0.0,0.2454116413214473,0.464746772591857,0.4116413214472994,0.060304142632406924
3,0,714.0,151.0,563.0,136.0,6.0,130.0,41.0,515.0,48.0,221.0,0.0,0.0,199.0,0.211484593837535,0.788515406162465,0.008403361344537815,0.19047619047619047,0.9006622516556292,0.7212885154061625,0.06722689075630252
3,1,1204.0,558.0,646.0,327.0,10.0,317.0,140.0,558.0,88.0,345.0,0.0,0.0,328.0,0.4634551495016611,0.5365448504983389,0.008305647840531562,0.27159468438538203,0.5860215053763441,0.4634551495016611,0.07308970099667775
3,2,1073.0,671.0,402.0,295.0,0.0,295.0,90.0,354.0,48.0,229.0,631.0,0.0,301.0,0.625349487418453,0.3746505125815471,0.0,0.2749301025163094,0.4396423248882265,0.3299161230195713,0.04473438956197577
