balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,637.0,191.0,446.0,140.0,43.0,78.0,58.0,232.0,85.0,0.0,0.0,1.0,213.0,0.29984301412872844,0.7001569858712716,0.06750392464678179,0.21978021978021978,0.7329842931937173,0.3642072213500785,0.13343799058084774
0,1,310.0,56.0,254.0,53.0,15.0,25.0,16.0,121.0,20.0,0.0,0.0,1.0,61.0,0.18064516129032257,0.8193548387096774,0.04838709677419355,0.17096774193548386,0.9464285714285714,0.3903225806451613,0.06451612903225806
0,2,153.0,18.0,135.0,13.0,0.0,3.0,3.0,57.0,8.0,0.0,92.0,1.0,19.0,0.11764705882352941,0.8823529411764706,0.0,0.08496732026143791,0.7222222222222222,0.37254901960784315,0.05228758169934641
1,0,201.0,60.0,141.0,48.0,19.0,20.0,14.0,83.0,20.0,0.0,0.0,0.0,62.0,0.29850746268656714,0.7014925373134329,0.0945273631840796,0.23880597014925373,0.8,0.4129353233830846,0.09950248756218906
1,1,194.0,56.0,138.0,46.0,15.0,23.0,18.0,63.0,27.0,0.0,0.0,0.0,64.0,0.28865979381443296,0.711340206185567,0.07731958762886598,0.23711340206185566,0.8214285714285714,0.3247422680412371,0.13917525773195877
1,2,150.0,39.0,111.0,27.0,0.0,5.0,2.0,47.0,10.0,0.0,98.0,0.0,36.0,0.26,0.74,0.0,0.18,0.6923076923076923,0.31333333333333335,0.06666666666666667
2,0,74.0,25.0,49.0,22.0,9.0,9.0,4.0,24.0,10.0,0.0,0.0,0.0,30.0,0.33783783783783783,0.6621621621621622,0.12162162162162163,0.2972972972972973,0.88,0.32432432432432434,0.13513513513513514
2,1,86.0,26.0,60.0,24.0,7.0,12.0,9.0,29.0,16.0,0.0,0.0,0.0,30.0,0.3023255813953488,0.6976744186046512,0.08139534883720931,0.27906976744186046,0.9230769230769231,0.3372093023255814,0.18604651162790697
2,2,83.0,37.0,46.0,17.0,0.0,4.0,3.0,20.0,10.0,0.0,59.0,0.0,28.0,0.4457831325301205,0.5542168674698795,0.0,0.20481927710843373,0.4594594594594595,0.24096385542168675,0.12048192771084337
3,0,23.0,7.0,16.0,8.0,1.0,4.0,2.0,6.0,4.0,6.0,0.0,0.0,9.0,0.30434782608695654,0.6956521739130435,0.043478260869565216,0.34782608695652173,1.1428571428571428,0.2608695652173913,0.17391304347826086
3,1,38.0,19.0,19.0,18.0,2.0,9.0,6.0,3.0,5.0,3.0,0.0,0.0,11.0,0.5,0.5,0.05263157894736842,0.47368421052631576,0.9473684210526315,0.07894736842105263,0.13157894736842105
3,2,35.0,17.0,18.0,8.0,0.0,0.0,0.0,5.0,6.0,5.0,30.0,0.0,18.0,0.4857142857142857,0.5142857142857142,0.0,0.22857142857142856,0.47058823529411764,0.14285714285714285,0.17142857142857143
