balls,strikes,samples,avg_base_lookup,avg_base_raw,avg_scale,avg_count_adjust,avg_close_ball_bonus,avg_discipline_adjust,avg_discipline_bias,avg_discipline_logit_offset,avg_close_strike_mix,avg_penalty_source,avg_penalty_factor,avg_penalty_floor,avg_penalty_delta,avg_penalty_multiplier,avg_location_adjust,avg_take_bonus,avg_pre_two_strike,avg_two_strike_bonus,avg_final,avg_discipline,avg_discipline_raw,avg_discipline_raw_scaled,avg_discipline_norm,avg_discipline_clamped,avg_discipline_logit,avg_discipline_pct,avg_discipline_penalty,pitch_kind_sure_strike_pct,pitch_kind_close_strike_pct,pitch_kind_close_ball_pct,pitch_kind_sure_ball_pct
0,0,13807,0.7714909272108442,0.3183052075034141,6.5115368291439,0.0012000000000003477,0.0,0.003874025060291432,0.4201308969679088,0.0,0.001470268704280438,0.9201308969678295,0.849708921721987,0.0,-0.14386025036398686,0.771854856232346,0.0,-0.08334902585645679,0.549249642879127,0.0,0.549249642879127,1.0,181.67201419569784,159.87137249221095,1.598713724922147,1.0,0.9201308969678295,1.0,0.7199999999999535,0.5437097124646918,0.0042007677265155354,0.08836097631636126,0.3637285434924314
0,1,6510,0.8593380030721786,0.24291551459292932,8.976026129033254,0.0,0.0,-0.009593321132901149,0.29465456931110123,0.0,0.0006989247311827957,0.7946545693110663,0.8103149368119728,0.0,-0.18392240034377663,0.667741935483871,0.0,-0.12256221198157338,0.5432600696139472,0.0,0.5432600696139472,1.0,156.54170506912442,137.756700460829,1.3775670046083004,1.0,0.7946545693110663,1.0,0.7199999999999551,0.33548387096774196,0.0019969278033794163,0.12427035330261137,0.5382488479262673
0,2,3176,0.8875285440806044,0.21972292191437043,9.771946095718308,0.000799999999999953,0.0,-0.005548122024531677,0.11718988312581315,0.0,0.0008816120906801008,0.6171898831258054,0.8372743651211518,0.0,-0.16063568787187674,0.6335012594458438,0.0,-0.11675062972291798,0.6052767241086355,0.06000000000000179,0.6652767241086232,1.0,136.17679471032744,119.83557934508933,1.198355793450889,1.0,0.6171898831258054,1.0,0.7200000000000004,0.26700251889168763,0.0025188916876574307,0.14672544080604533,0.5837531486146096
1,0,4655,0.7665057203007666,0.321538131041893,6.379508571428543,-0.003999999999999905,0.0,0.005204698349111755,0.45703496524737225,0.0,0.002180451127819548,0.9570349652473615,0.8473627433053663,0.05000000000000401,-0.14466823782333102,0.7764769065520946,0.0,-0.08163265306122229,0.5414095277653114,0.0,0.5414095277653114,1.0,196.76283566058,173.15129538131166,1.7315129538131366,1.0,0.9570349652473615,1.0,0.7199999999999367,0.552953813104189,0.006229860365198711,0.08163265306122448,0.35918367346938773
1,1,4371,0.7696668405399338,0.31901624342256274,6.4711225120109725,0.0,0.0,0.002143604046914351,0.21744375551911133,0.0,0.0024021962937542884,0.717443755519121,0.8835312399800876,0.050000000000003535,-0.1135266379762184,0.7722489132921528,0.0,-0.08284603065659824,0.5754377759540225,0.0,0.5754377759540225,1.0,146.75394646533974,129.14347288950052,1.2914347288949863,1.0,0.717443755519121,1.0,0.7199999999999456,0.5444978265843057,0.0068634179821551134,0.08602150537634409,0.36261725005719514
1,2,3008,0.8246770638297812,0.27212101063831134,8.010987666223553,0.000599999999999981,0.0,-0.002113757174061737,0.12107678758547563,0.0,0.0016289893617021274,0.6210767875854682,0.869686654683001,0.04999999999999998,-0.12845608704762496,0.7076130319148937,0.0,-0.09414893617021027,0.600492658437883,0.06000000000000176,0.6604926584378841,1.0,136.55718085106383,120.17031914893731,1.20170319148937,1.0,0.6210767875854682,1.0,0.7200000000000115,0.4152260638297872,0.004654255319148936,0.109375,0.47074468085106386
2,0,1612,0.7683294292803914,0.3199007444168818,6.433301612903281,-0.0034999999999999003,0.0,0.004351806833307026,0.42025946038389483,0.0,0.0023883374689826304,0.920259460383888,0.8515829514159612,0.19999999999999396,-0.1412421994247553,0.7738833746898263,0.0,-0.0824317617866012,0.54550727490235,0.0,0.54550727490235,1.0,181.73666253101737,159.9282630272948,1.5992826302729481,1.0,0.920259460383888,1.0,0.720000000000021,0.5477667493796526,0.006823821339950372,0.08312655086848635,0.36228287841191065
2,1,1996,0.7502885771542938,0.33486973947896886,5.934338476953974,-0.0019999999999998908,0.0,0.004726077095044495,0.2583540447065331,0.0,0.0031563126252505,0.7583540447065199,0.8889300644313144,0.19999999999999293,-0.10744421676024961,0.7940881763527055,0.0,-0.074549098196393,0.5710213392927092,0.0,0.5710213392927092,1.0,151.69113226452905,133.48819639278472,1.33488196392787,1.0,0.7583540447065199,1.0,0.7200000000000222,0.5881763527054108,0.009018036072144289,0.07515030060120241,0.3276553106212425
2,2,1650,0.7027895078787854,0.375151515151525,4.609644000000068,0.0003999999999999955,0.0,0.009149986906207632,0.2171265980530816,0.0,0.004242424242424241,0.7171265980530781,0.9244780978725269,0.19999999999999382,-0.07330376014396885,0.8490909090909091,0.0,-0.04678787878787913,0.5922255528228411,0.06000000000000135,0.6522255528228468,1.0,146.71727272727273,129.111200000001,1.2911119999999932,1.0,0.7171265980530781,1.0,0.7200000000000211,0.6981818181818182,0.012121212121212121,0.055757575757575756,0.23393939393939395
3,0,602,0.7302605182724307,0.3549169435215913,5.360640697674443,-0.004000000000000003,0.0,0.0,0.0,0.0,0.002325581395348837,0.5,1.0,0.34999999999999637,0.0,0.8197674418604651,0.0,-0.06398671096345515,0.6622738073089646,0.0,0.6622738073089646,0.5,171.85548172757476,151.23282392026567,1.5123282392026582,0.5,0.5,1.0,0.7200000000000105,0.6395348837209303,0.006644518272425249,0.08471760797342193,0.2691029900332226
3,1,989,0.7660779939332714,0.31961577350859527,6.391737209302374,0.0034999999999999407,0.0,0.0,0.0,0.0,0.004246713852376138,0.5,1.0,0.350000000000003,0.0,0.7730030333670375,0.0,-0.08238624873609765,0.686929864509605,0.0,0.686929864509605,0.5,91.89079878665318,80.8639029322547,0.8086390293225475,0.5,0.5,1.0,0.7200000000000171,0.5460060667340748,0.012133468149646108,0.07482305358948432,0.36703741152679475
3,2,937,0.7112371910352251,0.3673852721451461,4.841552401280726,0.004000000000000003,0.0,0.0,0.0,0.0,0.0037353255069370334,0.5,1.0,0.4499999999999927,0.0,0.83991462113127,0.0,-0.051440768409818725,0.6635872443970051,0.06000000000000066,0.7204495709711755,0.5,86.72625400213447,76.31910352187805,0.7631910352187825,0.5,0.5,1.0,0.7200000000000165,0.67982924226254,0.010672358591248666,0.052294557097118465,0.25720384204909286
