balls,strikes,samples,avg_base_lookup,avg_base_raw,avg_scale,avg_count_adjust,avg_close_ball_bonus,avg_discipline_adjust,avg_discipline_bias,avg_discipline_logit_offset,avg_close_strike_mix,avg_penalty_source,avg_penalty_factor,avg_penalty_floor,avg_penalty_delta,avg_penalty_multiplier,avg_location_adjust,avg_take_bonus,avg_pre_two_strike,avg_two_strike_bonus,avg_final,avg_discipline,avg_discipline_raw,avg_discipline_raw_scaled,avg_discipline_norm,avg_discipline_clamped,avg_discipline_logit,avg_discipline_pct,avg_discipline_penalty,pitch_kind_sure_strike_pct,pitch_kind_close_strike_pct,pitch_kind_close_ball_pct,pitch_kind_sure_ball_pct
0,0,756,0.7612219259259311,0.3286243386243347,6.205116666666703,-0.0034999999999999728,0.0,0.006187305531234779,0.4209257243459541,0.0,0.0,0.9209257243459579,0.8587038529072839,0.0,-0.13483695017210565,0.7870370370370371,0.0,-0.07820105820105848,0.5508712230839958,0.0,0.5508712230839958,1.0,181.93849206349208,160.1058730158729,1.6010587301587231,1.0,0.9209257243459579,1.0,0.7200000000000139,0.5740740740740741,0.0,0.0873015873015873,0.3386243386243386
0,1,341,0.8658270967741954,0.24017595307917836,9.150532258064523,0.0,0.0,-0.010151279148689268,0.2952164129049645,0.0,0.0,0.7952164129049649,0.806653259338498,0.0,-0.18760695811408928,0.6612903225806451,0.0,-0.12375366568914967,0.5443151938222646,0.0,0.5443151938222646,1.0,156.6656891495601,137.86580645161288,1.3786580645161286,1.0,0.7952164129049649,1.0,0.7199999999999991,0.3225806451612903,0.0,0.1466275659824047,0.530791788856305
0,2,153,0.8848671372549017,0.21843137254901995,9.713523529411752,0.0007999999999999981,0.0,-0.006696201916257387,0.11967276580610849,0.0,0.002287581699346405,0.6196727658061084,0.835405738705637,0.0,-0.16217530093388538,0.6339869281045751,0.0,-0.12026143790849651,0.5964348500910334,0.059999999999999915,0.6564348500910336,1.0,136.45098039215685,120.07686274509793,1.2007686274509808,1.0,0.6196727658061084,1.0,0.7199999999999992,0.2679738562091503,0.006535947712418301,0.12418300653594772,0.6013071895424836
1,0,229,0.7680528209606998,0.3222707423580782,6.433365065502171,-0.004000000000000003,0.0,0.004636678645587582,0.4574167566951415,0.0,0.003056768558951965,0.9574167566951417,0.8452861145272379,0.05000000000000012,-0.14647126087986062,0.7729257641921398,0.0,-0.08069868995633174,0.5415195487700937,0.0,0.5415195487700937,1.0,196.97379912663754,173.3369432314409,1.7333694323144115,1.0,0.9574167566951417,1.0,0.7199999999999991,0.5458515283842795,0.008733624454148471,0.10480349344978165,0.3406113537117904
1,1,195,0.7710196512820519,0.3177435897435893,6.502079999999992,0.0,0.0,0.002093247466609214,0.22237267956636664,0.0,0.0017948717948717947,0.7223726795663666,0.8821869169641052,0.05000000000000002,-0.1148839969526972,0.7717948717948718,0.0,-0.08369230769230755,0.5745365941036554,0.0,0.5745365941036554,1.0,147.3,129.62399999999977,1.296239999999999,1.0,0.7223726795663666,1.0,0.7199999999999992,0.5435897435897435,0.005128205128205128,0.08205128205128205,0.36923076923076925
1,2,118,0.8272808135593217,0.27101694915254276,8.065166949152541,0.0006000000000000018,0.0,-0.002557745183784598,0.1276833478636697,0.0,0.0,0.62768334786367,0.8671588187655916,0.04999999999999989,-0.1310338821714408,0.7076271186440678,0.0,-0.09491525423728807,0.599307830271893,0.05999999999999986,0.6593078302718928,1.0,137.21610169491527,120.75016949152537,1.2075016949152542,1.0,0.62768334786367,1.0,0.7199999999999992,0.4152542372881356,0.0,0.11016949152542373,0.4745762711864407
2,0,76,0.731830736842105,0.35605263157894773,5.377535526315784,-0.0035000000000000022,0.0,0.01207871216425543,0.4179772843336556,0.0,0.0,0.9179772843336556,0.882558402294549,0.1999999999999997,-0.11211057800652358,0.8223684210526315,0.0,-0.06368421052631583,0.5646146604735213,0.0,0.5646146604735213,1.0,181.07236842105263,159.3436842105263,1.5934368421052632,1.0,0.9179772843336556,1.0,0.7199999999999993,0.6447368421052632,0.0,0.09210526315789473,0.2631578947368421
2,1,95,0.735766568421052,0.3463157894736846,5.531636842105254,-0.0020000000000000013,0.0,0.007123075558393919,0.26514597982558674,0.0,0.0036842105263157894,0.7651459798255869,0.8981163122680824,0.19999999999999962,-0.09843090894272083,0.8105263157894737,0.0,-0.06863157894736846,0.5738271560893574,0.0,0.5738271560893574,1.0,152.56842105263158,134.26021052631583,1.3426021052631585,1.0,0.7651459798255869,1.0,0.7199999999999993,0.6210526315789474,0.010526315789473684,0.06315789473684211,0.30526315789473685
2,2,70,0.6948749714285712,0.383714285714286,4.395689999999999,0.0004000000000000003,0.0,0.009631946385539037,0.21924425898383823,0.0,0.005,0.7192442589838383,0.9281163940197363,0.19999999999999973,-0.06965900738711105,0.8571428571428571,0.0,-0.04,0.5952193389984278,0.060000000000000026,0.6552193389984278,1.0,146.97857142857143,129.34114285714287,1.2934114285714282,1.0,0.7192442589838383,1.0,0.7199999999999994,0.7142857142857143,0.014285714285714285,0.07142857142857142,0.2
3,0,20,0.7712351999999999,0.3209999999999999,6.487064999999999,-0.004000000000000002,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.34999999999999987,0.0,0.775,0.0,-0.08199999999999999,0.6852351999999999,0.0,0.6852351999999999,0.5,172.3,151.62399999999997,1.5162399999999998,0.5,0.5,1.0,0.7200000000000002,0.55,0.0,0.1,0.35
