balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,756.0,230.0,526.0,182.0,59.0,89.0,58.0,263.0,91.0,0.0,0.0,36.0,243.0,0.30423280423280424,0.6957671957671958,0.07804232804232804,0.24074074074074073,0.7913043478260869,0.3478835978835979,0.12037037037037036
0,1,341.0,58.0,283.0,66.0,17.0,28.0,17.0,122.0,22.0,0.0,0.0,31.0,70.0,0.17008797653958943,0.8299120234604106,0.04985337243401759,0.1935483870967742,1.1379310344827587,0.35777126099706746,0.06451612903225806
0,2,153.0,22.0,131.0,26.0,0.0,2.0,1.0,33.0,13.0,0.0,103.0,15.0,29.0,0.1437908496732026,0.8562091503267973,0.0,0.16993464052287582,1.1818181818181819,0.21568627450980393,0.08496732026143791
1,0,229.0,60.0,169.0,52.0,12.0,26.0,22.0,86.0,31.0,0.0,0.0,13.0,71.0,0.26200873362445415,0.7379912663755459,0.05240174672489083,0.22707423580786026,0.8666666666666667,0.37554585152838427,0.13537117903930132
1,1,195.0,53.0,142.0,39.0,11.0,22.0,16.0,70.0,18.0,0.0,0.0,10.0,53.0,0.2717948717948718,0.7282051282051282,0.05641025641025641,0.2,0.7358490566037735,0.358974358974359,0.09230769230769231
1,2,118.0,27.0,91.0,21.0,0.0,5.0,5.0,37.0,9.0,0.0,73.0,3.0,26.0,0.2288135593220339,0.7711864406779662,0.0,0.17796610169491525,0.7777777777777778,0.3135593220338983,0.07627118644067797
2,0,76.0,32.0,44.0,28.0,12.0,13.0,7.0,20.0,8.0,0.0,0.0,3.0,32.0,0.42105263157894735,0.5789473684210527,0.15789473684210525,0.3684210526315789,0.875,0.2631578947368421,0.10526315789473684
2,1,95.0,26.0,69.0,21.0,7.0,11.0,6.0,35.0,17.0,0.0,0.0,3.0,35.0,0.2736842105263158,0.7263157894736842,0.07368421052631578,0.22105263157894736,0.8076923076923077,0.3684210526315789,0.17894736842105263
2,2,70.0,28.0,42.0,20.0,0.0,4.0,2.0,19.0,9.0,0.0,44.0,3.0,32.0,0.4,0.6,0.0,0.2857142857142857,0.7142857142857143,0.2714285714285714,0.12857142857142856
3,0,20.0,7.0,13.0,5.0,3.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,6.0,0.35,0.65,0.15,0.25,0.7142857142857143,0.1,0.15
3,1,40.0,17.0,23.0,12.0,1.0,8.0,6.0,7.0,4.0,7.0,0.0,4.0,10.0,0.425,0.575,0.025,0.3,0.7058823529411765,0.175,0.1
3,2,34.0,16.0,18.0,9.0,0.0,1.0,1.0,9.0,5.0,9.0,24.0,0.0,12.0,0.47058823529411764,0.5294117647058824,0.0,0.2647058823529412,0.5625,0.2647058823529412,0.14705882352941177
