balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,14856.0,4391.0,10465.0,3431.0,1121.0,1660.0,1095.0,5262.0,1827.0,0.0,0.0,597.0,4829.0,0.29557081313947225,0.7044291868605277,0.07545772751750135,0.2309504577275175,0.7813709861079481,0.35420032310177707,0.12298061389337642
0,1,6839.0,1161.0,5678.0,1086.0,291.0,443.0,277.0,2602.0,537.0,0.0,0.0,392.0,1360.0,0.1697616610615587,0.8302383389384413,0.042550080421114196,0.1587951454891066,0.9354005167958657,0.380464980260272,0.07852025149875713
0,2,3185.0,482.0,2703.0,437.0,0.0,84.0,53.0,872.0,180.0,0.0,2016.0,213.0,499.0,0.15133437990580847,0.8486656200941916,0.0,0.13720565149136577,0.9066390041493776,0.2737833594976452,0.0565149136577708
1,0,4692.0,1363.0,3329.0,1119.0,316.0,589.0,381.0,1708.0,593.0,0.0,0.0,182.0,1555.0,0.2904944586530264,0.7095055413469735,0.06734867860187553,0.23849104859335038,0.8209831254585473,0.3640238704177323,0.126385336743393
1,1,4287.0,1197.0,3090.0,967.0,322.0,466.0,307.0,1393.0,577.0,0.0,0.0,201.0,1436.0,0.27921623512946114,0.7207837648705389,0.07511080009330534,0.22556566363424305,0.8078529657477026,0.3249358525775601,0.13459295544669933
1,2,2834.0,681.0,2153.0,481.0,0.0,131.0,94.0,748.0,221.0,0.0,1812.0,143.0,706.0,0.24029640084685958,0.7597035991531405,0.0,0.16972477064220184,0.7063142437591777,0.2639378969654199,0.0779816513761468
2,0,1522.0,456.0,1066.0,348.0,100.0,190.0,136.0,543.0,182.0,0.0,0.0,71.0,466.0,0.2996057818659658,0.7003942181340341,0.0657030223390276,0.22864651773981604,0.7631578947368421,0.3567674113009198,0.11957950065703023
2,1,1867.0,544.0,1323.0,436.0,143.0,228.0,155.0,617.0,265.0,0.0,0.0,77.0,634.0,0.29137653990358864,0.7086234600964113,0.07659346545259775,0.23352972683449383,0.8014705882352942,0.3304767005891805,0.14193893947509373
2,2,1469.0,605.0,864.0,384.0,0.0,132.0,94.0,371.0,201.0,0.0,929.0,37.0,618.0,0.4118447923757658,0.5881552076242341,0.0,0.2614023144996596,0.6347107438016529,0.25255275697753576,0.13682777399591559
3,0,476.0,185.0,291.0,122.0,36.0,69.0,48.0,106.0,87.0,106.0,0.0,17.0,187.0,0.38865546218487396,0.6113445378151261,0.07563025210084033,0.25630252100840334,0.6594594594594595,0.22268907563025211,0.18277310924369747
3,1,782.0,354.0,428.0,227.0,55.0,150.0,108.0,188.0,97.0,188.0,0.0,27.0,250.0,0.45268542199488493,0.5473145780051151,0.07033248081841433,0.29028132992327366,0.6412429378531074,0.24040920716112532,0.12404092071611253
3,2,666.0,357.0,309.0,177.0,0.0,78.0,60.0,125.0,96.0,125.0,453.0,10.0,271.0,0.536036036036036,0.46396396396396394,0.0,0.26576576576576577,0.4957983193277311,0.18768768768768768,0.14414414414414414
