date,home,away,result,played,boxscore
2027-04-01,ALB,LOS,3-2,1,
2027-04-01,DEN,LAS,3-4,1,
2027-04-01,ELP,SAN,5-2,1,
2027-04-01,HOU,CHA,1-11,1,
2027-04-01,LOU,MEM,7-6,1,
2027-04-01,OKL,COL,11-0,1,
2027-04-01,WAS,NEW,5-3,1,
2027-04-02,ALB,LOS,2-5,1,
2027-04-02,DEN,LAS,4-5,1,
2027-04-02,ELP,SAN,6-10,1,
2027-04-02,HOU,CHA,5-3,1,
2027-04-02,LOU,MEM,3-2,1,
2027-04-02,OKL,COL,6-3,1,
2027-04-02,WAS,NEW,0-4,1,
2027-04-03,ALB,LOS,2-1,1,
2027-04-03,DEN,LAS,5-6,1,
2027-04-03,ELP,SAN,6-8,1,
2027-04-03,HOU,CHA,3-8,1,
2027-04-03,LOU,MEM,7-6,1,
2027-04-03,OKL,COL,4-3,1,
2027-04-03,WAS,NEW,4-3,1,
2027-04-04,ALB,LOS,3-7,1,
2027-04-04,DEN,LAS,2-6,1,
2027-04-04,ELP,SAN,4-6,1,
2027-04-04,HOU,CHA,3-12,1,
2027-04-04,LOU,MEM,0-4,1,
2027-04-04,OKL,COL,3-2,1,
2027-04-04,WAS,NEW,4-10,1,
2027-04-06,CHA,WAS,8-1,1,
2027-04-06,COL,HOU,14-3,1,
2027-04-06,ELP,DEN,7-13,1,
2027-04-06,LAS,LOU,5-2,1,
2027-04-06,LOS,SAN,9-8,1,
2027-04-06,MEM,OKL,5-4,1,
2027-04-06,NEW,ALB,4-1,1,
2027-04-07,CHA,WAS,2-3,1,
2027-04-07,COL,HOU,2-1,1,
2027-04-07,ELP,DEN,2-4,1,
2027-04-07,LAS,LOU,0-5,1,
2027-04-07,LOS,SAN,1-6,1,
2027-04-07,MEM,OKL,6-4,1,
2027-04-07,NEW,ALB,6-4,1,
2027-04-08,CHA,WAS,5-2,1,
2027-04-08,COL,HOU,6-9,1,
2027-04-08,ELP,DEN,4-6,1,
2027-04-08,LAS,LOU,3-6,1,
2027-04-08,LOS,SAN,6-4,1,
2027-04-08,MEM,OKL,4-3,1,
2027-04-08,NEW,ALB,9-4,1,
2027-04-10,ALB,NEW,6-4,1,
2027-04-10,DEN,ELP,4-5,1,
2027-04-10,HOU,COL,4-10,1,
2027-04-10,LOU,LAS,0-5,1,
2027-04-10,OKL,MEM,5-6,1,
2027-04-10,SAN,LOS,6-11,1,
2027-04-10,WAS,CHA,3-5,1,
2027-04-11,ALB,NEW,2-3,1,
2027-04-11,DEN,ELP,2-5,1,
2027-04-11,HOU,COL,5-4,1,
2027-04-11,LOU,LAS,6-9,1,
2027-04-11,OKL,MEM,2-3,1,
2027-04-11,SAN,LOS,7-11,1,
2027-04-11,WAS,CHA,1-5,1,
2027-04-12,ALB,NEW,1-0,1,
2027-04-12,DEN,ELP,5-2,1,
2027-04-12,HOU,COL,6-5,1,
2027-04-12,LOU,LAS,8-1,1,
2027-04-12,OKL,MEM,0-12,1,
2027-04-12,SAN,LOS,5-3,1,
2027-04-12,WAS,CHA,10-3,1,
2027-04-13,ALB,NEW,2-10,1,
2027-04-13,DEN,ELP,9-4,1,
2027-04-13,HOU,COL,4-3,1,
2027-04-13,LOU,LAS,1-2,1,
2027-04-13,OKL,MEM,5-3,1,
2027-04-13,SAN,LOS,3-2,1,
2027-04-13,WAS,CHA,2-6,1,
2027-04-15,CHA,ALB,7-3,1,
2027-04-15,COL,WAS,2-4,1,
2027-04-15,DEN,LOU,5-3,1,
2027-04-15,LAS,OKL,0-3,1,
2027-04-15,LOS,ELP,2-0,1,
2027-04-15,MEM,HOU,4-2,1,
2027-04-15,NEW,SAN,8-6,1,
2027-04-16,CHA,ALB,9-3,1,
2027-04-16,COL,WAS,4-3,1,
2027-04-16,DEN,LOU,7-5,1,
2027-04-16,LAS,OKL,2-0,1,
2027-04-16,LOS,ELP,6-5,1,
2027-04-16,MEM,HOU,9-3,1,
2027-04-16,NEW,SAN,5-3,1,
2027-04-17,CHA,ALB,5-3,1,
2027-04-17,COL,WAS,3-1,1,
2027-04-17,DEN,LOU,3-1,1,
2027-04-17,LAS,OKL,4-3,1,
2027-04-17,LOS,ELP,1-11,1,
2027-04-17,MEM,HOU,8-1,1,
2027-04-17,NEW,SAN,10-7,1,
2027-04-19,ALB,CHA,6-2,1,
2027-04-19,ELP,LOS,6-5,1,
2027-04-19,HOU,MEM,3-4,1,
2027-04-19,LOU,DEN,8-6,1,
2027-04-19,OKL,LAS,3-1,1,
2027-04-19,SAN,NEW,1-4,1,
2027-04-19,WAS,COL,1-2,1,
2027-04-20,ALB,CHA,2-6,1,
2027-04-20,ELP,LOS,4-2,1,
2027-04-20,HOU,MEM,3-2,1,
2027-04-20,LOU,DEN,6-4,1,
2027-04-20,OKL,LAS,0-1,1,
2027-04-20,SAN,NEW,4-3,1,
2027-04-20,WAS,COL,7-10,1,
2027-04-21,ALB,CHA,3-2,1,
2027-04-21,ELP,LOS,2-3,1,
2027-04-21,HOU,MEM,10-4,1,
2027-04-21,LOU,DEN,3-6,1,
2027-04-21,OKL,LAS,8-4,1,
2027-04-21,SAN,NEW,4-2,1,
2027-04-21,WAS,COL,5-4,1,
2027-04-22,ALB,CHA,7-4,1,
2027-04-22,ELP,LOS,5-7,1,
2027-04-22,HOU,MEM,10-4,1,
2027-04-22,LOU,DEN,5-10,1,
2027-04-22,OKL,LAS,7-0,1,
2027-04-22,SAN,NEW,1-0,1,
2027-04-22,WAS,COL,6-3,1,
2027-04-24,CHA,SAN,5-1,1,
2027-04-24,COL,ALB,4-8,1,
2027-04-24,DEN,OKL,1-6,1,
2027-04-24,ELP,LOU,2-5,1,
2027-04-24,LAS,HOU,5-3,1,
2027-04-24,MEM,WAS,1-2,1,
2027-04-24,NEW,LOS,12-1,1,
2027-04-25,CHA,SAN,6-0,1,
2027-04-25,COL,ALB,5-7,1,
2027-04-25,DEN,OKL,8-6,1,
2027-04-25,ELP,LOU,6-1,1,
2027-04-25,LAS,HOU,3-1,1,
2027-04-25,MEM,WAS,2-5,1,
2027-04-25,NEW,LOS,4-1,1,
2027-04-26,CHA,SAN,2-11,1,
2027-04-26,COL,ALB,6-0,1,
2027-04-26,DEN,OKL,6-4,1,
2027-04-26,ELP,LOU,3-7,1,
2027-04-26,LAS,HOU,9-0,1,
2027-04-26,MEM,WAS,5-4,1,
2027-04-26,NEW,LOS,2-7,1,
2027-04-28,ALB,COL,4-3,1,
2027-04-28,HOU,LAS,1-5,1,
2027-04-28,LOS,NEW,6-2,1,
2027-04-28,LOU,ELP,5-4,1,
2027-04-28,OKL,DEN,3-2,1,
2027-04-28,SAN,CHA,6-7,1,
2027-04-28,WAS,MEM,3-5,1,
2027-04-29,ALB,COL,3-4,1,
2027-04-29,HOU,LAS,6-2,1,
2027-04-29,LOS,NEW,0-1,1,
2027-04-29,LOU,ELP,4-12,1,
2027-04-29,OKL,DEN,5-2,1,
2027-04-29,SAN,CHA,2-1,1,
2027-04-29,WAS,MEM,4-8,1,
2027-04-30,ALB,COL,7-6,1,
2027-04-30,HOU,LAS,0-11,1,
2027-04-30,LOS,NEW,4-3,1,
2027-04-30,LOU,ELP,2-3,1,
2027-04-30,OKL,DEN,3-2,1,
2027-04-30,SAN,CHA,8-7,1,
2027-04-30,WAS,MEM,12-2,1,
2027-05-01,ALB,COL,6-5,1,
2027-05-01,HOU,LAS,6-1,1,
2027-05-01,LOS,NEW,2-1,1,
2027-05-01,LOU,ELP,2-0,1,
2027-05-01,OKL,DEN,1-3,1,
2027-05-01,SAN,CHA,2-9,1,
2027-05-01,WAS,MEM,5-3,1,
2027-05-03,CHA,LOS,5-3,1,
2027-05-03,COL,SAN,1-5,1,
2027-05-03,DEN,HOU,5-1,1,
2027-05-03,LAS,WAS,1-5,1,
2027-05-03,LOU,OKL,3-2,1,
2027-05-03,MEM,ALB,4-3,1,
2027-05-03,NEW,ELP,5-2,1,
2027-05-04,CHA,LOS,2-5,1,
2027-05-04,COL,SAN,5-0,1,
2027-05-04,DEN,HOU,12-1,1,
2027-05-04,LAS,WAS,4-9,1,
2027-05-04,LOU,OKL,7-3,1,
2027-05-04,MEM,ALB,6-2,1,
2027-05-04,NEW,ELP,2-8,1,
2027-05-05,CHA,LOS,3-4,1,
2027-05-05,COL,SAN,4-3,1,
2027-05-05,DEN,HOU,2-0,1,
2027-05-05,LAS,WAS,0-2,1,
2027-05-05,LOU,OKL,3-6,1,
2027-05-05,MEM,ALB,3-6,1,
2027-05-05,NEW,ELP,4-5,1,
2027-05-07,ALB,MEM,12-1,1,
2027-05-07,ELP,NEW,3-2,1,
2027-05-07,HOU,DEN,6-10,1,
2027-05-07,LOS,CHA,1-4,1,
2027-05-07,OKL,LOU,3-7,1,
2027-05-07,SAN,COL,5-6,1,
2027-05-07,WAS,LAS,1-0,1,
2027-05-08,ALB,MEM,0-3,1,
2027-05-08,ELP,NEW,3-6,1,
2027-05-08,HOU,DEN,1-0,1,
2027-05-08,LOS,CHA,6-11,1,
2027-05-08,OKL,LOU,5-6,1,
2027-05-08,SAN,COL,3-4,1,
2027-05-08,WAS,LAS,7-10,1,
2027-05-09,ALB,MEM,1-0,1,
2027-05-09,ELP,NEW,6-3,1,
2027-05-09,HOU,DEN,3-0,1,
2027-05-09,LOS,CHA,5-6,1,
2027-05-09,OKL,LOU,6-3,1,
2027-05-09,SAN,COL,1-2,1,
2027-05-09,WAS,LAS,5-4,1,
2027-05-10,ALB,MEM,5-2,1,
2027-05-10,ELP,NEW,6-4,1,
2027-05-10,HOU,DEN,4-6,1,
2027-05-10,LOS,CHA,4-8,1,
2027-05-10,OKL,LOU,2-8,1,
2027-05-10,SAN,COL,1-2,1,
2027-05-10,WAS,LAS,5-1,1,
2027-05-12,CHA,NEW,5-3,1,
2027-05-12,COL,LOS,0-5,1,
2027-05-12,DEN,WAS,0-5,1,
2027-05-12,ELP,OKL,4-3,1,
2027-05-12,LAS,ALB,5-3,1,
2027-05-12,LOU,HOU,6-4,1,
2027-05-12,MEM,SAN,7-1,1,
2027-05-13,CHA,NEW,10-1,1,
2027-05-13,COL,LOS,5-7,1,
2027-05-13,DEN,WAS,6-8,1,
2027-05-13,ELP,OKL,11-13,1,
2027-05-13,LAS,ALB,5-8,1,
2027-05-13,LOU,HOU,3-2,1,
2027-05-13,MEM,SAN,7-8,1,
2027-05-14,CHA,NEW,4-2,1,
2027-05-14,COL,LOS,6-3,1,
2027-05-14,DEN,WAS,4-3,1,
2027-05-14,ELP,OKL,6-3,1,
2027-05-14,LAS,ALB,9-8,1,
2027-05-14,LOU,HOU,5-2,1,
2027-05-14,MEM,SAN,5-2,1,
2027-05-16,ALB,LAS,5-7,1,
2027-05-16,HOU,LOU,3-5,1,
2027-05-16,LOS,COL,3-1,1,
2027-05-16,NEW,CHA,1-3,1,
2027-05-16,OKL,ELP,2-7,1,
2027-05-16,SAN,MEM,3-4,1,
2027-05-16,WAS,DEN,1-2,1,
2027-05-17,ALB,LAS,3-5,1,
2027-05-17,HOU,LOU,6-2,1,
2027-05-17,LOS,COL,6-3,1,
2027-05-17,NEW,CHA,6-4,1,
2027-05-17,OKL,ELP,2-7,1,
2027-05-17,SAN,MEM,3-6,1,
2027-05-17,WAS,DEN,3-4,1,
2027-05-18,ALB,LAS,10-7,1,
2027-05-18,HOU,LOU,2-3,1,
2027-05-18,LOS,COL,9-15,1,
2027-05-18,NEW,CHA,10-4,1,
2027-05-18,OKL,ELP,7-0,1,
2027-05-18,SAN,MEM,3-2,1,
2027-05-18,WAS,DEN,0-8,1,
2027-05-19,ALB,LAS,1-12,1,
2027-05-19,HOU,LOU,7-1,1,
2027-05-19,LOS,COL,3-2,1,
2027-05-19,NEW,CHA,8-7,1,
2027-05-19,OKL,ELP,1-10,1,
2027-05-19,SAN,MEM,5-2,1,
2027-05-19,WAS,DEN,1-3,1,
2027-05-21,CHA,ELP,2-0,1,
2027-05-21,COL,NEW,3-6,1,
2027-05-21,DEN,ALB,3-7,1,
2027-05-21,LAS,SAN,2-6,1,
2027-05-21,LOU,WAS,5-4,1,
2027-05-21,MEM,LOS,7-2,1,
2027-05-21,OKL,HOU,1-4,1,
2027-05-22,CHA,ELP,3-8,1,
2027-05-22,COL,NEW,0-2,1,
2027-05-22,DEN,ALB,2-5,1,
2027-05-22,LAS,SAN,5-6,1,
2027-05-22,LOU,WAS,3-2,1,
2027-05-22,MEM,LOS,4-8,1,
2027-05-22,OKL,HOU,6-1,1,
2027-05-23,CHA,ELP,0-1,1,
2027-05-23,COL,NEW,4-3,1,
