date,home,away,result,played,boxscore
2026-04-01,COL,OKL,1-2,1,
2026-04-01,FOR,AUS,2-0,1,
2026-04-01,JAC,ALB,9-0,1,
2026-04-01,LAS,BOS,2-8,1,
2026-04-01,LOS,BAL,1-6,1,
2026-04-01,SAN,PHO,3-2,1,
2026-04-01,SAN1,LOU,8-2,1,
2026-04-02,COL,OKL,8-7,1,
2026-04-02,FOR,AUS,3-1,1,
2026-04-02,JAC,ALB,6-10,1,
2026-04-02,LAS,BOS,2-5,1,
2026-04-02,LOS,BAL,6-1,1,
2026-04-02,SAN,PHO,3-1,1,
2026-04-02,SAN1,LOU,0-2,1,
2026-04-03,COL,OKL,6-7,1,
2026-04-03,FOR,AUS,3-1,1,
2026-04-03,JAC,ALB,7-0,1,
2026-04-03,LAS,BOS,4-6,1,
2026-04-03,LOS,BAL,3-1,1,
2026-04-03,SAN,PHO,0-1,1,
2026-04-03,SAN1,LOU,4-5,1,
2026-04-04,COL,OKL,2-1,1,
2026-04-04,FOR,AUS,0-5,1,
2026-04-04,JAC,ALB,0-3,1,
2026-04-04,LAS,BOS,3-2,1,
2026-04-04,LOS,BAL,4-3,1,
2026-04-04,SAN,PHO,3-7,1,
2026-04-04,SAN1,LOU,4-3,1,
2026-04-06,AUS,SAN,1-0,1,
2026-04-06,BAL,COL,9-5,1,
2026-04-06,BOS,LOS,2-1,1,
2026-04-06,JAC,LAS,11-1,1,
2026-04-06,LOU,FOR,3-6,1,
2026-04-06,OKL,SAN1,4-3,1,
2026-04-06,PHO,ALB,1-6,1,
2026-04-07,AUS,SAN,6-2,1,
2026-04-07,BAL,COL,2-1,1,
2026-04-07,BOS,LOS,6-3,1,
2026-04-07,JAC,LAS,2-6,1,
2026-04-07,LOU,FOR,5-4,1,
2026-04-07,OKL,SAN1,5-1,1,
2026-04-07,PHO,ALB,4-6,1,
2026-04-08,AUS,SAN,5-4,1,
2026-04-08,BAL,COL,4-3,1,
2026-04-08,BOS,LOS,3-4,1,
2026-04-08,JAC,LAS,3-5,1,
2026-04-08,LOU,FOR,4-5,1,
2026-04-08,OKL,SAN1,6-7,1,
2026-04-08,PHO,ALB,2-6,1,
2026-04-10,ALB,PHO,3-4,1,
2026-04-10,COL,BAL,6-4,1,
2026-04-10,FOR,LOU,2-1,1,
2026-04-10,LAS,JAC,0-7,1,
2026-04-10,LOS,BOS,2-5,1,
2026-04-10,SAN,AUS,0-2,1,
2026-04-10,SAN1,OKL,1-0,1,
2026-04-11,ALB,PHO,3-7,1,
2026-04-11,COL,BAL,1-3,1,
2026-04-11,FOR,LOU,1-6,1,
2026-04-11,LAS,JAC,3-2,1,
2026-04-11,LOS,BOS,7-6,1,
2026-04-11,SAN,AUS,9-5,1,
2026-04-11,SAN1,OKL,7-1,1,
2026-04-12,ALB,PHO,3-4,1,
2026-04-12,COL,BAL,6-3,1,
2026-04-12,FOR,LOU,3-4,1,
2026-04-12,LAS,JAC,4-0,1,
2026-04-12,LOS,BOS,2-1,1,
2026-04-12,SAN,AUS,1-3,1,
2026-04-12,SAN1,OKL,7-1,1,
2026-04-13,ALB,PHO,2-0,1,
2026-04-13,COL,BAL,2-5,1,
2026-04-13,FOR,LOU,5-6,1,
2026-04-13,LAS,JAC,5-1,1,
2026-04-13,LOS,BOS,1-6,1,
2026-04-13,SAN,AUS,6-11,1,
2026-04-13,SAN1,OKL,4-7,1,
2026-04-15,AUS,ALB,3-4,1,
2026-04-15,BAL,SAN1,4-0,1,
2026-04-15,BOS,COL,1-2,1,
2026-04-15,LAS,LOS,3-2,1,
2026-04-15,LOU,SAN,5-2,1,
2026-04-15,OKL,FOR,2-1,1,
2026-04-15,PHO,JAC,3-2,1,
2026-04-16,AUS,ALB,3-5,1,
2026-04-16,BAL,SAN1,8-9,1,
2026-04-16,BOS,COL,0-9,1,
2026-04-16,LAS,LOS,9-7,1,
2026-04-16,LOU,SAN,5-2,1,
2026-04-16,OKL,FOR,5-3,1,
2026-04-16,PHO,JAC,5-8,1,
2026-04-17,AUS,ALB,2-1,1,
2026-04-17,BAL,SAN1,6-5,1,
2026-04-17,BOS,COL,7-3,1,
2026-04-17,LAS,LOS,7-5,1,
2026-04-17,LOU,SAN,4-5,1,
2026-04-17,OKL,FOR,1-5,1,
2026-04-17,PHO,JAC,7-3,1,
2026-04-19,ALB,AUS,5-6,1,
2026-04-19,COL,BOS,4-3,1,
2026-04-19,FOR,OKL,2-1,1,
2026-04-19,JAC,PHO,6-3,1,
2026-04-19,LOS,LAS,3-6,1,
2026-04-19,SAN,LOU,13-2,1,
2026-04-19,SAN1,BAL,3-2,1,
2026-04-20,ALB,AUS,8-2,1,
2026-04-20,COL,BOS,4-8,1,
2026-04-20,FOR,OKL,2-1,1,
2026-04-20,JAC,PHO,11-6,1,
2026-04-20,LOS,LAS,6-8,1,
2026-04-20,SAN,LOU,3-1,1,
2026-04-20,SAN1,BAL,0-1,1,
2026-04-21,ALB,AUS,9-8,1,
2026-04-21,COL,BOS,10-9,1,
2026-04-21,FOR,OKL,3-2,1,
2026-04-21,JAC,PHO,3-2,1,
2026-04-21,LOS,LAS,1-2,1,
2026-04-21,SAN,LOU,5-4,1,
2026-04-21,SAN1,BAL,4-0,1,
2026-04-22,ALB,AUS,1-7,1,
2026-04-22,COL,BOS,5-1,1,
2026-04-22,FOR,OKL,3-4,1,
2026-04-22,JAC,PHO,5-7,1,
2026-04-22,LOS,LAS,0-2,1,
2026-04-22,SAN,LOU,3-5,1,
2026-04-22,SAN1,BAL,2-5,1,
2026-04-24,AUS,PHO,7-4,1,
2026-04-24,BAL,FOR,2-6,1,
2026-04-24,BOS,SAN1,5-2,1,
2026-04-24,JAC,LOS,7-3,1,
2026-04-24,LAS,COL,4-5,1,
2026-04-24,LOU,ALB,1-4,1,
2026-04-24,OKL,SAN,0-1,1,
2026-04-25,AUS,PHO,3-7,1,
2026-04-25,BAL,FOR,2-0,1,
2026-04-25,BOS,SAN1,4-8,1,
2026-04-25,JAC,LOS,0-1,1,
2026-04-25,LAS,COL,1-2,1,
2026-04-25,LOU,ALB,3-5,1,
2026-04-25,OKL,SAN,5-2,1,
2026-04-26,AUS,PHO,2-1,1,
2026-04-26,BAL,FOR,4-6,1,
2026-04-26,BOS,SAN1,3-2,1,
2026-04-26,JAC,LOS,2-7,1,
2026-04-26,LAS,COL,2-1,1,
2026-04-26,LOU,ALB,6-3,1,
2026-04-26,OKL,SAN,1-8,1,
2026-04-28,ALB,LOU,5-3,1,
2026-04-28,COL,LAS,1-5,1,
2026-04-28,FOR,BAL,4-6,1,
2026-04-28,LOS,JAC,9-1,1,
2026-04-28,PHO,AUS,5-3,1,
2026-04-28,SAN,OKL,3-1,1,
2026-04-28,SAN1,BOS,6-8,1,
2026-04-29,ALB,LOU,0-6,1,
2026-04-29,COL,LAS,4-8,1,
2026-04-29,FOR,BAL,2-7,1,
2026-04-29,LOS,JAC,1-3,1,
2026-04-29,PHO,AUS,3-16,1,
2026-04-29,SAN,OKL,5-1,1,
2026-04-29,SAN1,BOS,1-2,1,
2026-04-30,ALB,LOU,9-5,1,
2026-04-30,COL,LAS,4-5,1,
2026-04-30,FOR,BAL,4-11,1,
2026-04-30,LOS,JAC,3-7,1,
2026-04-30,PHO,AUS,2-5,1,
2026-04-30,SAN,OKL,2-4,1,
2026-04-30,SAN1,BOS,5-8,1,
2026-05-01,ALB,LOU,5-6,1,
2026-05-01,COL,LAS,2-5,1,
2026-05-01,FOR,BAL,6-5,1,
2026-05-01,LOS,JAC,5-1,1,
2026-05-01,PHO,AUS,1-14,1,
2026-05-01,SAN,OKL,6-10,1,
2026-05-01,SAN1,BOS,4-2,1,
2026-05-03,AUS,JAC,3-2,1,
2026-05-03,BAL,SAN,2-0,1,
2026-05-03,BOS,FOR,4-3,1,
2026-05-03,LAS,SAN1,5-3,1,
2026-05-03,LOS,COL,6-3,1,
2026-05-03,LOU,PHO,8-0,1,
2026-05-03,OKL,ALB,13-1,1,
2026-05-04,AUS,JAC,3-2,1,
2026-05-04,BAL,SAN,0-1,1,
2026-05-04,BOS,FOR,2-3,1,
2026-05-04,LAS,SAN1,3-4,1,
2026-05-04,LOS,COL,4-3,1,
2026-05-04,LOU,PHO,5-3,1,
2026-05-04,OKL,ALB,1-6,1,
2026-05-05,AUS,JAC,10-6,1,
