timestamp,season_date,team_id,player_id,player_name,action,from_level,to_level,counterparty,details
2025-12-30 17:31:13,2025-07-15,DEN,D20250199,Abraham Rabuse,draft,,LOW,,Drafted in 2025 Amateur Draft (DEN: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,HOU,D20250031,Hassan Magowan,draft,,LOW,,Drafted in 2025 Amateur Draft (HOU: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,SAN1,D20250189,Jermaine Wright,draft,,LOW,,Drafted in 2025 Amateur Draft (SAN1: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,BAL,D20250171,Mauricio Reyolds,draft,,LOW,,Drafted in 2025 Amateur Draft (BAL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,SAN,D20250050,Jerome Lorance,draft,,LOW,,Drafted in 2025 Amateur Draft (SAN: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,ELP,D20250110,Rafael Ortiz,draft,,LOW,,Drafted in 2025 Amateur Draft (ELP: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,LOU,D20250129,Luis Rivera,draft,,LOW,,Drafted in 2025 Amateur Draft (LOU: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,NAS,D20250130,Owen Klopfenstein,draft,,LOW,,Drafted in 2025 Amateur Draft (NAS: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,OKL,D20250054,Fletcher Haygood,draft,,LOW,,Drafted in 2025 Amateur Draft (OKL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,IND,D20250003,Jamal Wright,draft,,LOW,,Drafted in 2025 Amateur Draft (IND: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,WAS,D20250009,Alberto Mcclave,draft,,LOW,,Drafted in 2025 Amateur Draft (WAS: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,CHI,D20250097,Eduardo Reyes,draft,,LOW,,Drafted in 2025 Amateur Draft (CHI: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,DAL,D20250071,Deshawn Carter,draft,,LOW,,Drafted in 2025 Amateur Draft (DAL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,JAC,D20250058,Rufus Robinson,draft,,LOW,,Drafted in 2025 Amateur Draft (JAC: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,DEN,D20250135,Barrett Roble,draft,,LOW,,Drafted in 2025 Amateur Draft (DEN: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,HOU,D20250155,Roberto Morales,draft,,LOW,,Drafted in 2025 Amateur Draft (HOU: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,SAN1,D20250147,Marquis Keobaunleuang,draft,,LOW,,Drafted in 2025 Amateur Draft (SAN1: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,BAL,D20250164,Rufus Young,draft,,LOW,,Drafted in 2025 Amateur Draft (BAL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,SAN,D20250073,Tyrone White,draft,,LOW,,Drafted in 2025 Amateur Draft (SAN: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,ELP,D20250125,Clarence Bazemore,draft,,LOW,,Drafted in 2025 Amateur Draft (ELP: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,LOU,D20250047,Luis Guerrero,draft,,LOW,,Drafted in 2025 Amateur Draft (LOU: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,NAS,D20250175,Titus Ettl,draft,,LOW,,Drafted in 2025 Amateur Draft (NAS: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,OKL,D20250179,Val Buonocore,draft,,LOW,,Drafted in 2025 Amateur Draft (OKL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,IND,D20250005,Malik Scott,draft,,LOW,,Drafted in 2025 Amateur Draft (IND: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,WAS,D20250007,Roberto Torres,draft,,LOW,,Drafted in 2025 Amateur Draft (WAS: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,CHI,D20250183,Brendan Brienen,draft,,LOW,,Drafted in 2025 Amateur Draft (CHI: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,DAL,D20250051,Jermaine Walker,draft,,LOW,,Drafted in 2025 Amateur Draft (DAL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,JAC,D20250059,Deshawn Jefferson,draft,,LOW,,Drafted in 2025 Amateur Draft (JAC: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,DEN,D20250026,Sung Hassan,draft,,LOW,,Drafted in 2025 Amateur Draft (DEN: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,HOU,D20250006,Roberto Reyes,draft,,LOW,,Drafted in 2025 Amateur Draft (HOU: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,SAN1,D20250074,Roberto Morales,draft,,LOW,,Drafted in 2025 Amateur Draft (SAN1: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,BAL,D20250040,Dean Karge,draft,,LOW,,Drafted in 2025 Amateur Draft (BAL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,SAN,D20250077,Jermaine Green,draft,,LOW,,Drafted in 2025 Amateur Draft (SAN: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,ELP,D20250193,Deshawn Gaines,draft,,LOW,,Drafted in 2025 Amateur Draft (ELP: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,LOU,D20250173,Ferdinand Berning,draft,,LOW,,Drafted in 2025 Amateur Draft (LOU: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,NAS,D20250146,Malik Scott,draft,,LOW,,Drafted in 2025 Amateur Draft (NAS: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,OKL,D20250158,Deshawn Taylor,draft,,LOW,,Drafted in 2025 Amateur Draft (OKL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,IND,D20250154,Malcolm Schuh,draft,,LOW,,Drafted in 2025 Amateur Draft (IND: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,WAS,D20250086,Roberto Torres,draft,,LOW,,Drafted in 2025 Amateur Draft (WAS: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,CHI,D20250121,Ricardo Vasquez,draft,,LOW,,Drafted in 2025 Amateur Draft (CHI: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,DAL,D20250025,Abe Beaber,draft,,LOW,,Drafted in 2025 Amateur Draft (DAL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,JAC,D20250081,Omer Obrien,draft,,LOW,,Drafted in 2025 Amateur Draft (JAC: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,DEN,D20250011,August Rapley,draft,,LOW,,Drafted in 2025 Amateur Draft (DEN: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,HOU,D20250117,Marquis Lewandowski,draft,,LOW,,Drafted in 2025 Amateur Draft (HOU: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,SAN1,D20250123,Tommy Hanlon,draft,,LOW,,Drafted in 2025 Amateur Draft (SAN1: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,BAL,D20250174,Jermaine Walker,draft,,LOW,,Drafted in 2025 Amateur Draft (BAL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,SAN,D20250197,Hector Rodriguez,draft,,LOW,,Drafted in 2025 Amateur Draft (SAN: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,ELP,D20250138,Erick Sifontes,draft,,LOW,,Drafted in 2025 Amateur Draft (ELP: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,LOU,D20250192,Cedric Scott,draft,,LOW,,Drafted in 2025 Amateur Draft (LOU: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,NAS,D20250170,Yong Li,draft,,LOW,,Drafted in 2025 Amateur Draft (NAS: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,OKL,D20250079,Larry Bruzas,draft,,LOW,,Drafted in 2025 Amateur Draft (OKL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,IND,D20250078,Rufus Washington,draft,,LOW,,Drafted in 2025 Amateur Draft (IND: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,WAS,D20250091,Hector Flores,draft,,LOW,,Drafted in 2025 Amateur Draft (WAS: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,CHI,D20250127,Lawrence Ptaszynski,draft,,LOW,,Drafted in 2025 Amateur Draft (CHI: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,DAL,D20250172,Shirley Arbetman,draft,,LOW,,Drafted in 2025 Amateur Draft (DAL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,JAC,D20250144,Rufus Jackson,draft,,LOW,,Drafted in 2025 Amateur Draft (JAC: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,DEN,D20250112,Francisco Perez,draft,,LOW,,Drafted in 2025 Amateur Draft (DEN: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,HOU,D20250167,Xavier Taylor,draft,,LOW,,Drafted in 2025 Amateur Draft (HOU: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,SAN1,D20250019,Dee Mckain,draft,,LOW,,Drafted in 2025 Amateur Draft (SAN1: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,BAL,D20250124,Eduardo Ramos,draft,,LOW,,Drafted in 2025 Amateur Draft (BAL: LOW roster exceeds 10 players (fix before resuming).)
2025-12-30 17:31:13,2025-07-15,SAN,D20250037,Rafael Reyes,draft,,LOW,,Drafted in 2025 Amateur Draft (SAN: LOW roster exceeds 10 players (fix before resuming).)
