team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
ELP,Hornets,El Paso,ELP,League East,Hornets Stadium,#F26060,#60F2F2,
DEN,Dragons,Denver,DEN,League East,Dragons Stadium,#608BF2,#F2C760,
HOU,Thunder,Houston,HOU,League East,Thunder Stadium,#B5F260,#9D60F2,
WAS,Raiders,Washington,WAS,League East,Raiders Stadium,#F260E0,#60F273,
BAL,Mariners,Baltimore,BAL,League East,Mariners Stadium,#60F2D9,#F26079,
IND,Rockets,Indianapolis,IND,League East,Rockets Stadium,#F2AF60,#60A3F2,
SAN,Dolphins,San Jose,SAN,League East,Dolphins Stadium,#8560F2,#CEF260,
OKL,Pirates,Oklahoma City,OKL,League West,Pirates Stadium,#67F260,#EC60F2,
JAC,Tigers,Jacksonville,JAC,League West,Tigers Stadium,#F26091,#60F2C1,
SAN1,Wolves,San Antonio,SAN1,League West,Wolves Stadium,#60BBF2,#F29760,
LOU,Sharks,Louisville,LOU,League West,Sharks Stadium,#E6F260,#6C60F2,
DAL,Saints,Dallas,DAL,League West,Saints Stadium,#D360F2,#7FF260,
NAS,Kings,Nashville,NAS,League West,Kings Stadium,#60F2A9,#F260A9,
CHI,Jets,Chicago,CHI,League West,Jets Stadium,#F27E60,#60D4F2,
