team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
MIL,Tigers,Milwaukee,MIL,League East,Tigers Stadium,#F26060,#60F2F2,
CHI,Rockets,Chicago,CHI,League East,Rockets Stadium,#608BF2,#F2C760,
SAN,Thunder,San Francisco,SAN,League East,Thunder Stadium,#B5F260,#9D60F2,
WAS,Sharks,Washington,WAS,League East,Sharks Stadium,#F260E0,#60F273,
LOU,Coyotes,Louisville,LOU,League East,Coyotes Stadium,#60F2D9,#F26079,
POR,Jets,Portland,POR,League East,Jets Stadium,#F2AF60,#60A3F2,
COL,Dragons,Columbus,COL,League East,Dragons Stadium,#8560F2,#CEF260,
LAS,Spartans,Las Vegas,LAS,League West,Spartans Stadium,#67F260,#EC60F2,
AUS,Hawks,Austin,AUS,League West,Hawks Stadium,#F26091,#60F2C1,
BOS,Wildcats,Boston,BOS,League West,Wildcats Stadium,#60BBF2,#F29760,
LOS,Giants,Los Angeles,LOS,League West,Giants Stadium,#E6F260,#6C60F2,
BAL,Warriors,Baltimore,BAL,League West,Warriors Stadium,#D360F2,#7FF260,
DET,Hornets,Detroit,DET,League West,Hornets Stadium,#60F2A9,#F260A9,
DEN,Wolves,Denver,DEN,League West,Wolves Stadium,#F27E60,#60D4F2,
