team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
WAS,Hornets,Washington,WAS,League East,Hornets Stadium,#F26060,#60F2F2,
FOR,Raiders,Fort Worth,FOR,League East,Raiders Stadium,#608BF2,#F2C760,
SAN,Knights,San Diego,SAN,League East,Knights Stadium,#B5F260,#9D60F2,
JAC,Bulls,Jacksonville,JAC,League East,Bulls Stadium,#F260E0,#60F273,
DAL,Wildcats,Dallas,DAL,League East,Wildcats Stadium,#60F2D9,#F26079,
LOU,Dragons,Louisville,LOU,League East,Dragons Stadium,#F2AF60,#60A3F2,
SAN1,Rangers,San Antonio,SAN1,League East,Rangers Stadium,#8560F2,#CEF260,
IND,Kings,Indianapolis,IND,League West,Kings Stadium,#67F260,#EC60F2,
PHI,Pirates,Philadelphia,PHI,League West,Pirates Stadium,#F26091,#60F2C1,
POR,Hawks,Portland,POR,League West,Hawks Stadium,#60BBF2,#F29760,
PHO,Mariners,Phoenix,PHO,League West,Mariners Stadium,#E6F260,#6C60F2,
LAS,Bears,Las Vegas,LAS,League West,Bears Stadium,#D360F2,#7FF260,
SEA,Giants,Seattle,SEA,League West,Giants Stadium,#60F2A9,#F260A9,
BAL,Falcons,Baltimore,BAL,League West,Falcons Stadium,#F27E60,#60D4F2,
