date,home,away,result,played,boxscore
2038-04-01,BOS,LAS,6-4,1,
2038-04-01,MIL,JAC,1-0,1,
2038-04-01,NAS,SAN,4-0,1,
2038-04-01,NEW,DEN,2-6,1,
2038-04-01,OKL,LOS,2-3,1,
2038-04-01,POR,SAN1,3-4,1,
2038-04-01,WAS,DET,0-4,1,
2038-04-02,BOS,LAS,5-2,1,
2038-04-02,MIL,JAC,5-2,1,
2038-04-02,NAS,SAN,0-6,1,
2038-04-02,NEW,DEN,9-8,1,
2038-04-02,OKL,LOS,4-6,1,
2038-04-02,POR,SAN1,4-5,1,
2038-04-02,WAS,DET,1-5,1,
2038-04-03,BOS,LAS,9-3,1,
2038-04-03,MIL,JAC,2-0,1,
2038-04-03,NAS,SAN,10-5,1,
2038-04-03,NEW,DEN,1-2,1,
2038-04-03,OKL,LOS,2-5,1,
2038-04-03,POR,SAN1,6-1,1,
2038-04-03,WAS,DET,6-0,1,
2038-04-04,BOS,LAS,1-2,1,
2038-04-04,MIL,JAC,2-5,1,
2038-04-04,NAS,SAN,6-7,1,
2038-04-04,NEW,DEN,7-3,1,
2038-04-04,OKL,LOS,0-1,1,
2038-04-04,POR,SAN1,7-1,1,
2038-04-04,WAS,DET,4-5,1,
2038-04-06,DEN,WAS,3-7,1,
2038-04-06,DET,SAN1,3-2,1,
2038-04-06,JAC,BOS,6-0,1,
2038-04-06,LAS,OKL,8-1,1,
2038-04-06,LOS,NAS,0-4,1,
2038-04-06,POR,MIL,3-1,1,
2038-04-06,SAN,NEW,10-1,1,
2038-04-07,DEN,WAS,3-4,1,
2038-04-07,DET,SAN1,3-5,1,
2038-04-07,JAC,BOS,0-2,1,
2038-04-07,LAS,OKL,7-1,1,
2038-04-07,LOS,NAS,4-2,1,
2038-04-07,POR,MIL,4-3,1,
2038-04-07,SAN,NEW,4-7,1,
2038-04-08,DEN,WAS,2-0,1,
2038-04-08,DET,SAN1,3-1,1,
2038-04-08,JAC,BOS,3-6,1,
2038-04-08,LAS,OKL,2-1,1,
2038-04-08,LOS,NAS,6-9,1,
2038-04-08,POR,MIL,3-2,1,
2038-04-08,SAN,NEW,1-0,1,
2038-04-10,BOS,JAC,4-6,1,
2038-04-10,MIL,POR,5-4,1,
2038-04-10,NAS,LOS,10-1,1,
2038-04-10,NEW,SAN,7-0,1,
2038-04-10,OKL,LAS,3-2,1,
2038-04-10,SAN1,DET,5-0,1,
2038-04-10,WAS,DEN,5-4,1,
2038-04-11,BOS,JAC,3-6,1,
2038-04-11,MIL,POR,1-3,1,
2038-04-11,NAS,LOS,6-3,1,
2038-04-11,NEW,SAN,6-7,1,
2038-04-11,OKL,LAS,0-8,1,
2038-04-11,SAN1,DET,3-2,1,
2038-04-11,WAS,DEN,4-1,1,
