round,overall_pick,team_id,player_id
1,1,MIL,D20410145
1,2,DET,D20410114
1,3,BOS,D20410018
1,4,OKL,D20410116
1,5,LOS,D20410001
1,6,WAS,D20410019
1,7,DEN,D20410051
1,8,NAS,D20410082
1,9,NEW,D20410191
1,10,SAN1,D20410034
1,11,JAC,D20410040
1,12,LAS,D20410050
1,13,POR,D20410002
1,14,SAN,D20410020
2,15,MIL,D20410008
2,16,DET,D20410074
2,17,BOS,D20410038
2,18,OKL,D20410165
2,19,LOS,D20410014
2,20,WAS,D20410172
2,21,DEN,D20410166
2,22,NAS,D20410096
2,23,NEW,D20410059
2,24,SAN1,D20410149
2,25,JAC,D20410012
2,26,LAS,D20410095
2,27,POR,D20410186
2,28,SAN,D20410077
3,29,MIL,D20410088
3,30,DET,D20410090
3,31,BOS,D20410057
3,32,OKL,D20410089
3,33,LOS,D20410148
3,34,WAS,D20410142
3,35,DEN,D20410010
3,36,NAS,D20410196
3,37,NEW,D20410025
3,38,SAN1,D20410070
3,39,JAC,D20410060
3,40,LAS,D20410049
3,41,POR,D20410066
3,42,SAN,D20410028
4,43,MIL,D20410044
4,44,DET,D20410065
4,45,BOS,D20410118
4,46,OKL,D20410162
4,47,LOS,D20410032
4,48,WAS,D20410015
4,49,DEN,D20410156
4,50,NAS,D20410055
4,51,NEW,D20410180
4,52,SAN1,D20410103
4,53,JAC,D20410158
4,54,LAS,D20410143
4,55,POR,D20410009
4,56,SAN,D20410104
5,57,MIL,D20410192
5,58,DET,D20410081
5,59,BOS,D20410132
5,60,OKL,D20410197
5,61,LOS,D20410101
5,62,WAS,D20410047
5,63,DEN,D20410146
5,64,NAS,D20410136
5,65,NEW,D20410075
5,66,SAN1,D20410120
5,67,JAC,D20410069
5,68,LAS,D20410039
5,69,POR,D20410084
5,70,SAN,D20410189
6,71,MIL,D20410140
6,72,DET,D20410170
6,73,BOS,D20410080
6,74,OKL,D20410058
6,75,LOS,D20410078
6,76,WAS,D20410063
6,77,DEN,D20410198
6,78,NAS,D20410138
6,79,NEW,D20410161
6,80,SAN1,D20410007
6,81,JAC,D20410129
6,82,LAS,D20410086
6,83,POR,D20410119
6,84,SAN,D20410176
7,85,MIL,D20410013
7,86,DET,D20410030
7,87,BOS,D20410027
7,88,OKL,D20410083
7,89,LOS,D20410111
7,90,WAS,D20410045
7,91,DEN,D20410187
7,92,NAS,D20410102
7,93,NEW,D20410199
7,94,SAN1,D20410152
7,95,JAC,D20410193
7,96,LAS,D20410163
7,97,POR,D20410067
7,98,SAN,D20410151
8,99,MIL,D20410022
8,100,DET,D20410062
8,101,BOS,D20410128
8,102,OKL,D20410178
8,103,LOS,D20410184
8,104,WAS,D20410026
8,105,DEN,D20410037
8,106,NAS,D20410079
8,107,NEW,D20410108
8,108,SAN1,D20410190
8,109,JAC,D20410194
8,110,LAS,D20410004
8,111,POR,D20410011
8,112,SAN,D20410023
9,113,MIL,D20410031
9,114,DET,D20410046
9,115,BOS,D20410048
9,116,OKL,D20410056
9,117,LOS,D20410068
9,118,WAS,D20410076
9,119,DEN,D20410085
9,120,NAS,D20410087
9,121,NEW,D20410105
9,122,SAN1,D20410106
9,123,JAC,D20410107
9,124,LAS,D20410109
9,125,POR,D20410123
9,126,SAN,D20410126
10,127,MIL,D20410127
10,128,DET,D20410130
10,129,BOS,D20410133
10,130,OKL,D20410147
10,131,LOS,D20410150
10,132,WAS,D20410164
10,133,DEN,D20410168
10,134,NAS,D20410171
10,135,NEW,D20410175
10,136,SAN1,D20410177
10,137,JAC,D20410182
10,138,LAS,D20410003
10,139,POR,D20410016
10,140,SAN,D20410052
