PARKID,NAME,CITY,STATE,STARTDATE,ENDDATE,LEAGUE,NOTES,AKA,FirstGame,Score(Winner),FirstAttendance,FirstStartingPitchers,FirstBatter,Result,FirstHit,Result(Inning),FirstRun ,FirstRBI,FirstHR,Date(Game#),FirstK/Batter,FirstWin,FirstLoss,FirstGrandSlam,FirstInside-the-ParkHR,FirstNo-Hitter,LastGame,Score(Winner),LastAttendance,LastStartingPitchers,LastBatter,Result,LastHit,Result(Inning),LastRun,LastRBI,LastHR,LastK/Batter,LastWin,LastLoss,LastGrandSlam,LastInside-the-Park HR,Last/MostRecentNo-Hitter,Trivia
ANA01,Angel Stadium of Anaheim,Anaheim,CA,4/19/1966,,AL,,Anaheim Stadium; Edison Field,Angels vs. White Sox: 4/19/1966,3-1 (CHA),"31,660",Marcelino Lopez (CAL); Tommy John (CHA),Tommie Age(CHA),Grounded to SS,Jim Fregosi (CAL),Doubled to RF (1st),Rick Reichardt (CAL),Rick Reichardt (CAL),Rick Reichardt (CAL) vs. Tommy John (CHA) on 4/19/1966 (2nd inning),4/19/1966 (1),Marcelino Lopez (CAL)/Pete Ward (CHA),Tommy John (CHA),Marcelino Lopez (CAL),Curt Blefary (BAL) vs. Lew Burdette (CAL) on 6/6/1967 (9th inning),Paul Schaal (CAL) vs. Hal Reniff (NYA) on 8/2/1966 (11th inning),Clyde Wright (CAL) vs. A's on 7/3/1970,,,,,,,,,,,,,,,,,Jered Weaver (LAA) vs. Twins on 5/2/2012,Paul Schaal is the only pinch-hitter to hit the first inside-the-park home run in an active park's first game; Jered Weaver's 9-0 no-hitter against the Twins was the largest margin of victory in an Angels no-hitter.
ARL02,Globe Life Park,Arlington,TX,4/11/1994,,AL,,Rangers Ballpark in Arlington; The Ballpark in Arlington; Ameriquest Field,Rangers vs. Brewers: 4/11/1994,4-1 (MIL),"46,056",Kenny Rogers (TEX); Jaime Navarro (MIL),Pat Listach (MIL),Grounded to 2B,David Hulse (TEX),Singled to 2B (1st),Dave Nilsson (MIL),Dave Nilsson (MIL),Dave Nilsson (MIL) vs. Kenny Rogers (TEX) on 4/11/1994 (5th inning),4/11/1994 (1),Jaime Navarro (MIL)/Doug Strange (TEX),Jaime Navarro (MIL),Kenny Rogers (TEX),Bernie Williams (NYA) vs. Darren Oliver (TEX) on 6/6/1994 (9th inning),Michael Tucker (KCA) vs. Mike Henneman (TEX) on 8/16/1996 (9th inning),Kenny Rogers (TEX) vs. Angels on 7/28/1994,,,,,,,,,,,,,,,,,Kenny Rogers (TEX) vs. Angels on 7/28/1994,Kenny Rogers' no-hitter against the Angels was the 14th perfect game in MLB history.
ATL02,Turner Field,Atlanta,GA,4/4/1997,,NL,,,Braves vs. Cubs: 4/4/1997,5-4 (ATL),"45,044",Denny Neagle (ATL); Kevin Foster (CHN),Brian McRae (CHN),Bunt Groundout to 1B,Chipper Jones (ATL),Singled to LF (1st),Michael Tucker (ATL),Michael Tucker (ATL),Michael Tucker (ATL) vs. Kevin Foster (CHN) on 4/4/1997 (3rd inning),4/4/1997 (1),Kevin Foster (CHN)/Mark Lemke (ATL),Brad Clontz (ATL),Terry Adams (CHN),Javy Lopez (ATL) vs. Stan Belinda (CIN) on 4/14/1997 (7th inning),Tom Goodwin (COL) vs. Kevin Millwood (ATL) on 4/5/2000 (2nd inning),Randy Johnson (ARI) vs. Braves on 5/18/2004,,,,,,,,,,,,,,,,,"Cole Hamels, Jake Diekman, Ken Giles, Jonathan Papelbon (PHI) vs. Braves on 9/1/2014","Randy Johnson's no-hitter against the Braves was the 17th perfect game in MLB history and, at 40, he became the oldest pitcher ever to throw a perfect game."
BAL12,Oriole Park at Camden Yards,Baltimore,MD,4/6/1992,,AL,,Camden Yards,Orioles vs. Indians: 4/6/1992,2-0 (BAL),"44,568",Rick Sutcliffe (BAL); Charles Nagy (CLE),Keny Lofton (CLE),Flied to RF,Paul Sorrento (CLE),Singled to LF (2nd),Sam Horn (BAL),Chris Hoiles (BAL),Paul Sorrento (CLE) vs. Bob Milacki (BAL) on 4/8/1992 (1st inning),4/8/1992 (2),Rick Sutcliffe (BAL)/Mark Whiten (CLE),Rick Sutcliffe (BAL),Charles Nagy (CLE),Randy Milligan (BAL) vs. Les Lancaster (DET) on 4/17/1992 (7th inning),Butch Davis (TEX) vs. Arthur Rhodes (BAL) on 8/22/1993 (3rd inning),Hideo Nomo (BOS) vs. Orioles on 4/4/2001,,,,,,,,,,,,,,,,,Hideo Nomo (BOS) vs. Orioles on 4/4/2001,Hideo Nomo's April 4th no-hitter came on the second day of the season and is the earliest in the year for any no-hitter thrown in an active park.
BOS07,Fenway Park,Boston,MA,4/20/1912,,AL,BOS:1912-date; BSN:9/7 to 9/29/1914; 4/14 to 7/26/15,,Red Sox vs. Yankees: 4/20/1912,"7-6 (BOS), 11 innings","24,000",Buck O'Brien (BOS); Ray Caldwell (NYA),Guy Zinn (NYA),Walked,Harry Wolter (NYA),Singled on SAC (1st),Guy Zinn (NYA),Roy Hartzell (NYA),Hugh Bradley (BOS) vs. Lefty Russell (PHA) on 4/26/1912 (7th inning),4/26/1912 (5),Buck O'Brien (BOS)/Dutch Sterrett (NYA),Charley Hall (BOS),Hippo Vaughn (NYA),Rabbit Maranville (BSN) vs. Hippo Vaughn (CHN) on 9/26/1914 (4th inning),Sam Crawford (DET) vs. Buck O'Brien (BOS) on 5/10/1912 (9th inning),Iron Davis (BSN) vs. Phillies on 9/19/1914,,,,,,,,,,,,,,,,,Jon Lester (BOS) vs. Royals on 5/19/2008,"In the first regular season game at Fenway Park Red Sox players lost potential triples and home runs thanks to an overflow crowd that was roped off in the outfield.  Hits into the crowd were ruled doubles.; The first homer at Fenway Park was the last of Hugh Bradley's career; The first grand slam at Fenway Park was hit by Boston Braves shortstop Rabbit Maranville and was the last of his career.;  It was the first time that a park's regular home team didn't account for a first (both grand slam and no-hitter); Red Sox second baseman Steve Yerkes had five hits, the most ever for a park's first game."
CHI11,Wrigley Field,Chicago,IL,4/23/1914,,NL,CHF:1914-15; CHN:1916-date,Weeghman Park; Cubs Park; Whales Park; North Side Ball Park,Chicago Whales vs. Kansas City Packers: 4/23/1914,9-1 (CHF),"21,000",Claude Hendrix (CHF); Chief Johnson (KCF),Chet Chadbourne (KCF),Ground out,John Potts (KCF),Singled,Dutch Zwilling (CHF),Jack Farrell (CHF),Art Wilson (CHF) vs. Chief Johnson (KCF) on 4/23/1914 (2nd inning),4/23/1914 (1),,Claude Hendrix (CHF),Chief Johnson (KCF),Rollie Zeider (CHF) vs. Harry Moran (BUF) on 5/6/1914 (4th inning),Max Flack (CHF) vs. Gene Packard (KCF) on 7/11/1915 (3rd inning),Fred Toney (CIN) vs. Cubs on 5/2/1917,,,,,,,,,,,,,,,,,Cole Hamels (PHI) vs. Cubs on 7/25/2015,"Kansas City Packers pitcher Chief Johnson was served with legal papers in the second inning, enjoining him from pitching for Kansas City for the rest of the opener; John Potts, who recorded the first hit at then-Weeghman Park, had only 27 career hits, the fewest for a player who recorded the first hit at an active park; Chicago Whales catcher Art Wilson hit the first two home runs at the park in his first two at-bats; The first no-hitter thrown at Wrigley Field was a double no-hitter for nine innings between Cincinnati's Fred Toney and Chicago's Hippo Vaughn before the Reds recorded the first hit in the 10th inning; The first grand slam was hit by Rollie Zeider, who hit only five home runs in his nine-year career, and was the only homer he hit over the fence on the fly (the other four were either inside-the-park homers or bounced, which counted as homers at the time).  "
CHI12,U.S. Cellular Field,Chicago,IL,4/18/1991,,AL,,Comiskey Park,White Sox vs. Tigers: 4/18/1991,16-0 (DET),"42,191",Jack McDowell (CHA); Frank Tanana (DET),Tony Phillips (DET),Flied to LF,Alan Trammell (DET),Singled to SS (1st),Travis Fryman (DET),Alan Trammell (DET),Cecil Fielder (DET) vs. Jack McDowell (CHA) on 4/18/1991 (3rd innng),4/18/1991 (1),Frank Tanana (DET)/Tim Raines (CHA),Frank Tanana (DET),Jack McDowell (CHA),Kevin Romine (BOS) vs. Alex Fernandez (CHA) on 5/5/1991 (2nd inning),Mark Newfield (SEA) vs. Brian Keyser (CHA) on 6/21/1995 (5th inning),Mark Buehrle (CHA) vs. Rangers on 4/18/2007,,,,,,,,,,,,,,,,,Francisco Liriano (MIN) vs. White Sox on 5/3/2011 ,"The Tigers' 16 runs are the most in a park's first game (minimum 300 games) and the 16-run margin of victory is the largest; Chicago White Sox pitcher Mark Buerhle threw the first two no-hitters at U.S. Cellular Field, making him the only pitcher to toss the first two no-hitters at an active park; All three no-hitters at U.S. Cellular Field were thrown by southpaws; Tigers teammates Tony Phillips and Alan Trammell had four hits each in the first game at U.S. Cellular Field, becoming the only teammates with four hits in a park's first game; Kevin Romine, who hit the first grand slam at U.S. Cellular Field, hit only five home runs in his career and the grand slam was his last.  He also holds the distinction of having the fewest career home runs among those who hit a park's first grand slam (tied with Rollie Zeider)."
CIN09,Great American Ballpark,Cincinnati,OH,3/31/2003,,NL,,,Reds vs. Pirates: 3/31/2003,10-1 (PIT),"42,343",Jimmy Haynes (CIN); Kris Benson (PIT),Kenny Lofton (PIT),Grounded to 1B,Ken Griffey Jr. (CIN),Doubled to RF (1st),Randall Simon (PIT),Reggie Sanders (CIN),Reggie Sanders (PIT) vs. Jimmy Haynes (CIN) on 3/31/2003 (2nd inning),3/31/2003 (1),Kris Benson (PIT)/Austin Kearns (CIN),Kris Benson (PIT),Jimmy Haynes (CIN),Carlos Delgado (TOR) vs. John Reidling (CIN) on 6/6/2003 (2nd inning),Eric Young (MIL) vs. Jeff Austin (CIN) on 5/11/2003 (6th inning),Homer Bailey (CIN) vs. Giants on 7/2/2013,,,,,,,,,,,,,,,,,Homer Bailey (CIN) vs. Giants on 7/2/2013,"Great American Ballpark is one of four parks to open in March; One of three parks where the first grand slam came in an interleague game (Chase Field: 1998 and Safeco Field:1999); Homer Bailey's no-hitter was his second in 19 starts. His first also had the distinction of being the first no-hitter thrown at Pittsburgh's PNC Park and he became the second pitcher to throw the first no-hitter at multiple parks (Hideo Nomo: 1996, 2001)."
CLE08,Progressive Field,Cleveland,OH,4/4/1994,,AL,,Jacobs Field; The Jake,Indians vs. Mariners: 4/4/1994,"4-3 (SEA), 11 innings","41,459",Dennis Martinez (CLE); Randy Johnson (SEA),Rich Amaral (SEA),Grounded to 2B,Eric Anthony (SEA),Homered to RF (3rd),Edgar Martinez (SEA),Eric Anthony (SEA),Eric Anthony (SEA) vs. Dennis Martinez (CLE) on 4/4/1994 (3rd inning),4/4/1994 (1),Dennis Martinez (CLE)/Ken Griffey Jr. (SEA),Eric Plunk (CLE),Kevin King (SEA),Paul Sorrento (CLE) vs. Doug Linton (KCA) on 5/9/1995 (1st inning),David Bell (CLE) vs. Randy Johnson (SEA) on 4/15/1998 (1st inning),Ervin Santana (LAA) vs. Indians on 7/27/2011,,,,,,,,,,,,,,,,,Ervin Santana (LAA) vs. Indians on 7/27/2011,"David Bell hit the first inside-the-park home run at then-Jacobs Field in the bottom of the first inning against Seattle's Randy Johnson.  Two innings later Johnson threw two pitches at Kenny Lofton's head and touched off a bench-clearing brawl, after which Johnson, Lofton, and Indians catcher Sandy Alomar Jr. were ejected from the game.; The first no-hitter was thrown 17 years after the park opened, the longest gap among active parks in which a no-hitter has been thrown.  Interestingly, Cleveland's League Park boasts the longest gap---21 years---among inactive parks in which a no-hitter was thrown.  Washington's Griffith Stadium went 20 years before the first no-hitter was thrown and Philadelphia's Veterans Stadium went 19 years. "
DEN02,Coors Field,Denver,CO,4/26/1995,,NL,,,Rockies vs. Mets: 4/26/1995,"11-9 (COL), 14 innings","47,228",Bill Swift (COL); Bobby Jones (NYN),Brett Butler (NYN),Singled to SS,Brett Butler (NYN),Singled to SS (1st),Walt Weiss (COL),Larry Walker (COL),Rico Brogna (NYN) vs. Bill Swift (COL) on 4/26/1995 (4th inning),4/26/1995 (1),Bill Swift (COL)/David Segui (NYN),Mark Thompson (COL),Mike Remlinger (NYN),Todd Hundley (NYN) vs. Bill Swift (COL) on 4/26/1995 (6th inning),Ellis Burks (COL) vs. Mike Williams (PHI) on 6/14/1996 (1st inning),Hideo Nomo (LAN) vs. Rockies on 9/17/1996,,,,,,,,,,,,,,,,,Hideo Nomo (LAN) vs. Rockies on 9/17/1996,"Coors Field is the first active park to feature a grand slam in its first game (Yankee Stadium II: 4/16/2009), and the second (Jarry Park: 4/14/1969) among all parks (minimum 300 games); Hideo Nomo has thrown the only no-hitter at Coors Field (through 2015) and when he tossed a no-hitter at Oriole Park at Camden Yards in 2001, he became the first pitcher to throw the first no-hitters at two different active parks.  His no-hitter at Coors Field is the only one with an attendance of at least 50,000 (among active parks); The 14-inning game between the Rockies and Mets was the longest (by innings) of any first game in a park (minimum 300 games).; Three umpires---Mike Riggins, Joe Padilla, and Dick Jackson---made their MLB debuts in the first game at Coors Field. "
