date,home,away,result,played,boxscore
2027-04-01,AUS,SEA,5-11,1,
2027-04-01,BAL,BOS,3-4,1,
2027-04-01,ELP,NEW,3-2,1,
2027-04-01,LAS,ALB,6-1,1,
2027-04-01,MEM,FOR,1-7,1,
2027-04-01,MIL,POR,1-0,1,
2027-04-01,NAS,SAN,3-2,1,
2027-04-02,AUS,SEA,2-0,1,
2027-04-02,BAL,BOS,7-1,1,
2027-04-02,ELP,NEW,6-7,1,
2027-04-02,LAS,ALB,7-4,1,
2027-04-02,MEM,FOR,6-1,1,
2027-04-02,MIL,POR,2-1,1,
2027-04-02,NAS,SAN,0-2,1,
2027-04-03,AUS,SEA,4-1,1,
2027-04-03,BAL,BOS,3-2,1,
2027-04-03,ELP,NEW,5-4,1,
2027-04-03,LAS,ALB,4-0,1,
2027-04-03,MEM,FOR,4-0,1,
2027-04-03,MIL,POR,5-4,1,
2027-04-03,NAS,SAN,0-7,1,
2027-04-04,AUS,SEA,1-9,1,
2027-04-04,BAL,BOS,6-8,1,
2027-04-04,ELP,NEW,3-4,1,
2027-04-04,LAS,ALB,5-7,1,
2027-04-04,MEM,FOR,9-2,1,
2027-04-04,MIL,POR,9-0,1,
2027-04-04,NAS,SAN,1-4,1,
2027-04-06,ALB,BAL,3-5,1,
2027-04-06,BOS,AUS,5-6,1,
2027-04-06,ELP,MIL,7-6,1,
2027-04-06,FOR,NEW,0-2,1,
2027-04-06,POR,LAS,5-4,1,
2027-04-06,SAN,MEM,1-2,1,
2027-04-06,SEA,NAS,2-1,1,
2027-04-07,ALB,BAL,0-6,1,
2027-04-07,BOS,AUS,5-8,1,
2027-04-07,ELP,MIL,3-2,1,
2027-04-07,FOR,NEW,3-7,1,
2027-04-07,POR,LAS,3-11,1,
2027-04-07,SAN,MEM,3-4,1,
2027-04-07,SEA,NAS,3-9,1,
2027-04-08,ALB,BAL,2-3,1,
2027-04-08,BOS,AUS,4-13,1,
2027-04-08,ELP,MIL,4-1,1,
2027-04-08,FOR,NEW,5-4,1,
2027-04-08,POR,LAS,6-4,1,
2027-04-08,SAN,MEM,4-2,1,
2027-04-08,SEA,NAS,4-7,1,
2027-04-10,AUS,BOS,1-0,1,
2027-04-10,BAL,ALB,4-6,1,
2027-04-10,LAS,POR,3-4,1,
2027-04-10,MEM,SAN,0-11,1,
2027-04-10,MIL,ELP,2-4,1,
2027-04-10,NAS,SEA,4-1,1,
2027-04-10,NEW,FOR,2-4,1,
2027-04-11,AUS,BOS,4-3,1,
2027-04-11,BAL,ALB,0-4,1,
2027-04-11,LAS,POR,9-8,1,
2027-04-11,MEM,SAN,8-5,1,
2027-04-11,MIL,ELP,5-3,1,
2027-04-11,NAS,SEA,3-7,1,
2027-04-11,NEW,FOR,4-8,1,
