round,overall_pick,team_id,player_id
1,1,BAL,D20290055
1,2,SEA,D20290198
1,3,AUS,D20290188
1,4,NAS,D20290088
1,5,ALB,D20290079
1,6,BOS,D20290045
1,7,FOR,D20290039
1,8,SAN,D20290049
1,9,MEM,D20290179
1,10,MIL,D20290075
1,11,POR,D20290172
1,12,ELP,D20290200
1,13,LAS,D20290149
1,14,NEW,D20290163
2,15,BAL,D20290053
2,16,SEA,D20290175
2,17,AUS,D20290009
2,18,NAS,D20290002
2,19,ALB,D20290192
2,20,BOS,D20290110
2,21,FOR,D20290052
2,22,SAN,D20290074
2,23,MEM,D20290084
2,24,MIL,D20290159
2,25,POR,D20290091
2,26,ELP,D20290165
2,27,LAS,D20290141
2,28,NEW,D20290100
3,29,BAL,D20290125
3,30,SEA,D20290081
3,31,AUS,D20290126
3,32,NAS,D20290022
3,33,ALB,D20290093
3,34,BOS,D20290111
3,35,FOR,D20290056
3,36,SAN,D20290107
3,37,MEM,D20290105
3,38,MIL,D20290078
3,39,POR,D20290087
3,40,ELP,D20290193
3,41,LAS,D20290116
3,42,NEW,D20290143
4,43,BAL,D20290144
4,44,SEA,D20290038
4,45,AUS,D20290124
4,46,NAS,D20290099
4,47,ALB,D20290103
4,48,BOS,D20290118
4,49,FOR,D20290168
4,50,SAN,D20290030
4,51,MEM,D20290121
4,52,MIL,D20290151
4,53,POR,D20290101
4,54,ELP,D20290043
4,55,LAS,D20290108
4,56,NEW,D20290021
5,57,BAL,D20290123
5,58,SEA,D20290187
5,59,AUS,D20290069
5,60,NAS,D20290067
5,61,ALB,D20290176
5,62,BOS,D20290136
5,63,FOR,D20290036
5,64,SAN,D20290162
5,65,MEM,D20290142
5,66,MIL,D20290132
5,67,POR,D20290157
5,68,ELP,D20290033
5,69,LAS,D20290008
5,70,NEW,D20290104
6,71,BAL,D20290040
6,72,SEA,D20290160
6,73,AUS,D20290057
6,74,NAS,D20290046
6,75,ALB,D20290102
6,76,BOS,D20290112
6,77,FOR,D20290120
6,78,SAN,D20290042
6,79,MEM,D20290190
6,80,MIL,D20290071
6,81,POR,D20290173
6,82,ELP,D20290161
6,83,LAS,D20290032
6,84,NEW,D20290050
7,85,BAL,D20290076
7,86,SEA,D20290023
7,87,AUS,D20290178
7,88,NAS,D20290090
7,89,ALB,D20290182
7,90,BOS,D20290041
7,91,FOR,D20290185
7,92,SAN,D20290018
7,93,MEM,D20290096
7,94,MIL,D20290083
7,95,POR,D20290148
7,96,ELP,D20290197
7,97,LAS,D20290006
7,98,NEW,D20290095
8,99,BAL,D20290034
8,100,SEA,D20290031
8,101,AUS,D20290037
8,102,NAS,D20290001
8,103,ALB,D20290146
8,104,BOS,D20290181
8,105,FOR,D20290147
8,106,SAN,D20290048
8,107,MEM,D20290003
8,108,MIL,D20290020
8,109,POR,D20290097
8,110,ELP,D20290010
8,111,LAS,D20290013
8,112,NEW,D20290017
9,113,BAL,D20290047
9,114,SEA,D20290062
9,115,AUS,D20290106
9,116,NAS,D20290066
9,117,ALB,D20290129
9,118,BOS,D20290171
9,119,FOR,D20290054
9,120,SAN,D20290177
9,121,MEM,D20290184
9,122,MIL,D20290005
9,123,POR,D20290016
9,124,ELP,D20290098
9,125,LAS,D20290196
9,126,NEW,D20290051
10,127,BAL,D20290014
10,128,SEA,D20290058
10,129,AUS,D20290064
10,130,NAS,D20290117
10,131,ALB,D20290077
10,132,BOS,D20290080
10,133,FOR,D20290180
10,134,SAN,D20290186
10,135,MEM,D20290094
10,136,MIL,D20290131
10,137,POR,D20290109
10,138,ELP,D20290195
10,139,LAS,D20290011
10,140,NEW,D20290137
