date,home,away,result,played,boxscore
2052-04-01,CHI,SAN,2-5,1,
2052-04-01,IND,ELP,10-6,1,
2052-04-01,LAS,OKL,2-5,1,
2052-04-01,LOU,BAL,6-7,1,
2052-04-01,MEM,SEA,8-3,1,
2052-04-01,PHI,SAN1,2-10,1,
2052-04-01,POR,ALB,5-3,1,
2052-04-02,CHI,SAN,3-2,1,
2052-04-02,IND,ELP,3-8,1,
2052-04-02,LAS,OKL,8-4,1,
2052-04-02,LOU,BAL,8-4,1,
2052-04-02,MEM,SEA,12-6,1,
2052-04-02,PHI,SAN1,2-0,1,
2052-04-02,POR,ALB,3-0,1,
2052-04-03,CHI,SAN,1-6,1,
2052-04-03,IND,ELP,4-3,1,
2052-04-03,LAS,OKL,2-6,1,
2052-04-03,LOU,BAL,5-7,1,
2052-04-03,MEM,SEA,1-3,1,
2052-04-03,PHI,SAN1,0-1,1,
2052-04-03,POR,ALB,9-3,1,
2052-04-04,CHI,SAN,4-2,1,
2052-04-04,IND,ELP,4-1,1,
2052-04-04,LAS,OKL,0-7,1,
2052-04-04,LOU,BAL,5-4,1,
2052-04-04,MEM,SEA,9-8,1,
2052-04-04,PHI,SAN1,2-4,1,
2052-04-04,POR,ALB,8-1,1,
2052-04-06,ALB,BAL,2-6,1,
2052-04-06,ELP,MEM,5-4,1,
2052-04-06,LOU,IND,1-3,1,
2052-04-06,OKL,CHI,2-6,1,
2052-04-06,SAN,PHI,1-3,1,
2052-04-06,SAN1,POR,2-1,1,
2052-04-06,SEA,LAS,2-5,1,
2052-04-07,ALB,BAL,1-3,1,
2052-04-07,ELP,MEM,3-6,1,
2052-04-07,LOU,IND,5-1,1,
2052-04-07,OKL,CHI,1-2,1,
2052-04-07,SAN,PHI,1-8,1,
2052-04-07,SAN1,POR,2-1,1,
2052-04-07,SEA,LAS,4-1,1,
2052-04-08,ALB,BAL,3-2,1,
2052-04-08,ELP,MEM,4-8,1,
2052-04-08,LOU,IND,4-5,1,
2052-04-08,OKL,CHI,6-9,1,
2052-04-08,SAN,PHI,2-1,1,
2052-04-08,SAN1,POR,3-5,1,
2052-04-08,SEA,LAS,6-5,1,
2052-04-10,BAL,ALB,1-2,1,
2052-04-10,CHI,OKL,0-7,1,
2052-04-10,IND,LOU,1-5,1,
2052-04-10,LAS,SEA,3-1,1,
2052-04-10,MEM,ELP,5-1,1,
2052-04-10,PHI,SAN,4-1,1,
2052-04-10,POR,SAN1,4-2,1,
2052-04-11,BAL,ALB,5-9,1,
2052-04-11,CHI,OKL,2-6,1,
2052-04-11,IND,LOU,1-5,1,
2052-04-11,LAS,SEA,2-1,1,
2052-04-11,MEM,ELP,3-2,1,
2052-04-11,PHI,SAN,2-1,1,
2052-04-11,POR,SAN1,3-2,1,
2052-04-12,BAL,ALB,3-1,1,
2052-04-12,CHI,OKL,4-8,1,
2052-04-12,IND,LOU,7-6,1,
2052-04-12,LAS,SEA,3-2,1,
2052-04-12,MEM,ELP,6-9,1,
2052-04-12,PHI,SAN,6-1,1,
2052-04-12,POR,SAN1,8-3,1,
2052-04-13,BAL,ALB,1-8,1,
2052-04-13,CHI,OKL,0-3,1,
2052-04-13,IND,LOU,3-5,1,
2052-04-13,LAS,SEA,3-4,1,
2052-04-13,MEM,ELP,5-4,1,
2052-04-13,PHI,SAN,3-2,1,
2052-04-13,POR,SAN1,6-3,1,
2052-04-15,ALB,LOU,3-6,1,
2052-04-15,ELP,LAS,5-2,1,
2052-04-15,IND,MEM,4-1,1,
2052-04-15,OKL,PHI,3-0,1,
2052-04-15,SAN,POR,5-3,1,
2052-04-15,SAN1,BAL,2-9,1,
2052-04-15,SEA,CHI,3-2,1,
2052-04-16,ALB,LOU,8-1,1,
2052-04-16,ELP,LAS,3-6,1,
2052-04-16,IND,MEM,6-2,1,
2052-04-16,OKL,PHI,2-11,1,
2052-04-16,SAN,POR,5-4,1,
2052-04-16,SAN1,BAL,3-6,1,
2052-04-16,SEA,CHI,5-3,1,
2052-04-17,ALB,LOU,4-0,1,
2052-04-17,ELP,LAS,3-2,1,
2052-04-17,IND,MEM,0-8,1,
2052-04-17,OKL,PHI,4-1,1,
2052-04-17,SAN,POR,1-6,1,
2052-04-17,SAN1,BAL,2-3,1,
2052-04-17,SEA,CHI,5-0,1,
2052-04-19,BAL,SAN1,0-6,1,
2052-04-19,CHI,SEA,5-6,1,
2052-04-19,LAS,ELP,5-3,1,
2052-04-19,LOU,ALB,4-3,1,
2052-04-19,MEM,IND,0-13,1,
2052-04-19,PHI,OKL,0-1,1,
2052-04-19,POR,SAN,7-4,1,
2052-04-20,BAL,SAN1,1-2,1,
2052-04-20,CHI,SEA,1-8,1,
2052-04-20,LAS,ELP,4-1,1,
2052-04-20,LOU,ALB,2-5,1,
2052-04-20,MEM,IND,1-3,1,
2052-04-20,PHI,OKL,8-0,1,
2052-04-20,POR,SAN,2-1,1,
2052-04-21,BAL,SAN1,9-4,1,
2052-04-21,CHI,SEA,6-2,1,
2052-04-21,LAS,ELP,0-3,1,
2052-04-21,LOU,ALB,4-3,1,
2052-04-21,MEM,IND,6-3,1,
2052-04-21,PHI,OKL,6-4,1,
2052-04-21,POR,SAN,1-2,1,
2052-04-22,BAL,SAN1,2-3,1,
2052-04-22,CHI,SEA,2-8,1,
2052-04-22,LAS,ELP,7-3,1,
2052-04-22,LOU,ALB,1-4,1,
2052-04-22,MEM,IND,3-5,1,
2052-04-22,PHI,OKL,4-6,1,
2052-04-22,POR,SAN,5-7,1,
2052-04-24,ELP,CHI,6-5,1,
2052-04-24,IND,LAS,2-4,1,
2052-04-24,LOU,MEM,2-4,1,
2052-04-24,OKL,POR,6-5,1,
2052-04-24,SAN,BAL,0-3,1,
2052-04-24,SAN1,ALB,3-6,1,
2052-04-24,SEA,PHI,1-5,1,
2052-04-25,ELP,CHI,2-1,1,
2052-04-25,IND,LAS,6-3,1,
2052-04-25,LOU,MEM,5-3,1,
2052-04-25,OKL,POR,11-4,1,
2052-04-25,SAN,BAL,2-3,1,
2052-04-25,SAN1,ALB,1-3,1,
2052-04-25,SEA,PHI,6-10,1,
2052-04-26,ELP,CHI,2-1,1,
2052-04-26,IND,LAS,3-10,1,
2052-04-26,LOU,MEM,8-1,1,
2052-04-26,OKL,POR,4-3,1,
2052-04-26,SAN,BAL,6-4,1,
2052-04-26,SAN1,ALB,6-4,1,
2052-04-26,SEA,PHI,5-6,1,
2052-04-28,ALB,SAN1,9-7,1,
2052-04-28,BAL,SAN,3-1,1,
2052-04-28,CHI,ELP,5-0,1,
2052-04-28,LAS,IND,6-5,1,
2052-04-28,MEM,LOU,0-5,1,
2052-04-28,PHI,SEA,4-9,1,
2052-04-28,POR,OKL,3-2,1,
2052-04-29,ALB,SAN1,1-2,1,
2052-04-29,BAL,SAN,10-3,1,
2052-04-29,CHI,ELP,5-4,1,
2052-04-29,LAS,IND,4-6,1,
2052-04-29,MEM,LOU,9-4,1,
2052-04-29,PHI,SEA,5-7,1,
2052-04-29,POR,OKL,4-1,1,
2052-04-30,ALB,SAN1,4-3,1,
2052-04-30,BAL,SAN,8-5,1,
2052-04-30,CHI,ELP,2-3,1,
2052-04-30,LAS,IND,5-6,1,
2052-04-30,MEM,LOU,4-5,1,
2052-04-30,PHI,SEA,5-3,1,
2052-04-30,POR,OKL,6-5,1,
