round,overall_pick,team_id,player_id
1,1,LOS,D20250069
1,2,LOU,D20250020
1,3,SAN1,D20250189
1,4,AUS,D20250036
1,5,MEM,D20250032
1,6,ALB,D20250130
1,7,MIL,D20250007
1,8,SAN,D20250199
1,9,HOU,D20250108
1,10,WAS,D20250170
1,11,CHI,D20250070
1,12,IND,D20250050
1,13,NEW,D20250101
1,14,CHA,D20250095
2,15,LOS,D20250026
2,16,LOU,D20250068
2,17,SAN1,D20250119
2,18,AUS,D20250162
2,19,MEM,D20250184
2,20,ALB,D20250169
2,21,MIL,D20250134
2,22,SAN,D20250166
2,23,HOU,D20250086
2,24,WAS,D20250080
2,25,CHI,D20250194
2,26,IND,D20250064
2,27,NEW,D20250004
2,28,CHA,D20250160
3,29,LOS,D20250053
3,30,LOU,D20250129
3,31,SAN1,D20250196
3,32,AUS,D20250071
3,33,MEM,D20250040
3,34,ALB,D20250046
3,35,MIL,D20250110
3,36,SAN,D20250093
3,37,HOU,D20250182
3,38,WAS,D20250021
3,39,CHI,D20250047
3,40,IND,D20250012
3,41,NEW,D20250015
3,42,CHA,D20250149
4,43,LOS,D20250048
4,44,LOU,D20250060
4,45,SAN1,D20250042
4,46,AUS,D20250156
4,47,MEM,D20250084
4,48,ALB,D20250115
4,49,MIL,D20250038
4,50,SAN,D20250077
4,51,HOU,D20250183
4,52,WAS,D20250172
4,53,CHI,D20250063
4,54,IND,D20250159
4,55,NEW,D20250096
4,56,CHA,D20250029
5,57,LOS,D20250154
5,58,LOU,D20250133
5,59,SAN1,D20250140
5,60,AUS,D20250094
5,61,MEM,D20250056
5,62,ALB,D20250144
5,63,MIL,D20250173
5,64,SAN,D20250158
5,65,HOU,D20250083
5,66,WAS,D20250089
5,67,CHI,D20250163
5,68,IND,D20250171
5,69,NEW,D20250006
5,70,CHA,D20250019
6,71,LOS,D20250075
6,72,LOU,D20250177
6,73,SAN1,D20250044
6,74,AUS,D20250005
6,75,MEM,D20250052
6,76,ALB,D20250197
6,77,MIL,D20250076
6,78,SAN,D20250174
6,79,HOU,D20250031
6,80,WAS,D20250079
6,81,CHI,D20250127
6,82,IND,D20250117
6,83,NEW,D20250186
6,84,CHA,D20250165
7,85,LOS,D20250103
7,86,LOU,D20250152
7,87,SAN1,D20250074
7,88,AUS,D20250081
7,89,MEM,D20250090
7,90,ALB,D20250122
7,91,MIL,D20250102
7,92,SAN,D20250057
7,93,HOU,D20250087
7,94,WAS,D20250121
7,95,CHI,D20250180
7,96,IND,D20250059
7,97,NEW,D20250179
7,98,CHA,D20250017
8,99,LOS,D20250008
8,100,LOU,D20250139
8,101,SAN1,D20250014
8,102,AUS,D20250153
8,103,MEM,D20250062
8,104,ALB,D20250135
8,105,MIL,D20250128
8,106,SAN,D20250141
8,107,HOU,D20250145
8,108,WAS,D20250001
8,109,CHI,D20250010
8,110,IND,D20250013
8,111,NEW,D20250025
8,112,CHA,D20250028
9,113,LOS,D20250092
9,114,LOU,D20250118
9,115,SAN1,D20250034
9,116,AUS,D20250045
9,117,MEM,D20250123
9,118,ALB,D20250195
9,119,MIL,D20250131
9,120,SAN,D20250138
9,121,HOU,D20250150
9,122,WAS,D20250051
9,123,CHI,D20250167
9,124,IND,D20250176
9,125,NEW,D20250178
9,126,CHA,D20250097
10,127,LOS,D20250027
10,128,LOU,D20250058
10,129,SAN1,D20250185
10,130,AUS,D20250190
10,131,MEM,D20250193
10,132,ALB,D20250116
10,133,MIL,D20250024
10,134,SAN,D20250035
10,135,HOU,D20250043
10,136,WAS,D20250164
10,137,CHI,D20250055
10,138,IND,D20250065
10,139,NEW,D20250067
10,140,CHA,D20250168
