date,home,away,result,played,boxscore
2027-04-01,BOS,DEN,3-1,1,
2027-04-01,HOU,SEA,3-2,1,
2027-04-01,LOS,COL,2-3,1,
2027-04-01,MIL,WAS,1-4,1,
2027-04-01,NAS,DAL,1-5,1,
2027-04-01,NEW,SAN1,4-2,1,
2027-04-01,POR,SAN,3-5,1,
2027-04-02,BOS,DEN,8-4,1,
2027-04-02,HOU,SEA,4-7,1,
2027-04-02,LOS,COL,7-5,1,
2027-04-02,MIL,WAS,8-3,1,
2027-04-02,NAS,DAL,6-2,1,
2027-04-02,NEW,SAN1,5-1,1,
2027-04-02,POR,SAN,2-4,1,
2027-04-03,BOS,DEN,9-4,1,
2027-04-03,HOU,SEA,4-3,1,
2027-04-03,LOS,COL,4-6,1,
2027-04-03,MIL,WAS,1-2,1,
2027-04-03,NAS,DAL,3-2,1,
2027-04-03,NEW,SAN1,4-2,1,
2027-04-03,POR,SAN,7-8,1,
2027-04-04,BOS,DEN,1-7,1,
2027-04-04,HOU,SEA,1-6,1,
2027-04-04,LOS,COL,1-3,1,
2027-04-04,MIL,WAS,9-0,1,
2027-04-04,NAS,DAL,3-2,1,
2027-04-04,NEW,SAN1,1-6,1,
2027-04-04,POR,SAN,4-9,1,
2027-04-06,DAL,POR,2-4,1,
2027-04-06,DEN,HOU,4-5,1,
2027-04-06,LOS,MIL,1-7,1,
2027-04-06,SAN,NEW,3-5,1,
2027-04-06,SAN1,BOS,2-1,1,
2027-04-06,SEA,COL,2-3,1,
2027-04-06,WAS,NAS,1-4,1,
2027-04-07,DAL,POR,1-0,1,
2027-04-07,DEN,HOU,9-2,1,
2027-04-07,LOS,MIL,1-8,1,
2027-04-07,SAN,NEW,3-2,1,
2027-04-07,SAN1,BOS,4-8,1,
2027-04-07,SEA,COL,4-0,1,
2027-04-07,WAS,NAS,5-7,1,
2027-04-08,DAL,POR,3-2,1,
2027-04-08,DEN,HOU,5-0,1,
2027-04-08,LOS,MIL,7-3,1,
2027-04-08,SAN,NEW,4-3,1,
2027-04-08,SAN1,BOS,1-2,1,
2027-04-08,SEA,COL,2-7,1,
2027-04-08,WAS,NAS,8-4,1,
2027-04-10,BOS,SAN1,5-4,1,
2027-04-10,COL,SEA,3-2,1,
2027-04-10,HOU,DEN,3-6,1,
2027-04-10,MIL,LOS,2-0,1,
2027-04-10,NAS,WAS,0-6,1,
2027-04-10,NEW,SAN,8-6,1,
2027-04-10,POR,DAL,4-0,1,
2027-04-11,BOS,SAN1,6-2,1,
2027-04-11,COL,SEA,2-3,1,
2027-04-11,HOU,DEN,2-8,1,
2027-04-11,MIL,LOS,6-0,1,
2027-04-11,NAS,WAS,4-3,1,
2027-04-11,NEW,SAN,2-4,1,
2027-04-11,POR,DAL,1-2,1,
2027-04-12,BOS,SAN1,3-2,1,
2027-04-12,COL,SEA,1-7,1,
2027-04-12,HOU,DEN,9-0,1,
2027-04-12,MIL,LOS,9-6,1,
2027-04-12,NAS,WAS,4-1,1,
2027-04-12,NEW,SAN,2-3,1,
2027-04-12,POR,DAL,10-2,1,
2027-04-13,BOS,SAN1,7-5,1,
2027-04-13,COL,SEA,0-1,1,
2027-04-13,HOU,DEN,5-0,1,
2027-04-13,MIL,LOS,6-1,1,
2027-04-13,NAS,WAS,4-1,1,
2027-04-13,NEW,SAN,4-7,1,
2027-04-13,POR,DAL,3-2,1,
2027-04-15,DAL,NEW,9-7,1,
2027-04-15,DEN,COL,5-8,1,
2027-04-15,MIL,NAS,3-2,1,
2027-04-15,SAN,BOS,6-4,1,
2027-04-15,SAN1,HOU,0-9,1,
2027-04-15,SEA,LOS,2-1,1,
2027-04-15,WAS,POR,2-1,1,
2027-04-16,DAL,NEW,1-3,1,
2027-04-16,DEN,COL,7-2,1,
2027-04-16,MIL,NAS,4-5,1,
2027-04-16,SAN,BOS,2-3,1,
2027-04-16,SAN1,HOU,1-5,1,
2027-04-16,SEA,LOS,2-3,1,
2027-04-16,WAS,POR,4-3,1,
2027-04-17,DAL,NEW,4-1,1,
2027-04-17,DEN,COL,5-1,1,
2027-04-17,MIL,NAS,4-11,1,
