date,home,away,result,played,boxscore
2029-04-01,DAL,HOU,3-2,1,
2029-04-01,IND,BOS,9-2,1,
2029-04-01,LAS,LOU,1-6,1,
2029-04-01,MEM,SEA,8-6,1,
2029-04-01,NAS,JAC,7-2,1,
2029-04-01,SAN,AUS,5-3,1,
2029-04-01,SAN1,PHO,3-2,1,
2029-04-02,DAL,HOU,1-6,1,
2029-04-02,IND,BOS,2-4,1,
2029-04-02,LAS,LOU,0-3,1,
2029-04-02,MEM,SEA,4-6,1,
2029-04-02,NAS,JAC,18-2,1,
2029-04-02,SAN,AUS,1-2,1,
2029-04-02,SAN1,PHO,3-2,1,
2029-04-03,DAL,HOU,6-7,1,
2029-04-03,IND,BOS,4-3,1,
2029-04-03,LAS,LOU,1-4,1,
2029-04-03,MEM,SEA,3-7,1,
2029-04-03,NAS,JAC,9-8,1,
2029-04-03,SAN,AUS,0-2,1,
2029-04-03,SAN1,PHO,1-2,1,
2029-04-04,DAL,HOU,0-6,1,
2029-04-04,IND,BOS,2-3,1,
2029-04-04,LAS,LOU,7-1,1,
2029-04-04,MEM,SEA,7-5,1,
2029-04-04,NAS,JAC,4-5,1,
2029-04-04,SAN,AUS,3-1,1,
2029-04-04,SAN1,PHO,4-3,1,
2029-04-06,BOS,AUS,3-2,1,
2029-04-06,HOU,MEM,3-7,1,
2029-04-06,JAC,DAL,4-3,1,
2029-04-06,LOU,SAN1,14-11,1,
2029-04-06,PHO,IND,1-4,1,
2029-04-06,SAN,NAS,6-8,1,
2029-04-06,SEA,LAS,1-3,1,
2029-04-07,BOS,AUS,5-4,1,
2029-04-07,HOU,MEM,3-4,1,
2029-04-07,JAC,DAL,3-1,1,
2029-04-07,LOU,SAN1,6-2,1,
2029-04-07,PHO,IND,11-5,1,
2029-04-07,SAN,NAS,3-5,1,
2029-04-07,SEA,LAS,4-6,1,
2029-04-08,BOS,AUS,3-5,1,
2029-04-08,HOU,MEM,4-7,1,
2029-04-08,JAC,DAL,4-6,1,
2029-04-08,LOU,SAN1,2-4,1,
2029-04-08,PHO,IND,4-2,1,
2029-04-08,SAN,NAS,3-0,1,
2029-04-08,SEA,LAS,5-2,1,
2029-04-10,AUS,BOS,3-5,1,
2029-04-10,DAL,JAC,4-3,1,
2029-04-10,IND,PHO,4-2,1,
2029-04-10,LAS,SEA,2-4,1,
2029-04-10,MEM,HOU,0-4,1,
2029-04-10,NAS,SAN,6-1,1,
2029-04-10,SAN1,LOU,5-9,1,
2029-04-11,AUS,BOS,7-5,1,
2029-04-11,DAL,JAC,6-3,1,
2029-04-11,IND,PHO,5-4,1,
2029-04-11,LAS,SEA,1-0,1,
2029-04-11,MEM,HOU,5-4,1,
2029-04-11,NAS,SAN,1-5,1,
2029-04-11,SAN1,LOU,5-6,1,
2029-04-12,AUS,BOS,6-8,1,
2029-04-12,DAL,JAC,2-5,1,
2029-04-12,IND,PHO,8-6,1,
2029-04-12,LAS,SEA,1-0,1,
2029-04-12,MEM,HOU,5-4,1,
2029-04-12,NAS,SAN,1-7,1,
2029-04-12,SAN1,LOU,1-4,1,
2029-04-13,AUS,BOS,5-4,1,
2029-04-13,DAL,JAC,4-3,1,
2029-04-13,IND,PHO,5-6,1,
2029-04-13,LAS,SEA,6-5,1,
2029-04-13,MEM,HOU,7-5,1,
2029-04-13,NAS,SAN,2-0,1,
2029-04-13,SAN1,LOU,3-5,1,
2029-04-15,BOS,SAN,7-6,1,
2029-04-15,HOU,LAS,8-3,1,
2029-04-15,JAC,MEM,3-6,1,
2029-04-15,LOU,IND,2-4,1,
2029-04-15,NAS,DAL,4-6,1,
2029-04-15,PHO,AUS,2-4,1,
2029-04-15,SEA,SAN1,5-9,1,
2029-04-16,BOS,SAN,2-4,1,
2029-04-16,HOU,LAS,4-1,1,
2029-04-16,JAC,MEM,2-1,1,
2029-04-16,LOU,IND,2-10,1,
2029-04-16,NAS,DAL,5-2,1,
2029-04-16,PHO,AUS,5-4,1,
2029-04-16,SEA,SAN1,1-7,1,
2029-04-17,BOS,SAN,2-8,1,
2029-04-17,HOU,LAS,4-1,1,
2029-04-17,JAC,MEM,4-3,1,
2029-04-17,LOU,IND,6-4,1,
2029-04-17,NAS,DAL,2-5,1,
2029-04-17,PHO,AUS,3-2,1,
2029-04-17,SEA,SAN1,3-2,1,
2029-04-19,AUS,PHO,5-7,1,
2029-04-19,DAL,NAS,2-6,1,
2029-04-19,IND,LOU,0-1,1,
2029-04-19,LAS,HOU,1-0,1,
2029-04-19,MEM,JAC,4-2,1,
2029-04-19,SAN,BOS,7-6,1,
2029-04-19,SAN1,SEA,7-3,1,
2029-04-20,AUS,PHO,5-7,1,
2029-04-20,DAL,NAS,3-7,1,
2029-04-20,IND,LOU,6-5,1,
2029-04-20,LAS,HOU,1-0,1,
2029-04-20,MEM,JAC,8-1,1,
2029-04-20,SAN,BOS,4-2,1,
2029-04-20,SAN1,SEA,10-2,1,
2029-04-21,AUS,PHO,0-7,1,
2029-04-21,DAL,NAS,2-8,1,
2029-04-21,IND,LOU,7-4,1,
2029-04-21,LAS,HOU,1-4,1,
2029-04-21,MEM,JAC,9-5,1,
2029-04-21,SAN,BOS,4-7,1,
2029-04-21,SAN1,SEA,2-4,1,
2029-04-22,AUS,PHO,4-6,1,
2029-04-22,DAL,NAS,5-10,1,
2029-04-22,IND,LOU,0-3,1,
2029-04-22,LAS,HOU,1-2,1,
2029-04-22,MEM,JAC,3-9,1,
2029-04-22,SAN,BOS,1-5,1,
2029-04-22,SAN1,SEA,12-6,1,
2029-04-24,HOU,SAN1,2-8,1,
2029-04-24,JAC,LAS,5-1,1,
2029-04-24,LOU,AUS,2-3,1,
2029-04-24,NAS,MEM,4-3,1,
2029-04-24,PHO,BOS,1-6,1,
2029-04-24,SAN,DAL,5-9,1,
2029-04-24,SEA,IND,2-3,1,
2029-04-25,HOU,SAN1,2-3,1,
2029-04-25,JAC,LAS,5-8,1,
2029-04-25,LOU,AUS,5-3,1,
2029-04-25,NAS,MEM,9-2,1,
2029-04-25,PHO,BOS,3-9,1,
2029-04-25,SAN,DAL,4-0,1,
2029-04-25,SEA,IND,2-7,1,
2029-04-26,HOU,SAN1,2-4,1,
2029-04-26,JAC,LAS,5-2,1,
2029-04-26,LOU,AUS,2-3,1,
2029-04-26,NAS,MEM,4-10,1,
2029-04-26,PHO,BOS,4-3,1,
2029-04-26,SAN,DAL,6-5,1,
2029-04-26,SEA,IND,0-2,1,
2029-04-28,AUS,LOU,4-3,1,
2029-04-28,BOS,PHO,4-2,1,
2029-04-28,DAL,SAN,3-1,1,
2029-04-28,IND,SEA,3-7,1,
2029-04-28,LAS,JAC,7-3,1,
2029-04-28,MEM,NAS,8-2,1,
2029-04-28,SAN1,HOU,7-8,1,
2029-04-29,AUS,LOU,10-7,1,
2029-04-29,BOS,PHO,5-6,1,
2029-04-29,DAL,SAN,0-2,1,
2029-04-29,IND,SEA,7-5,1,
2029-04-29,LAS,JAC,5-1,1,
2029-04-29,MEM,NAS,9-8,1,
2029-04-29,SAN1,HOU,3-7,1,
2029-04-30,AUS,LOU,2-3,1,
2029-04-30,BOS,PHO,4-2,1,
2029-04-30,DAL,SAN,8-10,1,
2029-04-30,IND,SEA,7-3,1,
2029-04-30,LAS,JAC,2-6,1,
2029-04-30,MEM,NAS,2-6,1,
2029-04-30,SAN1,HOU,2-1,1,
