round,overall_pick,team_id,player_id
1,1,LAS,D20270150
1,2,SAN,D20270058
1,3,PHO,D20270038
1,4,AUS,D20270097
1,5,HOU,D20270017
1,6,JAC,D20270043
1,7,BOS,D20270053
1,8,SAN1,D20270178
1,9,SEA,D20270029
1,10,LOU,D20270096
1,11,MEM,D20270114
1,12,IND,D20270093
1,13,DAL,D20270039
1,14,NAS,D20270157
2,15,LAS,D20270067
2,16,SAN,D20270163
2,17,PHO,D20270095
2,18,AUS,D20270028
2,19,HOU,D20270050
2,20,JAC,D20270170
2,21,BOS,D20270068
2,22,SAN1,D20270111
2,23,SEA,D20270197
2,24,LOU,D20270064
2,25,MEM,D20270032
2,26,IND,D20270127
2,27,DAL,D20270079
2,28,NAS,D20270085
3,29,LAS,D20270088
3,30,SAN,D20270131
3,31,PHO,D20270081
3,32,AUS,D20270119
3,33,HOU,D20270140
3,34,JAC,D20270014
3,35,BOS,D20270104
3,36,SAN1,D20270143
3,37,SEA,D20270065
3,38,LOU,D20270153
3,39,MEM,D20270027
3,40,IND,D20270077
3,41,DAL,D20270007
3,42,NAS,D20270033
4,43,LAS,D20270189
4,44,SAN,D20270092
4,45,PHO,D20270107
4,46,AUS,D20270115
4,47,HOU,D20270080
4,48,JAC,D20270078
4,49,BOS,D20270061
4,50,SAN1,D20270171
4,51,SEA,D20270057
4,52,LOU,D20270194
4,53,MEM,D20270199
4,54,IND,D20270176
4,55,DAL,D20270062
4,56,NAS,D20270101
5,57,LAS,D20270133
5,58,SAN,D20270103
5,59,PHO,D20270001
5,60,AUS,D20270005
5,61,HOU,D20270054
5,62,JAC,D20270051
5,63,BOS,D20270192
5,64,SAN1,D20270074
5,65,SEA,D20270056
5,66,LOU,D20270117
5,67,MEM,D20270161
5,68,IND,D20270041
5,69,DAL,D20270069
5,70,NAS,D20270165
6,71,LAS,D20270129
6,72,SAN,D20270174
6,73,PHO,D20270120
6,74,AUS,D20270151
6,75,HOU,D20270059
6,76,JAC,D20270060
6,77,BOS,D20270071
6,78,SAN1,D20270186
6,79,SEA,D20270020
6,80,LOU,D20270010
6,81,MEM,D20270024
6,82,IND,D20270159
6,83,DAL,D20270126
6,84,NAS,D20270145
7,85,LAS,D20270125
7,86,SAN,D20270075
7,87,PHO,D20270166
7,88,AUS,D20270018
7,89,HOU,D20270109
7,90,JAC,D20270121
7,91,BOS,D20270086
7,92,SAN1,D20270164
7,93,SEA,D20270082
7,94,LOU,D20270015
7,95,MEM,D20270099
7,96,IND,D20270019
7,97,DAL,D20270135
7,98,NAS,D20270185
8,99,LAS,D20270002
8,100,SAN,D20270173
8,101,PHO,D20270181
8,102,AUS,D20270013
8,103,HOU,D20270035
8,104,JAC,D20270188
8,105,BOS,D20270167
8,106,SAN1,D20270009
8,107,SEA,D20270183
8,108,LOU,D20270148
8,109,MEM,D20270172
8,110,IND,D20270124
8,111,DAL,D20270195
8,112,NAS,D20270136
9,113,LAS,D20270008
9,114,SAN,D20270187
9,115,PHO,D20270055
9,116,AUS,D20270034
9,117,HOU,D20270105
9,118,JAC,D20270011
9,119,BOS,D20270089
9,120,SAN1,D20270123
9,121,SEA,D20270091
9,122,LOU,D20270046
9,123,MEM,D20270045
9,124,IND,D20270016
9,125,DAL,D20270044
9,126,NAS,D20270049
10,127,LAS,D20270141
10,128,SAN,D20270004
10,129,PHO,D20270047
10,130,AUS,D20270090
10,131,HOU,D20270130
10,132,JAC,D20270137
10,133,BOS,D20270158
10,134,SAN1,D20270160
10,135,SEA,D20270175
10,136,LOU,D20270184
10,137,MEM,D20270006
10,138,IND,D20270023
10,139,DAL,D20270040
10,140,NAS,D20270042
