balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,149,0.07672502574665294,0.18836915297092288
0,0,zone,642,0.3305870236869207,0.8116308470290771
0,1,waste,182,0.0937178166838311,0.5498489425981873
0,1,zone,149,0.07672502574665294,0.4501510574018127
0,2,waste,87,0.04479917610710608,0.564935064935065
0,2,zone,67,0.0345005149330587,0.43506493506493504
1,0,waste,46,0.02368692070030896,0.23115577889447236
1,0,zone,153,0.07878475798146241,0.7688442211055276
1,1,waste,30,0.015447991761071062,0.18518518518518517
1,1,zone,132,0.06797116374871266,0.8148148148148148
1,2,waste,56,0.028836251287332648,0.5137614678899083
1,2,zone,53,0.02729145211122554,0.48623853211009177
2,0,waste,6,0.003089598352214212,0.13333333333333333
2,0,zone,39,0.02008238928939238,0.8666666666666667
2,1,waste,14,0.007209062821833162,0.2545454545454545
2,1,zone,41,0.021112255406797117,0.7454545454545455
2,2,waste,9,0.004634397528321318,0.24324324324324326
2,2,zone,28,0.014418125643666324,0.7567567567567568
3,0,waste,3,0.001544799176107106,0.2
3,0,zone,12,0.006179196704428424,0.8
3,1,waste,4,0.0020597322348094747,0.16
3,1,zone,21,0.010813594232749742,0.84
3,2,waste,2,0.0010298661174047373,0.10526315789473684
3,2,zone,17,0.008753861997940269,0.8947368421052632
