balls,strikes,objective,count
0,0,best,1555
0,0,best_center,1664
0,0,fast_center,1588
0,0,outside,3069
0,0,plus,8037
0,1,best,1019
0,1,best_center,478
0,1,fast_center,238
0,1,outside,3485
0,1,plus,1550
0,2,best,421
0,2,best_center,200
0,2,fast_center,110
0,2,outside,1815
0,2,plus,417
1,0,best,797
1,0,best_center,500
1,0,fast_center,395
1,0,outside,737
1,0,plus,1634
1,1,best,627
1,1,best_center,480
1,1,fast_center,363
1,1,outside,855
1,1,plus,1002
1,2,best,264
1,2,best_center,179
1,2,fast_center,116
1,2,outside,993
1,2,plus,448
2,0,best,225
2,0,best_center,130
2,0,fast_center,164
2,0,outside,191
2,0,plus,387
2,1,best,255
2,1,best_center,177
2,1,fast_center,197
2,1,outside,245
2,1,plus,424
2,2,best,205
2,2,best_center,143
2,2,fast_center,146
2,2,outside,179
2,2,plus,301
3,0,best,32
3,0,best_center,65
3,0,fast_center,76
3,0,outside,68
3,0,plus,62
3,1,best,85
3,1,best_center,89
3,1,fast_center,103
3,1,outside,87
3,1,plus,90
3,2,best,74
3,2,best_center,102
3,2,fast_center,81
3,2,outside,62
3,2,plus,65
