balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,269,0.09977744807121662,0.30292792792792794
0,0,zone,619,0.22959940652818991,0.6970720720720721
0,1,waste,197,0.07307121661721068,0.6175548589341693
0,1,zone,122,0.045252225519287835,0.3824451410658307
0,2,waste,76,0.028189910979228485,0.628099173553719
0,2,zone,45,0.01669139465875371,0.371900826446281
1,0,waste,108,0.040059347181008904,0.289544235924933
1,0,zone,265,0.09829376854599406,0.710455764075067
1,1,waste,100,0.037091988130563795,0.3787878787878788
1,1,zone,164,0.06083086053412463,0.6212121212121212
1,2,waste,62,0.022997032640949554,0.4806201550387597
1,2,zone,67,0.024851632047477746,0.5193798449612403
2,0,waste,39,0.014465875370919881,0.2727272727272727
2,0,zone,104,0.03857566765578635,0.7272727272727273
2,1,waste,29,0.010756676557863502,0.19594594594594594
2,1,zone,119,0.04413946587537092,0.8040540540540541
2,2,waste,29,0.010756676557863502,0.2636363636363636
2,2,zone,81,0.030044510385756677,0.7363636363636363
3,0,waste,16,0.005934718100890208,0.3137254901960784
3,0,zone,35,0.01298219584569733,0.6862745098039216
3,1,waste,23,0.008531157270029673,0.2875
3,1,zone,57,0.021142433234421366,0.7125
3,2,waste,15,0.00556379821958457,0.21428571428571427
3,2,zone,55,0.02040059347181009,0.7857142857142857
