balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,5128,0.09218379233479543,0.2975340876124166
0,0,zone,12107,0.21764219457826994,0.7024659123875834
0,1,waste,5219,0.09381965916444955,0.6317637089940685
0,1,zone,3042,0.05468469116272381,0.36823629100593147
0,2,waste,2943,0.05290501186452865,0.6929597362844361
0,2,zone,1304,0.02344143237218667,0.3070402637155639
1,0,waste,1090,0.019594448838714317,0.1781919241458231
1,0,zone,5027,0.09036815991946502,0.8218080758541769
1,1,waste,1703,0.030614079240670167,0.392577224527432
1,1,zone,2635,0.04736823182569929,0.607422775472568
1,2,waste,1328,0.023872869777809735,0.5407166123778502
1,2,zone,1128,0.020277558064284173,0.4592833876221498
2,0,waste,548,0.009851154095060042,0.17530390275111965
2,0,zone,2578,0.0463435679873445,0.8246960972488804
2,1,waste,605,0.010875817933414827,0.22185551888522184
2,1,zone,2122,0.03814625728050622,0.7781444811147782
2,2,waste,408,0.007334435895592148,0.23652173913043478
2,2,zone,1317,0.02367512763356583,0.7634782608695653
3,0,waste,420,0.0075501545984036815,0.24319629415170815
3,0,zone,1307,0.023495362047889552,0.7568037058482918
3,1,waste,428,0.0076939670669447045,0.19953379953379954
3,1,zone,1717,0.030865751060616956,0.8004662004662004
3,2,waste,306,0.005500826921694111,0.20078740157480315
3,2,zone,1218,0.021895448335370677,0.7992125984251969
