balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,3576,0.07101155725008935,0.2019540294798667
0,0,zone,14131,0.2806108264823861,0.7980459705201333
0,1,waste,3356,0.06664283728503911,0.5297553275453828
0,1,zone,2979,0.05915643989038485,0.4702446724546172
0,2,waste,847,0.016819571865443424,0.6223365172667157
0,2,zone,514,0.010206918463799198,0.3776634827332844
1,0,waste,1039,0.020632272925850906,0.17094438960184272
1,0,zone,5039,0.10006354501767346,0.8290556103981573
1,1,waste,1420,0.028198101592597006,0.24423804609563124
1,1,zone,4394,0.08725525239286708,0.7557619539043687
1,2,waste,1336,0.02653004487866873,0.4906353286816012
1,2,zone,1387,0.02754279359783947,0.5093646713183988
2,0,waste,355,0.0070495253981492515,0.1760039662865642
2,0,zone,1662,0.033003693554152266,0.8239960337134358
2,1,waste,507,0.010067913737638509,0.17500862961684502
2,1,zone,2390,0.04746018507486397,0.824991370383155
2,2,waste,487,0.009670757377179396,0.2025790349417637
2,2,zone,1917,0.038067437150005955,0.7974209650582362
3,0,waste,191,0.0037928432423845267,0.26788218793828894
3,0,zone,522,0.010365781007982843,0.7321178120617111
3,1,waste,228,0.004527582509233886,0.19437340153452684
3,1,zone,945,0.018765638031693076,0.8056265984654731
3,2,waste,223,0.004428293419119107,0.19630281690140844
3,2,zone,913,0.0181301878549585,0.8036971830985915
