balls,strikes,objective,count
0,0,best,80
0,0,best_center,76
0,0,fast_center,81
0,0,outside,169
0,0,plus,415
0,1,best,41
0,1,best_center,18
0,1,fast_center,11
0,1,outside,180
0,1,plus,53
0,2,best,6
0,2,best_center,3
0,2,outside,36
0,2,plus,8
1,0,best,74
1,0,best_center,30
1,0,fast_center,24
1,0,outside,58
1,0,plus,101
1,1,best,61
1,1,best_center,48
1,1,fast_center,23
1,1,outside,75
1,1,plus,96
1,2,best,24
1,2,best_center,13
1,2,fast_center,6
1,2,outside,67
1,2,plus,22
2,0,best,10
2,0,best_center,15
2,0,fast_center,17
2,0,outside,16
2,0,plus,33
2,1,best,35
2,1,best_center,22
2,1,fast_center,24
2,1,outside,20
2,1,plus,45
2,2,best,25
2,2,best_center,18
2,2,fast_center,24
2,2,outside,26
2,2,plus,43
3,0,best,5
3,0,best_center,8
3,0,fast_center,8
3,0,outside,5
3,0,plus,6
3,1,best,12
3,1,best_center,5
3,1,fast_center,14
3,1,outside,6
3,1,plus,9
3,2,best,14
3,2,best_center,12
3,2,fast_center,14
3,2,outside,10
3,2,plus,7
