balls,strikes,objective,count
0,0,best,1858
0,0,best_center,1746
0,0,fast_center,1744
0,0,outside,3576
0,0,plus,8783
0,1,best,958
0,1,best_center,459
0,1,fast_center,203
0,1,outside,3356
0,1,plus,1359
0,2,best,176
0,2,best_center,76
0,2,fast_center,54
0,2,outside,847
0,2,plus,208
1,0,best,1206
1,0,best_center,751
1,0,fast_center,609
1,0,outside,1039
1,0,plus,2473
1,1,best,1185
1,1,best_center,908
1,1,fast_center,543
1,1,outside,1420
1,1,plus,1758
1,2,best,349
1,2,best_center,252
1,2,fast_center,145
1,2,outside,1336
1,2,plus,641
2,0,best,421
2,0,best_center,233
2,0,fast_center,300
2,0,outside,355
2,0,plus,708
2,1,best,575
2,1,best_center,419
2,1,fast_center,482
2,1,outside,507
2,1,plus,914
2,2,best,493
2,2,best_center,341
2,2,fast_center,363
2,2,outside,487
2,2,plus,720
3,0,best,62
3,0,best_center,152
3,0,fast_center,159
3,0,outside,191
3,0,plus,149
3,1,best,231
3,1,best_center,246
3,1,fast_center,216
3,1,outside,228
3,1,plus,252
3,2,best,219
3,2,best_center,296
3,2,fast_center,248
3,2,outside,223
3,2,plus,150
