balls,strikes,objective,count
0,0,best,1842
0,0,best_center,1762
0,0,fast_center,1768
0,0,outside,3612
0,0,plus,8965
0,1,best,966
0,1,best_center,504
0,1,fast_center,249
0,1,outside,3301
0,1,plus,1443
0,2,best,208
0,2,best_center,106
0,2,fast_center,44
0,2,outside,914
0,2,plus,187
1,0,best,1203
1,0,best_center,790
1,0,fast_center,610
1,0,outside,1140
1,0,plus,2507
1,1,best,1183
1,1,best_center,921
1,1,fast_center,582
1,1,outside,1507
1,1,plus,1799
1,2,best,406
1,2,best_center,272
1,2,fast_center,152
1,2,outside,1355
1,2,plus,670
2,0,best,418
2,0,best_center,277
2,0,fast_center,328
2,0,outside,383
2,0,plus,752
2,1,best,631
2,1,best_center,466
2,1,fast_center,451
2,1,outside,572
2,1,plus,987
2,2,best,520
2,2,best_center,375
2,2,fast_center,362
2,2,outside,466
2,2,plus,745
3,0,best,75
3,0,best_center,159
3,0,fast_center,177
3,0,outside,174
3,0,plus,145
3,1,best,276
3,1,best_center,231
3,1,fast_center,265
3,1,outside,275
3,1,plus,270
3,2,best,242
3,2,best_center,292
3,2,fast_center,252
3,2,outside,222
3,2,plus,177
