balls,strikes,objective,count
0,0,best,97
0,0,best_center,69
0,0,fast_center,95
0,0,outside,173
0,0,plus,418
0,1,best,42
0,1,best_center,20
0,1,fast_center,9
0,1,outside,177
0,1,plus,67
0,2,best,7
0,2,best_center,3
0,2,fast_center,2
0,2,outside,47
0,2,plus,12
1,0,best,52
1,0,best_center,44
1,0,fast_center,37
1,0,outside,63
1,0,plus,116
1,1,best,50
1,1,best_center,48
1,1,fast_center,34
1,1,outside,80
1,1,plus,87
1,2,best,19
1,2,best_center,16
1,2,fast_center,7
1,2,outside,69
1,2,plus,28
2,0,best,27
2,0,best_center,12
2,0,fast_center,18
2,0,outside,20
2,0,plus,31
2,1,best,34
2,1,best_center,23
2,1,fast_center,19
2,1,outside,24
2,1,plus,61
2,2,best,30
2,2,best_center,19
2,2,fast_center,19
2,2,outside,20
2,2,plus,35
3,0,best,3
3,0,best_center,6
3,0,fast_center,12
3,0,outside,9
3,0,plus,7
3,1,best,13
3,1,best_center,10
3,1,fast_center,19
3,1,outside,12
3,1,plus,12
3,2,best,10
3,2,best_center,13
3,2,fast_center,9
3,2,outside,18
3,2,plus,8
