balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,188,0.07559308403699236,0.2160919540229885
0,0,zone,682,0.2742259750703659,0.7839080459770115
0,1,waste,152,0.0611178126256534,0.4840764331210191
0,1,zone,162,0.06513872135102533,0.5159235668789809
0,2,waste,50,0.02010454362685967,0.6024096385542169
0,2,zone,33,0.013268998793727383,0.39759036144578314
1,0,waste,58,0.02332127060715722,0.18770226537216828
1,0,zone,251,0.10092480900683555,0.8122977346278317
1,1,waste,65,0.02613590671491757,0.24436090225563908
1,1,zone,201,0.08082026537997587,0.7556390977443609
1,2,waste,81,0.032569360675512665,0.5225806451612903
1,2,zone,74,0.029754724567752314,0.4774193548387097
2,0,waste,22,0.008845999195818254,0.20754716981132076
2,0,zone,84,0.033775633293124246,0.7924528301886793
2,1,waste,23,0.009248090068355449,0.16428571428571428
2,1,zone,117,0.047044632086851626,0.8357142857142857
2,2,waste,17,0.006835544833132288,0.1440677966101695
2,2,zone,101,0.04061117812625653,0.8559322033898306
3,0,waste,5,0.002010454362685967,0.15151515151515152
3,0,zone,28,0.011258544431041415,0.8484848484848485
3,1,waste,13,0.005227181342983514,0.24528301886792453
3,1,zone,40,0.016083634901487735,0.7547169811320755
3,2,waste,11,0.004422999597909127,0.275
3,2,zone,29,0.01166063530357861,0.725
