balls,strikes,objective,count
0,0,best,1949
0,0,best_center,1918
0,0,fast_center,1900
0,0,outside,3818
0,0,plus,9776
0,1,best,1087
0,1,best_center,523
0,1,fast_center,248
0,1,outside,3694
0,1,plus,1628
0,2,best,212
0,2,best_center,107
0,2,fast_center,65
0,2,outside,1034
0,2,plus,228
1,0,best,1358
1,0,best_center,840
1,0,fast_center,645
1,0,outside,1234
1,0,plus,2604
1,1,best,1262
1,1,best_center,980
1,1,fast_center,696
1,1,outside,1625
1,1,plus,1990
1,2,best,434
1,2,best_center,272
1,2,fast_center,164
1,2,outside,1507
1,2,plus,772
2,0,best,482
2,0,best_center,282
2,0,fast_center,336
2,0,outside,419
2,0,plus,769
2,1,best,692
2,1,best_center,501
2,1,fast_center,513
2,1,outside,592
2,1,plus,1023
2,2,best,560
2,2,best_center,378
2,2,fast_center,423
2,2,outside,509
2,2,plus,821
3,0,best,82
3,0,best_center,160
3,0,fast_center,187
3,0,outside,208
3,0,plus,165
3,1,best,283
3,1,best_center,274
3,1,fast_center,252
3,1,outside,290
3,1,plus,279
3,2,best,248
3,2,best_center,301
3,2,fast_center,258
3,2,outside,212
3,2,plus,166
