balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,761.0,229.0,532.0,160.0,50.0,100.0,61.0,278.0,81.0,0.0,0.0,36.0,235.0,0.3009198423127464,0.6990801576872536,0.0657030223390276,0.2102496714848883,0.6986899563318777,0.36530880420499345,0.10643889618922471
0,1,324.0,50.0,274.0,32.0,12.0,13.0,9.0,125.0,19.0,0.0,0.0,30.0,56.0,0.15432098765432098,0.845679012345679,0.037037037037037035,0.09876543209876543,0.64,0.38580246913580246,0.05864197530864197
0,2,146.0,30.0,116.0,23.0,0.0,9.0,7.0,31.0,11.0,0.0,95.0,11.0,36.0,0.2054794520547945,0.7945205479452054,0.0,0.15753424657534246,0.7666666666666667,0.21232876712328766,0.07534246575342465
1,0,244.0,78.0,166.0,50.0,17.0,27.0,18.0,87.0,30.0,0.0,0.0,8.0,84.0,0.319672131147541,0.680327868852459,0.06967213114754098,0.20491803278688525,0.6410256410256411,0.35655737704918034,0.12295081967213115
1,1,221.0,59.0,162.0,41.0,12.0,25.0,16.0,76.0,23.0,0.0,0.0,16.0,62.0,0.2669683257918552,0.7330316742081447,0.05429864253393665,0.18552036199095023,0.6949152542372882,0.3438914027149321,0.10407239819004525
1,2,129.0,34.0,95.0,20.0,0.0,5.0,3.0,37.0,4.0,0.0,81.0,6.0,25.0,0.26356589147286824,0.7364341085271318,0.0,0.15503875968992248,0.5882352941176471,0.2868217054263566,0.031007751937984496
2,0,77.0,24.0,53.0,16.0,9.0,6.0,1.0,25.0,7.0,0.0,0.0,2.0,27.0,0.3116883116883117,0.6883116883116883,0.11688311688311688,0.2077922077922078,0.6666666666666666,0.3246753246753247,0.09090909090909091
2,1,106.0,38.0,68.0,26.0,7.0,17.0,10.0,32.0,17.0,0.0,0.0,3.0,42.0,0.3584905660377358,0.6415094339622641,0.0660377358490566,0.24528301886792453,0.6842105263157895,0.3018867924528302,0.16037735849056603
2,2,78.0,29.0,49.0,16.0,0.0,4.0,3.0,15.0,13.0,0.0,53.0,6.0,37.0,0.3717948717948718,0.6282051282051282,0.0,0.20512820512820512,0.5517241379310345,0.19230769230769232,0.16666666666666666
3,0,20.0,5.0,15.0,4.0,3.0,1.0,1.0,5.0,1.0,5.0,0.0,0.0,5.0,0.25,0.75,0.15,0.2,0.8,0.25,0.05
3,1,41.0,20.0,21.0,13.0,4.0,7.0,4.0,9.0,2.0,9.0,0.0,2.0,9.0,0.4878048780487805,0.5121951219512195,0.0975609756097561,0.3170731707317073,0.65,0.21951219512195122,0.04878048780487805
3,2,36.0,17.0,19.0,10.0,0.0,3.0,2.0,11.0,6.0,11.0,22.0,0.0,13.0,0.4722222222222222,0.5277777777777778,0.0,0.2777777777777778,0.5882352941176471,0.3055555555555556,0.16666666666666666
