balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,844.0,245.0,599.0,182.0,56.0,98.0,63.0,277.0,98.0,0.0,0.0,2.0,259.0,0.2902843601895735,0.7097156398104265,0.06635071090047394,0.2156398104265403,0.7428571428571429,0.3281990521327014,0.11611374407582939
0,1,446.0,85.0,361.0,73.0,21.0,33.0,20.0,181.0,32.0,0.0,0.0,3.0,91.0,0.1905829596412556,0.8094170403587444,0.04708520179372197,0.16367713004484305,0.8588235294117647,0.40582959641255606,0.07174887892376682
0,2,215.0,33.0,182.0,27.0,0.0,6.0,4.0,59.0,10.0,0.0,150.0,0.0,34.0,0.15348837209302327,0.8465116279069768,0.0,0.12558139534883722,0.8181818181818182,0.2744186046511628,0.046511627906976744
1,0,244.0,74.0,170.0,57.0,19.0,25.0,16.0,79.0,37.0,0.0,0.0,0.0,94.0,0.30327868852459017,0.6967213114754098,0.0778688524590164,0.2336065573770492,0.7702702702702703,0.3237704918032787,0.15163934426229508
1,1,282.0,79.0,203.0,56.0,19.0,27.0,18.0,91.0,35.0,0.0,0.0,0.0,87.0,0.2801418439716312,0.7198581560283688,0.0673758865248227,0.19858156028368795,0.7088607594936709,0.32269503546099293,0.12411347517730496
1,2,202.0,45.0,157.0,30.0,0.0,5.0,4.0,62.0,21.0,0.0,135.0,0.0,54.0,0.22277227722772278,0.7772277227722773,0.0,0.1485148514851485,0.6666666666666666,0.3069306930693069,0.10396039603960396
2,0,79.0,18.0,61.0,26.0,8.0,4.0,3.0,21.0,11.0,0.0,0.0,1.0,29.0,0.22784810126582278,0.7721518987341772,0.10126582278481013,0.3291139240506329,1.4444444444444444,0.26582278481012656,0.13924050632911392
2,1,144.0,21.0,123.0,46.0,9.0,10.0,4.0,35.0,21.0,0.0,0.0,0.0,42.0,0.14583333333333334,0.8541666666666666,0.0625,0.3194444444444444,2.1904761904761907,0.24305555555555555,0.14583333333333334
2,2,160.0,39.0,121.0,60.0,0.0,7.0,6.0,44.0,9.0,0.0,109.0,0.0,48.0,0.24375,0.75625,0.0,0.375,1.5384615384615385,0.275,0.05625
3,0,21.0,9.0,12.0,8.0,0.0,6.0,5.0,3.0,3.0,3.0,0.0,0.0,9.0,0.42857142857142855,0.5714285714285714,0.0,0.38095238095238093,0.8888888888888888,0.14285714285714285,0.14285714285714285
3,1,43.0,16.0,27.0,9.0,3.0,2.0,2.0,7.0,4.0,7.0,0.0,0.0,11.0,0.37209302325581395,0.627906976744186,0.06976744186046512,0.20930232558139536,0.5625,0.16279069767441862,0.09302325581395349
3,2,72.0,28.0,44.0,15.0,0.0,0.0,0.0,15.0,8.0,15.0,57.0,0.0,21.0,0.3888888888888889,0.6111111111111112,0.0,0.20833333333333334,0.5357142857142857,0.20833333333333334,0.1111111111111111
